# File: A00.india_state_laborforce.csv
# Title: Estimated labour force projections
# Units: NA
# Description: Estimated to correct the trajectory of GDP growth rates
# Column types: cin
# ----------
region,year,laborforce
AN,1975,0.5
AN,1990,0.5
AN,2005,0.5
AN,2010,0.268405827
AN,2015,0.264765467
AN,2020,0.264765467
AN,2025,0.264765467
AN,2030,0.264765467
AN,2035,0.264765467
AN,2040,0.264765467
AN,2045,0.264765467
AN,2050,0.264765467
AN,2055,0.264765467
AN,2060,0.264765467
AN,2065,0.264765467
AN,2070,0.264765467
AN,2075,0.264765467
AN,2080,0.264765467
AN,2085,0.264765467
AN,2090,0.264765467
AN,2095,0.264765467
AN,2100,0.264765467
AP,1975,0.5
AP,1990,0.5
AP,2005,0.5
AP,2010,0.42263317
AP,2015,0.422109341
AP,2020,0.422109341
AP,2025,0.422109341
AP,2030,0.422109341
AP,2035,0.422109341
AP,2040,0.422109341
AP,2045,0.422109341
AP,2050,0.422109341
AP,2055,0.422109341
AP,2060,0.422109341
AP,2065,0.422109341
AP,2070,0.422109341
AP,2075,0.422109341
AP,2080,0.422109341
AP,2085,0.422109341
AP,2090,0.422109341
AP,2095,0.422109341
AP,2100,0.422109341
AR,1975,0.5
AR,1990,0.5
AR,2005,0.5
AR,2010,0.328478595
AR,2015,0.323445384
AR,2020,0.323445384
AR,2025,0.323445384
AR,2030,0.323445384
AR,2035,0.323445384
AR,2040,0.323445384
AR,2045,0.323445384
AR,2050,0.323445384
AR,2055,0.323445384
AR,2060,0.323445384
AR,2065,0.323445384
AR,2070,0.323445384
AR,2075,0.323445384
AR,2080,0.323445384
AR,2085,0.323445384
AR,2090,0.323445384
AR,2095,0.323445384
AR,2100,0.323445384
AS,1975,0.5
AS,1990,0.5
AS,2005,0.5
AS,2010,0.390260753
AS,2015,0.367550633
AS,2020,0.367550633
AS,2025,0.367550633
AS,2030,0.367550633
AS,2035,0.367550633
AS,2040,0.367550633
AS,2045,0.367550633
AS,2050,0.367550633
AS,2055,0.367550633
AS,2060,0.367550633
AS,2065,0.367550633
AS,2070,0.367550633
AS,2075,0.367550633
AS,2080,0.367550633
AS,2085,0.367550633
AS,2090,0.367550633
AS,2095,0.367550633
AS,2100,0.367550633
BR,1975,0.5
BR,1990,0.5
BR,2005,0.5
BR,2010,0.334359019
BR,2015,0.333928809
BR,2020,0.333928809
BR,2025,0.333928809
BR,2030,0.333928809
BR,2035,0.333928809
BR,2040,0.333928809
BR,2045,0.333928809
BR,2050,0.333928809
BR,2055,0.333928809
BR,2060,0.333928809
BR,2065,0.333928809
BR,2070,0.333928809
BR,2075,0.333928809
BR,2080,0.333928809
BR,2085,0.333928809
BR,2090,0.333928809
BR,2095,0.333928809
BR,2100,0.333928809
CG,1975,0.5
CG,1990,0.5
CG,2005,0.5
CG,2010,0.415388974
CG,2015,0.403689243
CG,2020,0.403689243
CG,2025,0.403689243
CG,2030,0.403689243
CG,2035,0.403689243
CG,2040,0.403689243
CG,2045,0.403689243
CG,2050,0.403689243
CG,2055,0.403689243
CG,2060,0.403689243
CG,2065,0.403689243
CG,2070,0.403689243
CG,2075,0.403689243
CG,2080,0.403689243
CG,2085,0.403689243
CG,2090,0.403689243
CG,2095,0.403689243
CG,2100,0.403689243
CH,1975,0.5
CH,1990,0.5
CH,2005,0.5
CH,2010,0.248532572
