# File: A00.india_state_laborforce.csv
# Title: Estimated labour force projections
# Units: NA
# Description: Estimated to correct the trajectory of GDP growth rates
# Column types: cin
# ----------
region,year,laborforce
AN,1975,0.5
AN,1990,0.5
AN,2005,0.5
AN,2010,0.269999687
AN,2015,0.265999945
AN,2020,0.216424311
AN,2025,0.227404402
AN,2030,0.238591955
AN,2035,0.247540337
AN,2040,0.253793409
AN,2045,0.254608203
AN,2050,0.249911839
AN,2055,0.24106514
AN,2060,0.230699596
AN,2065,0.219037371
AN,2070,0.206649755
AN,2075,0.19342548
AN,2080,0.179725236
AN,2085,0.165351309
AN,2090,0.150923046
AN,2095,0.136952593
AN,2100,0.125165399
AP,1975,0.5
AP,1990,0.5
AP,2005,0.5
AP,2010,0.420000378
AP,2015,0.435999597
AP,2020,0.374455649
AP,2025,0.417275744
AP,2030,0.461209376
AP,2035,0.502785701
AP,2040,0.540783313
AP,2045,0.567595659
AP,2050,0.580996746
AP,2055,0.581344277
AP,2060,0.576356505
AP,2065,0.565726569
AP,2070,0.551558229
AP,2075,0.533009027
AP,2080,0.511111782
AP,2085,0.48467786
AP,2090,0.455681882
AP,2095,0.42551817
AP,2100,0.40025403
AR,1975,0.5
AR,1990,0.5
AR,2005,0.5
AR,2010,0.329999954
AR,2015,0.327000469
AR,2020,0.268193858
AR,2025,0.288829265
AR,2030,0.309998249
AR,2035,0.32857899
AR,2040,0.344012524
AR,2045,0.352109554
AR,2050,0.352106399
AR,2055,0.347866878
AR,2060,0.341344965
AR,2065,0.331174411
AR,2070,0.318997525
AR,2075,0.304085241
AR,2080,0.287498715
AR,2085,0.268570122
AR,2090,0.24843916
AR,2095,0.228058141
AR,2100,0.210605094
AS,1975,0.5
AS,1990,0.5
AS,2005,0.5
AS,2010,0.39000075
AS,2015,0.413000297
AS,2020,0.354633074
AS,2025,0.406381702
AS,2030,0.461180851
AS,2035,0.51653043
AS,2040,0.569709596
AS,2045,0.611738416
AS,2050,0.639042784
AS,2055,0.650052265
AS,2060,0.652831037
AS,2065,0.646909127
AS,2070,0.634572922
AS,2075,0.614868465
AS,2080,0.58912859
AS,2085,0.556229018
AS,2090,0.518821471
AS,2095,0.478908568
AS,2100,0.443659921
BR,1975,0.5
BR,1990,0.5
BR,2005,0.5
BR,2010,0.329999295
BR,2015,0.302000199
BR,2020,0.299263855
BR,2025,0.351301152
BR,2030,0.40052414
BR,2035,0.443202782
BR,2040,0.484961427
BR,2045,0.513274247
BR,2050,0.528341471
BR,2055,0.53256608
BR,2060,0.532763085
BR,2065,0.526420804
BR,2070,0.514909062
BR,2075,0.493735505
BR,2080,0.468161664
BR,2085,0.437570226
BR,2090,0.402757943
BR,2095,0.367506492
BR,2100,0.335470337
CG,1975,0.5
CG,1990,0.5
CG,2005,0.5
CG,2010,0.420000472
CG,2015,0.451000514
CG,2020,0.391198654
CG,2025,0.457016906
CG,2030,0.528019854
CG,2035,0.600563199
CG,2040,0.67171952
CG,2045,0.730601599
CG,2050,0.77225106
CG,2055,0.794489136
CG,2060,0.80617213
CG,2065,0.806180878
CG,2070,0.797101765
CG,2075,0.777574626
CG,2080,0.749120295
CG,2085,0.710302239
CG,2090,0.664540625
CG,2095,0.614476715
CG,2100,0.569502124
CH,1975,0.5
CH,1990,0.5
CH,2005,0.5
CH,2010,0.249999688
