# File: A10.EB_trn_SecFuel_mtoe.csv
# Title: Database of fuel consumption across transport sector
# Units: Energy units in mtoe
# Source:  GHG platform
# Column types: cccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
State,GHG_Platform_sectors,GHG_Platform_fuels,sector,fuel,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AN,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001356674,0.001524669,0.002010812,0.00226859,0.002206266,0.002161066
AP,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.025927741,0.027194494,0.02984412,0.031385045,0.011646881,0.006551506
AR,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.00805121,0.008838421,0.010004854,0.010408264,0.010451196,0.010556929
BR,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.000876111,0.001045508,0.001187515,0.00113494,0.001829076,0.002210745
CG,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001035196,0.001909199,0.002456701,0.00235633,0.002358538,0.002806901
CH,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.003886756,0.004260811,0.004246344,0.00430467,0.004812214,0.004620209
DD,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.14446972,0.155148041,0.153397701,0.155998538,0.155906012,0.156888389
DN,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
