# File: A10.SE_PopP_IIASA_2005_2100.csv
# Title: 2005-2100 population projections by state
# Units: Persons
# Source: Interpolation from the IIASA estimates
# Column types: cciiiiiiiiiiiiiiiiiiii
# ----------
state,state_name,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AN,Andaman and Nicobar Island,366000,381000,392000,400000,406000,410000,413000,431773,447542,460307,470069,477578,482084,484336,484336,482835,479831,476076,471571,467065
AP,Andhra Pradesh,41370000,49577000,51371000,52787000,53709000,54175000,54252000,54770948,54923702,54780364,54488456,53941259,53116802,52030779,50729224,49280147,47736905,46151813,44544750,42940825
AR,Arunachal Pradesh,1212000,1384000,1459000,1533000,1604000,1669000,1719000,1801378,1870306,1926625,1956886,1972017,1977901,1972857,1960248,1940074,1914857,1887117,1856856,1825755
AS,Assam,28476000,31206000,33168000,35043000,36717000,38196000,39399000,40372973,41066457,41522977,41901153,42101364,42086856,41859564,41447535,40898164,40251106,39545048,38795466,38022671
BR,Bihar,91439000,104099000,114176000,123083000,132265000,141041000,148576000,153771162,157877099,161031267,162904608,163851171,163961551,163241997,161799764,159817084,157447033,154840601,152058185,149177885
CG,Chhattisgarh,22718000,25545000,27571000,29493000,31211000,32719000,34081000,34939036,35555589,35965597,36283122,36439316,36410543,36197832,35824818,35334658,34760236,34134435,33472668,32791376
CH,Chandigarh,963000,1055000,1136000,1208000,1267000,1318000,1360000,1460118,1548544,1626008,1686663,1736357,1777281,1809436,1832821,1848898,1859130,1865707,1868630,1868630
DD,Daman and Diu,192000,243000,329000,469000,705000,1137000,1969000,2174716,2362065,2534720,2652272,2751457,2835948,2905744,2960847,3001256,3034317,3060032,3082073,3093093
DL,Delhi,15026000,16788000,18677000,20571000,22540000,24552000,26591000,28524221,30239282,31746571,33037589,34165223,35120028,35890672,36484711,36935197,37266688,37511292,37679398,37788950
DN,Dadra and Nagar Haveli,270000,344000,452000,608000,836000,1178000,1703000,1863706,2007621,2137145,2230690,2305046,2369808,2422577,2463354,2494535,2516123,2532913,2544906,2552101
GA,Goa,1392000,1459000,1512000,1559000,1599000,1633000,1663000,1726897,1778183,1818538,1847124,1866461,1875709,1874869,1866461,1851328,1831150,1808449,1783227,1756323
GJ,Gujarat,54579000,60440000,65158000,69788000,74086000,77931000,81316000,83459193,85021896,86090410,86686312,86834260,86539392,85807870,84703396,83324602,81754707,80073852,78314913,76517959
HP,Himachal Pradesh,6393000,6865000,7158000,7394000,7579000,7712000,7785000,7942655,8046836,8104919,8137187,8131656,8085558,7997972,7876274,7728761,7565574,7391325,7211543,7028996
HR,Haryana,22827000,25351000,27455000,29483000,31299000,32946000,34469000,36053386,37375621,38463451,39326443,39992345,40456371,40710867,40777840,40698430,40506122,40238231,39910064,39538843
JH,Jharkhand,29363000,32988000,35800000,38471000,40958000,43209000,45155000,46517546,47553574,48308262,48703575,48825763,48697414,48324691,47739422,47000136,46150983,45238170,44280178,43299596
JK,Jammu and Kashmir,10860000,12267000,12897000,13408000,13896000,14361000,14747000,15286388,15716870,16052166,16301708,16468927,16552108,16551250,16475787,16343727,16169648,15968127,15746884,15512777
KA,Karnataka,56149000,61095000,64229000,66845000,68962000,70652000,71948000,73056144,73668336,73873691,73886284,73562752,72863381,71799795,70431082,68846359,67118274,65313665,63461592,61597895
KL,Kerala,32467000,33406000,34578000,35489000,36207000,36695000,36949000,36712784,36240351,35589267,35002696,34285115,33391860,32335834,31152767,29888315,28580192,27259167,25940127,24639945
LA,Ladakh,243000,274000,287000,297000,305000,312000,316000,327521,337396,343979,349740,353031,354677,354677,353854,350563,347271,342333,338219,332458
LD,Lakshadweep,62000,64000,67000,68000,70000,71000,71000,74586,78172,80323,82475,83192,83909,83909,83909,83909,83192,82475,81040,80323
MH,Maharashtra,103077000,112374000,118727000,124437000,129308000,133451000,136764000,141040693,144327239,146756587,148424497,149347705,149508546,148912598,147655622,145904967,143798231,141473011,138986021,136406059
