# File: A10.SE_PopP_IIASA_2005_2100.csv
# Title: 2005-2100 population projections by state
# Units: Persons
# Source: Interpolation from the IIASA estimates
# Column types: cciiiiiiiiiiiiiiiiiiii
# ----------
state,state_name,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AN,Andaman and Nicobar Island,366000,378000,409000,459000,492000,522000,550000,575000,596000,613000,626000,636000,642000,645000,645000,643000,639000,634000,628000,622000
AP,Andhra Pradesh,41370000,43547000,45368000,48595000,49895000,50997000,51853000,52349000,52495000,52358000,52079000,51556000,50768000,49730000,48486000,47101000,45626000,44111000,42575000,41042000
AR,Arunachal Pradesh,1212000,1355000,1496000,1688000,1816000,1934000,2045000,2143000,2225000,2292000,2328000,2346000,2353000,2347000,2332000,2308000,2278000,2245000,2209000,2172000
AS,Assam,28476000,30751000,32865000,36048000,37819000,39422000,40735000,41742000,42459000,42931000,43322000,43529000,43514000,43279000,42853000,42285000,41616000,40886000,40111000,39312000
BR,Bihar,91439000,101989000,110717000,122766000,130034000,136696000,142680000,147669000,151612000,154641000,156440000,157349000,157455000,156764000,155379000,153475000,151199000,148696000,146024000,143258000
CG,Chhattisgarh,22718000,25074000,26866000,29422000,30825000,32091000,33166000,34001000,34601000,35000000,35309000,35461000,35433000,35226000,34863000,34386000,33827000,33218000,32574000,31911000
CH,Chandigarh,963000,1040000,1191000,1403000,1563000,1713000,1861000,1998000,2119000,2225000,2308000,2376000,2432000,2476000,2508000,2530000,2544000,2553000,2557000,2557000
DD,Daman and Diu,192000,234000,291000,363000,421000,477000,536000,592000,643000,690000,722000,749000,772000,791000,806000,817000,826000,833000,839000,842000
DL,Delhi,15026000,16494000,18675000,21702000,23903000,25973000,28156000,30203000,32019000,33615000,34982000,36176000,37187000,38003000,38632000,39109000,39460000,39719000,39897000,40013000
DN,Dadra and Nagar Haveli,270000,332000,405000,497000,570000,640000,710000,777000,837000,891000,930000,961000,988000,1010000,1027000,1040000,1049000,1056000,1061000,1064000
