# File: A10.SE_SGDP_MOSPI_11INR.csv
# Title: State-wise Gross State Domestic Product (GSDP) for the base year 2011-12
# Units: INR Crores
#The raw data is available in different price series but for uniformity all the GDP values are converted into 2011-12 base price year
# Source: Ministry of Statistics and Programme Implementation (MoSPI), GoI. Link: http://mospi.nic.in/data
# Column types: ccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
#------------
state,state_name,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AN,Andaman and Nicobar Island,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932,6120.472678,6482.274932,6482.274932,6482.274932,6482.274932,6482.274932
AP,Andhra Pradesh,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,594840.79,589747.0521,594840.79,594840.79,594840.79,594840.79,594840.79
AR,Arunachal Pradesh,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,15943.54,17872.31875,15943.54,15943.54,15943.54,15943.54,15943.54
AS,Assam,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452,229776.7249,228713.6452,228713.6452,228713.6452,228713.6452,228713.6452
BR,Bihar,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531,348181.2743,356768.3531,356768.3531,356768.3531,356768.3531,356768.3531
CG,Chhattisgarh,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,218538.65,244922.0295,218538.65,218538.65,218538.65,218538.65,218538.65
CH,Chandigarh,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314,31640.43023,30402.31314,30402.31314,30402.31314,30402.31314,30402.31314
DD,Daman and Diu,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,10653,3860.421486,10653,10653,10653,10653,10653
DL,Delhi,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902,540835.532,548304.1902,548304.1902,548304.1902,548304.1902,548304.1902
DN,Dadra and Nagar Haveli,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,15081,5462.574142,15081,15081,15081,15081,15081
