# File: A22.india_state_calibrated_techs_transformation.csv
# Title: Mapping from calibrated intermediate sectors and fuels to supplysector / subsector / technology / input in GCAM
# Units: n/a
# Column types: cccccccc
# ----------
sector,fuel,supplysector,subsector,technology,minicam.energy.input,calibration,secondary.output
unconventional oil production,unconventional oil,unconventional oil production,unconventional oil production,unconventional oil production,unconventional oil,output,
unconventional oil production,gas,unconventional oil production,unconventional oil production,unconventional oil production,regional natural gas,output,
unconventional oil production,electricity,unconventional oil production,unconventional oil production,unconventional oil production,elect_td_ind,output,
gas processing,coal,gas processing,coal gasification,coal gasification,regional coal,output,
gas processing,gas,gas processing,natural gas,natural gas,regional natural gas,output,
gas processing,biomass,gas processing,biomass gasification,biomass gasification,regional biomass,output,
corn ethanol,corn,refining,biomass liquids,corn ethanol,regional corn for ethanol,output,
corn ethanol,gas,refining,biomass liquids,corn ethanol,wholesale gas,output,
corn ethanol,electricity,refining,biomass liquids,corn ethanol,elect_td_ind,output,
sugar cane ethanol,sugar,refining,biomass liquids,sugar cane ethanol,regional sugar for ethanol,output,
biodiesel,biomass oil,refining,biomass liquids,biodiesel,regional biomassOil,output,
biodiesel,gas,refining,biomass liquids,biodiesel,wholesale gas,output,
cellulosic ethanol,biomass,refining,biomass liquids,cellulosic ethanol,regional biomass,output,
FT biofuels,biomass,refining,biomass liquids,FT biofuels,regional biomass,output,
gtl,gas,refining,gas to liquids,gas to liquids,regional natural gas,output,
ctl,coal,refining,coal to liquids,coal to liquids,regional coal,output,
oil refining,oil,refining,oil refining,oil refining,regional oil,output,
oil refining,gas,refining,oil refining,oil refining,wholesale gas,output,
oil refining,electricity,refining,oil refining,oil refining,elect_td_ind,output,
heat,biomass,district heat,biomass,biomass,delivered biomass,input,
heat,coal,district heat,coal,coal,delivered coal,input,
heat,electricity,district heat,electricity,electricity,elect_td_ind,input,
heat,gas,district heat,gas,gas,wholesale gas,input,
heat,refined liquids,district heat,refined liquids,refined liquids,refined liquids industrial,input,
electricity ownuse,electricity,electricity_net_ownuse,electricity_net_ownuse,electricity_net_ownuse,electricity,coefficient,
electricity distribution,electricity,elect_td_bld,elect_td_bld,elect_td_bld,electricity_net_ownuse,coefficient,
electricity distribution,electricity,elect_td_ind,elect_td_ind,elect_td_ind,electricity_net_ownuse,coefficient,
electricity distribution,electricity,elect_td_trn,elect_td_trn,elect_td_trn,electricity_net_ownuse,coefficient,
gas pipeline,gas,gas pipeline,gas pipeline,gas pipeline,gas processing,coefficient,
heat,biomass,district heat,biomass,biomass,delivered biomass,input,
heat,coal,district heat,coal,coal,delivered coal,input,
heat,gas,district heat,gas,gas,wholesale gas,input,
