# File: A23.india.hydro.exoinput.csv
# Title: State-wise hydro generation by states for future years
# Units: EJ
# Description: The national growing trajectory is kept from core and share among states is the 2015
# Column types: cin
# ----------
region,year,fixedOutput
AP,2015,0.012599008
AP,2020,0.012599008
AP,2025,0.016098732
AP,2030,0.019598457
AP,2035,0.020953285
AP,2040,0.022308113
AP,2045,0.024694515
AP,2050,0.027080916
AP,2055,0.02946728
AP,2060,0.031853682
AP,2065,0.034240083
AP,2070,0.036626484
AP,2075,0.039012735
AP,2080,0.041399438
AP,2085,0.043785764
AP,2090,0.04617209
AP,2095,0.048558416
AP,2100,0.050944742
AR,2015,0.00251978
AR,2020,0.00251978
AR,2025,0.003219719
AR,2030,0.003919657
AR,2035,0.004190621
AR,2040,0.004461584
AR,2045,0.00493886
AR,2050,0.005416136
AR,2055,0.005893405
AR,2060,0.006370681
AR,2065,0.006847957
AR,2070,0.007325233
AR,2075,0.007802479
AR,2080,0.008279816
AR,2085,0.008757077
AR,2090,0.009234338
AR,2095,0.009711599
AR,2100,0.01018886
AS,2015,0.005039559
AS,2020,0.005039559
AS,2025,0.006439437
AS,2030,0.007839315
AS,2035,0.008381241
AS,2040,0.008923168
AS,2045,0.00987772
AS,2050,0.010832273
AS,2055,0.01178681
AS,2060,0.012741362
AS,2065,0.013695914
AS,2070,0.014650467
AS,2075,0.015604959
AS,2080,0.016559632
AS,2085,0.017514154
AS,2090,0.018468676
AS,2095,0.019423198
AS,2100,0.02037772
BR,2015,0.00604
BR,2020,0.00878
BR,2025,0.009
BR,2030,0.0095
BR,2035,0.001
BR,2040,0.001
BR,2045,0.001
BR,2050,0.001
BR,2055,0.001
BR,2060,0.001
BR,2065,0.001
BR,2070,0.001
BR,2075,0.001
BR,2080,0.001
BR,2085,0.001
BR,2090,0.001
BR,2095,0.001
BR,2100,0.001
CG,2015,0.00251978
CG,2020,0.00251978
CG,2025,0.003219719
CG,2030,0.003919657
CG,2035,0.004190621
CG,2040,0.004461584
CG,2045,0.00493886
CG,2050,0.005416136
CG,2055,0.005893405
CG,2060,0.006370681
CG,2065,0.006847957
CG,2070,0.007325233
CG,2075,0.007802479
CG,2080,0.008279816
CG,2085,0.008757077
CG,2090,0.009234338
CG,2095,0.009711599
CG,2100,0.01018886
DL,2015,0
DL,2020,0
DL,2025,0
DL,2030,0
DL,2035,0
DL,2040,0
DL,2045,0
DL,2050,0
DL,2055,0
DL,2060,0
DL,2065,0
DL,2070,0
DL,2075,0
DL,2080,0
DL,2085,0
DL,2090,0
DL,2095,0
DL,2100,0
GA,2015,0
GA,2020,0
GA,2025,0
GA,2030,0
GA,2035,0
GA,2040,0
GA,2045,0
GA,2050,0
GA,2055,0
GA,2060,0
GA,2065,0
GA,2070,0
GA,2075,0
GA,2080,0
GA,2085,0
GA,2090,0
GA,2095,0
GA,2100,0
GJ,2015,0.007356472
GJ,2020,0.010079228
GJ,2025,0.012879014
GJ,2030,0.015678799
GJ,2035,0.016762664
GJ,2040,0.017846529
GJ,2045,0.019755655
GJ,2050,0.02166478
GJ,2055,0.023573875
GJ,2060,0.025483
GJ,2065,0.027392126
GJ,2070,0.029301251
GJ,2075,0.031210256
GJ,2080,0.033119622
GJ,2085,0.035028687
GJ,2090,0.036937752
GJ,2095,0.038846817
GJ,2100,0.040755882
HR,2015,0
HR,2020,0
HR,2025,0
HR,2030,0
HR,2035,0
HR,2040,0
HR,2045,0
HR,2050,0
HR,2055,0
HR,2060,0
HR,2065,0
HR,2070,0
HR,2075,0
HR,2080,0
HR,2085,0
HR,2090,0
HR,2095,0
HR,2100,0
HP,2015,0.054843678
HP,2020,0.054843678
HP,2025,0.070078033
HP,2030,0.085312389
HP,2035,0.091209977
HP,2040,0.097107566
HP,2045,0.107495609
HP,2050,0.117883652
HP,2055,0.12827153
HP,2060,0.138659573
HP,2065,0.149047616
HP,2070,0.159435659
HP,2075,0.169823045
HP,2080,0.180212401
HP,2085,0.190600116
HP,2090,0.20098783
HP,2095,0.211375545
HP,2100,0.221763259
JK,2015,0.02423927
JK,2020,0.02423927
JK,2025,0.0309724
JK,2030,0.037705531
JK,2035,0.040312089
JK,2040,0.042918648
JK,2045,0.047509853
JK,2050,0.052101058
JK,2055,0.05669219
JK,2060,0.061283395
JK,2065,0.0658746
JK,2070,0.070465805
JK,2075,0.07505672
JK,2080,0.079648506
JK,2085,0.084239566
JK,2090,0.088830626
JK,2095,0.093421686
JK,2100,0.098012746
JH,2015,0.007559448
JH,2020,0.007559448
JH,2025,0.009659295
JH,2030,0.011759142
JH,2035,0.012572044
JH,2040,0.013384945
JH,2045,0.014816795
JH,2050,0.016248644
JH,2055,0.01768047
JH,2060,0.019112319
JH,2065,0.020544169
JH,2070,0.021976018
JH,2075,0.023407776
JH,2080,0.024839806
JH,2085,0.02627161
JH,2090,0.027703414
JH,2095,0.029135218
JH,2100,0.030567022
KA,2015,0.040316913
KA,2020,0.040316913
KA,2025,0.051516055
KA,2030,0.062715198
KA,2035,0.067050658
KA,2040,0.071386118
KA,2045,0.079022619
KA,2050,0.08665912
KA,2055,0.094295501
KA,2060,0.101932002
KA,2065,0.109568503
KA,2070,0.117205004
KA,2075,0.124841023
KA,2080,0.132478489
KA,2085,0.140114749
KA,2090,0.147751009
KA,2095,0.155387269
KA,2100,0.163023529
KL,2015,0.035277244
KL,2020,0.035277244
KL,2025,0.045076479
KL,2030,0.054875713
KL,2035,0.058669235
KL,2040,0.062462756
KL,2045,0.069144684
KL,2050,0.075826613
KL,2055,0.082508435
KL,2060,0.089190364
KL,2065,0.095872292
KL,2070,0.10255422
KL,2075,0.109235726
KL,2080,0.115918499
KL,2085,0.122600216
KL,2090,0.129281933
KL,2095,0.13596365
KL,2100,0.142645367
MP,2015,0.027717796
MP,2020,0.027717796
MP,2025,0.035417183
MP,2030,0.043116571
MP,2035,0.046097191
MP,2040,0.049077811
MP,2045,0.05432789
MP,2050,0.059577969
MP,2055,0.064827965
MP,2060,0.070078044
MP,2065,0.075328123
MP,2070,0.080578202
MP,2075,0.085827949
MP,2080,0.091078692
MP,2085,0.096328605
MP,2090,0.101578519
MP,2095,0.106828432
MP,2100,0.112078345
MH,2015,0.0211428
MH,2020,0.035277244
MH,2025,0.045076479
MH,2030,0.054875713
MH,2035,0.058669235
MH,2040,0.062462756
MH,2045,0.069144684
MH,2050,0.075826613
MH,2055,0.082508435
MH,2060,0.089190364
MH,2065,0.095872292
MH,2070,0.10255422
MH,2075,0.109235726
MH,2080,0.115918499
MH,2085,0.122600216
MH,2090,0.129281933
MH,2095,0.13596365
MH,2100,0.142645367
MN,2015,0.00251978
MN,2020,0.00251978
MN,2025,0.003219719
MN,2030,0.003919657
MN,2035,0.004190621
MN,2040,0.004461584
MN,2045,0.00493886
MN,2050,0.005416136
MN,2055,0.005893405
MN,2060,0.006370681
MN,2065,0.006847957
MN,2070,0.007325233
MN,2075,0.007802479
MN,2080,0.008279816
MN,2085,0.008757077
MN,2090,0.009234338
MN,2095,0.009711599
MN,2100,0.01018886
ML,2015,0.012599008
ML,2020,0.012599008
ML,2025,0.016098732
ML,2030,0.019598457
ML,2035,0.020953285
ML,2040,0.022308113
ML,2045,0.024694515
ML,2050,0.027080916
ML,2055,0.02946728
ML,2060,0.031853682
ML,2065,0.034240083
ML,2070,0.036626484
ML,2075,0.039012735
ML,2080,0.041399438
ML,2085,0.043785764
ML,2090,0.04617209
ML,2095,0.048558416
ML,2100,0.050944742
MZ,2015,0
MZ,2020,0
MZ,2025,0
MZ,2030,0
MZ,2035,0
MZ,2040,0
MZ,2045,0
MZ,2050,0
MZ,2055,0
MZ,2060,0
MZ,2065,0
MZ,2070,0
MZ,2075,0
MZ,2080,0
MZ,2085,0
MZ,2090,0
MZ,2095,0
MZ,2100,0
NL,2015,0
NL,2020,0
NL,2025,0
NL,2030,0
NL,2035,0
NL,2040,0
NL,2045,0
NL,2050,0
NL,2055,0
NL,2060,0
NL,2065,0
NL,2070,0
NL,2075,0
NL,2080,0
NL,2085,0
NL,2090,0
NL,2095,0
NL,2100,0
OD,2015,0.015118788
OD,2020,0.015118788
OD,2025,0.019318451
OD,2030,0.023518114
OD,2035,0.025143906
OD,2040,0.026769697
OD,2045,0.029633375
OD,2050,0.032497053
OD,2055,0.035360685
OD,2060,0.038224363
OD,2065,0.04108804
OD,2070,0.043951718
OD,2075,0.046815214
OD,2080,0.049679254
OD,2085,0.052542841
OD,2090,0.055406428
OD,2095,0.058270015
OD,2100,0.061133603
PB,2015,0.015118788
PB,2020,0.015118788
PB,2025,0.019318451
PB,2030,0.023518114
PB,2035,0.025143906
PB,2040,0.026769697
PB,2045,0.029633375
PB,2050,0.032497053
PB,2055,0.035360685
PB,2060,0.038224363
PB,2065,0.04108804
PB,2070,0.043951718
PB,2075,0.046815214
PB,2080,0.049679254
PB,2085,0.052542841
PB,2090,0.055406428
PB,2095,0.058270015
PB,2100,0.061133603
RJ,2015,0.006370186
RJ,2020,0.004251127
RJ,2025,0.009659295
RJ,2030,0.011759142
RJ,2035,0.012572044
RJ,2040,0.013384945
RJ,2045,0.014816795
RJ,2050,0.016248644
RJ,2055,0.01768047
RJ,2060,0.019112319
RJ,2065,0.020544169
RJ,2070,0.021976018
RJ,2075,0.023407776
RJ,2080,0.024839806
RJ,2085,0.02627161
RJ,2090,0.027703414
RJ,2095,0.029135218
RJ,2100,0.030567022
SK,2015,0.010079228
SK,2020,0.010079228
SK,2025,0.012879014
SK,2030,0.015678799
SK,2035,0.016762664
SK,2040,0.017846529
SK,2045,0.019755655
SK,2050,0.02166478
SK,2055,0.023573875
SK,2060,0.025483
SK,2065,0.027392126
SK,2070,0.029301251
SK,2075,0.031210256
SK,2080,0.033119622
SK,2085,0.035028687
SK,2090,0.036937752
SK,2095,0.038846817
SK,2100,0.040755882
TN,2015,0.045356472
TN,2020,0.045356472
TN,2025,0.057955492
TN,2030,0.070554512
TN,2035,0.075431899
TN,2040,0.080309286
TN,2045,0.088900339
TN,2050,0.097491393
TN,2055,0.10608231
TN,2060,0.114673364
TN,2065,0.123264417
TN,2070,0.131855471
TN,2075,0.140445981
TN,2080,0.149038121
TN,2085,0.157628903
TN,2090,0.166219685
TN,2095,0.174810467
TN,2100,0.183401249
TS,2015,0.020158456
TS,2020,0.020158456
TS,2025,0.025758028
TS,2030,0.031357599
TS,2035,0.033525329
TS,2040,0.035693059
TS,2045,0.039511309
TS,2050,0.04332956
TS,2055,0.04714775
TS,2060,0.050966001
TS,2065,0.054784251
TS,2070,0.058602502
TS,2075,0.062420511
TS,2080,0.066239245
TS,2085,0.070057375
TS,2090,0.073875505
TS,2095,0.077693634
TS,2100,0.081511764
TR,2015,0
TR,2020,0
TR,2025,0
TR,2030,0
TR,2035,0
TR,2040,0
TR,2045,0
TR,2050,0
TR,2055,0
TR,2060,0
TR,2065,0
TR,2070,0
TR,2075,0
TR,2080,0
TR,2085,0
TR,2090,0
TR,2095,0
TR,2100,0
UP,2015,0.010079228
UP,2020,0.010079228
UP,2025,0.012879014
UP,2030,0.015678799
UP,2035,0.016762664
UP,2040,0.017846529
UP,2045,0.019755655
UP,2050,0.02166478
UP,2055,0.023573875
UP,2060,0.025483
UP,2065,0.027392126
UP,2070,0.029301251
UP,2075,0.031210256
UP,2080,0.033119622
UP,2085,0.035028687
UP,2090,0.036937752
UP,2095,0.038846817
UP,2100,0.040755882
UK,2015,0.039724781
UK,2020,0.039724781
UK,2025,0.050759443
UK,2030,0.061794104
UK,2035,0.06606589
UK,2040,0.070337675
UK,2045,0.07786202
UK,2050,0.085386364
UK,2055,0.09291059
UK,2060,0.100434935
UK,2065,0.107959279
UK,2070,0.115483624
UK,2075,0.123007492
UK,2080,0.130532788
UK,2085,0.138056895
UK,2090,0.145581002
UK,2095,0.153105108
UK,2100,0.160629215
WB,2015,0.012599008
WB,2020,0.012599008
WB,2025,0.016098732
WB,2030,0.019598457
WB,2035,0.020953285
WB,2040,0.022308113
WB,2045,0.024694515
WB,2050,0.027080916
WB,2055,0.02946728
WB,2060,0.031853682
WB,2065,0.034240083
WB,2070,0.036626484
WB,2075,0.039012735
WB,2080,0.041399438
WB,2085,0.043785764
WB,2090,0.04617209
WB,2095,0.048558416
WB,2100,0.050944742
CH,2015,0
CH,2020,0
CH,2025,0
CH,2030,0
CH,2035,0
CH,2040,0
CH,2045,0
CH,2050,0
CH,2055,0
CH,2060,0
CH,2065,0
CH,2070,0
CH,2075,0
CH,2080,0
CH,2085,0
CH,2090,0
CH,2095,0
CH,2100,0
DD,2015,0
DD,2020,0
DD,2025,0
DD,2030,0
DD,2035,0
DD,2040,0
DD,2045,0
DD,2050,0
DD,2055,0
DD,2060,0
DD,2065,0
DD,2070,0
DD,2075,0
DD,2080,0
DD,2085,0
DD,2090,0
DD,2095,0
DD,2100,0
DN,2015,0
DN,2020,0
DN,2025,0
DN,2030,0
DN,2035,0
DN,2040,0
DN,2045,0
DN,2050,0
DN,2055,0
DN,2060,0
DN,2065,0
DN,2070,0
DN,2075,0
DN,2080,0
DN,2085,0
DN,2090,0
DN,2095,0
DN,2100,0
LA,2015,0.000958746
LA,2020,0.000958746
LA,2025,0.001225064
LA,2030,0.001491383
LA,2035,0.001594481
LA,2040,0.001697579
LA,2045,0.001879177
LA,2050,0.002060775
LA,2055,0.00224237
LA,2060,0.002423968
LA,2065,0.002605566
LA,2070,0.002787164
LA,2075,0.00296875
LA,2080,0.003150371
LA,2085,0.003331963
LA,2090,0.003513555
LA,2095,0.003695147
LA,2100,0.003876739
LD,2015,0
LD,2020,0
LD,2025,0
LD,2030,0
LD,2035,0
LD,2040,0
LD,2045,0
LD,2050,0
LD,2055,0
LD,2060,0
LD,2065,0
LD,2070,0
LD,2075,0
LD,2080,0
LD,2085,0
LD,2090,0
LD,2095,0
LD,2100,0
AN,2015,0
AN,2020,0
AN,2025,0
AN,2030,0
AN,2035,0
AN,2040,0
AN,2045,0
AN,2050,0
AN,2055,0
AN,2060,0
AN,2065,0
AN,2070,0
AN,2075,0
AN,2080,0
AN,2085,0
AN,2090,0
AN,2095,0
AN,2100,0
PC,2015,0
PC,2020,0
PC,2025,0
PC,2030,0
PC,2035,0
PC,2040,0
PC,2045,0
PC,2050,0
PC,2055,0
PC,2060,0
PC,2065,0
PC,2070,0
PC,2075,0
PC,2080,0
PC,2085,0
PC,2090,0
PC,2095,0
PC,2100,0
