# File: A23.india_state_elect_td_res_com_StubTechCapFactor.csv
# Title: Elect_td_sectors
# Units: Unitless
# Column types: ccccnn
# ----------
region,supplysector,subsector,stub.technology,year,capacity.factor
India,elect_td_res,rooftop_pv,rooftop_pv,1975,0.2473607
India,elect_td_res,rooftop_pv,rooftop_pv,1990,0.2473607
India,elect_td_res,rooftop_pv,rooftop_pv,2005,0.2473607
India,elect_td_res,rooftop_pv,rooftop_pv,2010,0.2473607
India,elect_td_res,rooftop_pv,rooftop_pv,2015,0.2473607
India,elect_td_res,rooftop_pv,rooftop_pv,2020,0.2473607
India,elect_td_res,rooftop_pv,rooftop_pv,2025,0.2473607
India,elect_td_res,rooftop_pv,rooftop_pv,2030,0.2473607
India,elect_td_res,rooftop_pv,rooftop_pv,2035,0.2473607
India,elect_td_res,rooftop_pv,rooftop_pv,2040,0.2473607
India,elect_td_res,rooftop_pv,rooftop_pv,2045,0.2473607
India,elect_td_res,rooftop_pv,rooftop_pv,2050,0.2473607
India,elect_td_res,rooftop_pv,rooftop_pv,2055,0.2473607
India,elect_td_res,rooftop_pv,rooftop_pv,2060,0.2473607
India,elect_td_res,rooftop_pv,rooftop_pv,2065,0.2473607
India,elect_td_res,rooftop_pv,rooftop_pv,2070,0.2473607
India,elect_td_res,rooftop_pv,rooftop_pv,2075,0.2473607
India,elect_td_res,rooftop_pv,rooftop_pv,2080,0.2473607
India,elect_td_res,rooftop_pv,rooftop_pv,2085,0.2473607
India,elect_td_res,rooftop_pv,rooftop_pv,2090,0.2473607
India,elect_td_res,rooftop_pv,rooftop_pv,2095,0.2473607
India,elect_td_res,rooftop_pv,rooftop_pv,2100,0.2473607
India,elect_td_com,rooftop_pv,rooftop_pv,1975,0.2473607
India,elect_td_com,rooftop_pv,rooftop_pv,1990,0.2473607
India,elect_td_com,rooftop_pv,rooftop_pv,2005,0.2473607
India,elect_td_com,rooftop_pv,rooftop_pv,2010,0.2473607
India,elect_td_com,rooftop_pv,rooftop_pv,2015,0.2473607
India,elect_td_com,rooftop_pv,rooftop_pv,2020,0.2473607
India,elect_td_com,rooftop_pv,rooftop_pv,2025,0.2473607
India,elect_td_com,rooftop_pv,rooftop_pv,2030,0.2473607
India,elect_td_com,rooftop_pv,rooftop_pv,2035,0.2473607
India,elect_td_com,rooftop_pv,rooftop_pv,2040,0.2473607
India,elect_td_com,rooftop_pv,rooftop_pv,2045,0.2473607
India,elect_td_com,rooftop_pv,rooftop_pv,2050,0.2473607
India,elect_td_com,rooftop_pv,rooftop_pv,2055,0.2473607
India,elect_td_com,rooftop_pv,rooftop_pv,2060,0.2473607
India,elect_td_com,rooftop_pv,rooftop_pv,2065,0.2473607
India,elect_td_com,rooftop_pv,rooftop_pv,2070,0.2473607
India,elect_td_com,rooftop_pv,rooftop_pv,2075,0.2473607
India,elect_td_com,rooftop_pv,rooftop_pv,2080,0.2473607
India,elect_td_com,rooftop_pv,rooftop_pv,2085,0.2473607
India,elect_td_com,rooftop_pv,rooftop_pv,2090,0.2473607
India,elect_td_com,rooftop_pv,rooftop_pv,2095,0.2473607
India,elect_td_com,rooftop_pv,rooftop_pv,2100,0.2473607
