# File: A23.india_state_solar.csv
# Title: India solar resources by state
# Units: maxResource in EJ; Base Cost in 2007INR/kWh
# Source: max resource CEEW's analysis available at https://www.ceew.in/sites/default/files/CEEW-A-Second-Wind-for-India-Wind-Energy-Sector-17July19.pdf
# Column types: cnnnn
# ----------
region,maxResource,mid_price,curve_exponent,base_cost
AP,1.834847188,0.01,0.5,0.01
AR,1.063962772,0.01,0.5,0.01
AS,0.68882725,0.01,0.5,0.01
BR,0.588010554,0.01,0.5,0.01
CG,0.832076491,0.01,0.5,0.01
DL,0.006217982,0.01,0.5,0.01
GA,0.039453238,0.01,0.5,0.01
GJ,1.663361101,0.01,0.5,0.01
HR,0.126927324,0.01,0.5,0.01
HP,1.74687349,0.01,0.5,0.01
JK,13.44260945,0.01,0.5,0.01
JH,0.900301381,0.01,0.5,0.01
KA,1.012205167,0.01,0.5,0.01
KL,0.17507977,0.01,0.5,0.01
MP,3.02495382,0.01,0.5,0.01
MH,2.760116136,0.01,0.5,0.01
MN,0.432427108,0.01,0.5,0.01
ML,0.316428497,0.01,0.5,0.01
MZ,0.329044261,0.01,0.5,0.01
NL,0.387460546,0.01,0.5,0.01
OD,1.409498036,0.01,0.5,0.01
PB,0.035376011,0.01,0.5,0.01
RJ,6.032929267,0.01,0.5,0.01
SK,0.252084968,0.01,0.5,0.01
TN,0.629085043,0.01,0.5,0.01
TS,1.089597507,0.01,0.5,0.01
TR,0.070429149,0.01,0.5,0.01
UP,0.973680763,0.01,0.5,0.01
UK,0.653171977,0.01,0.5,0.01
WB,0.126623579,0.01,0.5,0.01
AN,0.023429712,0.01,0.5,0.01
CH,0.023429712,0.01,0.5,0.01
DD,0.023429712,0.01,0.5,0.01
DN,0.023429712,0.01,0.5,0.01
LA,0.023429712,0.01,0.5,0.01
LD,0.023429712,0.01,0.5,0.01
PC,0.023429712,0.01,0.5,0.01
