# File: A23.india_state_stubtech_CC.csv
# Title: Electricity technology capital costs
# Units: 1975$/kW
# Source: Muratori et al. (2017)
# Column types: ccccncnn
# ----------
region,supplysector,subsector,stub.technology,year,input.capital,capital.overnight,fixed.charge.rate
AN,electricity,solar,CSP,2015,capital,518,0.17
AP,electricity,solar,CSP,2015,capital,518,0.17
AS,electricity,solar,CSP,2015,capital,518,0.17
AR,electricity,solar,CSP,2015,capital,518,0.17
BR,electricity,solar,CSP,2015,capital,518,0.17
CG,electricity,solar,CSP,2015,capital,518,0.17
CH,electricity,solar,CSP,2015,capital,518,0.17
DD,electricity,solar,CSP,2015,capital,518,0.17
DL,electricity,solar,CSP,2015,capital,518,0.17
DN,electricity,solar,CSP,2015,capital,518,0.17
GA,electricity,solar,CSP,2015,capital,518,0.17
GJ,electricity,solar,CSP,2015,capital,518,0.17
HP,electricity,solar,CSP,2015,capital,518,0.17
HR,electricity,solar,CSP,2015,capital,518,0.17
JK,electricity,solar,CSP,2015,capital,518,0.17
JH,electricity,solar,CSP,2015,capital,518,0.17
KA,electricity,solar,CSP,2015,capital,518,0.17
KL,electricity,solar,CSP,2015,capital,518,0.17
LA,electricity,solar,CSP,2015,capital,518,0.17
LD,electricity,solar,CSP,2015,capital,518,0.17
MH,electricity,solar,CSP,2015,capital,518,0.17
ML,electricity,solar,CSP,2015,capital,518,0.17
MN,electricity,solar,CSP,2015,capital,518,0.17
MP,electricity,solar,CSP,2015,capital,518,0.17
MZ,electricity,solar,CSP,2015,capital,518,0.17
NL,electricity,solar,CSP,2015,capital,518,0.17
OD,electricity,solar,CSP,2015,capital,518,0.17
PB,electricity,solar,CSP,2015,capital,518,0.17
PC,electricity,solar,CSP,2015,capital,518,0.17
RJ,electricity,solar,CSP,2015,capital,518,0.17
SK,electricity,solar,CSP,2015,capital,518,0.17
TN,electricity,solar,CSP,2015,capital,518,0.17
TS,electricity,solar,CSP,2015,capital,518,0.17
TR,electricity,solar,CSP,2015,capital,518,0.17
UK,electricity,solar,CSP,2015,capital,518,0.17
UP,electricity,solar,CSP,2015,capital,518,0.17
WB,electricity,solar,CSP,2015,capital,518,0.17
AN,electricity,solar,PV,2015,capital,289,0.12944
AP,electricity,solar,PV,2015,capital,289,0.12944
AS,electricity,solar,PV,2015,capital,289,0.12944
AR,electricity,solar,PV,2015,capital,289,0.12944
BR,electricity,solar,PV,2015,capital,289,0.12944
CG,electricity,solar,PV,2015,capital,289,0.12944
CH,electricity,solar,PV,2015,capital,289,0.12944
DD,electricity,solar,PV,2015,capital,289,0.12944
DL,electricity,solar,PV,2015,capital,289,0.12944
DN,electricity,solar,PV,2015,capital,289,0.12944
GA,electricity,solar,PV,2015,capital,289,0.12944
GJ,electricity,solar,PV,2015,capital,289,0.12944
