# File: A23.india_state_stubtech_CF.csv
# Title: Electricity technology capacity factors
# Units: Unitless; ratio of generation to capacity
# Source: Assumption
# Column types: ccccnn
# ----------
region,supplysector,subsector,stub.technology,year,capacity.factor
AN,electricity,solar,CSP,2015,0.22
AN,electricity,solar,PV,2015,0.18
AP,electricity,solar,CSP,2015,0.22
AP,electricity,solar,PV,2015,0.18
AS,electricity,solar,CSP,2015,0.22
AS,electricity,solar,PV,2015,0.18
AR,electricity,solar,CSP,2015,0.22
AR,electricity,solar,PV,2015,0.18
BR,electricity,solar,CSP,2015,0.22
BR,electricity,solar,PV,2015,0.18
CG,electricity,solar,CSP,2015,0.22
CG,electricity,solar,PV,2015,0.18
CH,electricity,solar,CSP,2015,0.22
CH,electricity,solar,PV,2015,0.18
DD,electricity,solar,CSP,2015,0.22
DD,electricity,solar,PV,2015,0.18
DL,electricity,solar,CSP,2015,0.22
DL,electricity,solar,PV,2015,0.18
DN,electricity,solar,CSP,2015,0.22
DN,electricity,solar,PV,2015,0.18
GA,electricity,solar,CSP,2015,0.22
GA,electricity,solar,PV,2015,0.18
GJ,electricity,solar,CSP,2015,0.22
GJ,electricity,solar,PV,2015,0.18
HP,electricity,solar,CSP,2015,0.22
HP,electricity,solar,PV,2015,0.18
HR,electricity,solar,CSP,2015,0.22
HR,electricity,solar,PV,2015,0.18
JK,electricity,solar,CSP,2015,0.22
JK,electricity,solar,PV,2015,0.18
JH,electricity,solar,CSP,2015,0.22
JH,electricity,solar,PV,2015,0.18
KA,electricity,solar,CSP,2015,0.22
KA,electricity,solar,PV,2015,0.18
KL,electricity,solar,CSP,2015,0.22
KL,electricity,solar,PV,2015,0.18
LA,electricity,solar,CSP,2015,0.22
LA,electricity,solar,PV,2015,0.18
LD,electricity,solar,CSP,2015,0.22
LD,electricity,solar,PV,2015,0.18
MH,electricity,solar,CSP,2015,0.22
MH,electricity,solar,PV,2015,0.18
ML,electricity,solar,CSP,2015,0.22
ML,electricity,solar,PV,2015,0.18
MN,electricity,solar,CSP,2015,0.22
MN,electricity,solar,PV,2015,0.18
MP,electricity,solar,CSP,2015,0.22
MP,electricity,solar,PV,2015,0.18
MZ,electricity,solar,CSP,2015,0.22
MZ,electricity,solar,PV,2015,0.18
NL,electricity,solar,CSP,2015,0.22
NL,electricity,solar,PV,2015,0.18
OD,electricity,solar,CSP,2015,0.22
OD,electricity,solar,PV,2015,0.18
PB,electricity,solar,CSP,2015,0.22
PB,electricity,solar,PV,2015,0.18
PC,electricity,solar,CSP,2015,0.22
PC,electricity,solar,PV,2015,0.18
RJ,electricity,solar,CSP,2015,0.22
RJ,electricity,solar,PV,2015,0.18
SK,electricity,solar,CSP,2015,0.22
SK,electricity,solar,PV,2015,0.18
TN,electricity,solar,CSP,2015,0.22
TN,electricity,solar,PV,2015,0.18
TS,electricity,solar,CSP,2015,0.22
TS,electricity,solar,PV,2015,0.18
TR,electricity,solar,CSP,2015,0.22
TR,electricity,solar,PV,2015,0.18
UK,electricity,solar,CSP,2015,0.22
UK,electricity,solar,PV,2015,0.18
UP,electricity,solar,CSP,2015,0.22
UP,electricity,solar,PV,2015,0.18
WB,electricity,solar,CSP,2015,0.22
WB,electricity,solar,PV,2015,0.18
AN,electricity,wind,wind,2015,0.24
