# File: A23.india_state_stubtech_LT.csv
# Title: Lifetime of all techs
# Units: years
# Column types: ccccnn
# ----------
region,supplysector,subsector,stub.technology,year,lifetime
India,electricity,biomass,biomass (conv CCS),2015,50
India,electricity,biomass,biomass (conv),2015,50
India,electricity,biomass,biomass (IGCC CCS),2015,50
India,electricity,biomass,biomass (IGCC),2015,50
India,electricity,coal,coal (conv pul CCS),2015,50
India,electricity,coal,coal (conv pul),2015,50
India,electricity,coal,coal (IGCC CCS),2015,50
India,electricity,coal,coal (IGCC),2015,50
India,electricity,solar,CSP_storage,2015,25
India,electricity,gas,gas (CC CCS),2015,50
India,electricity,gas,gas (CC),2015,50
India,electricity,gas,gas (steam/CT),2015,50
India,electricity,geothermal,geothermal,2015,50
India,electricity,solar,PV_storage,2015,25
India,electricity,refined liquids,refined liquids (CC CCS),2015,50
India,electricity,refined liquids,refined liquids (CC),2015,50
India,electricity,refined liquids,refined liquids (steam/CT),2015,50
India,electricity,wind,wind_storage,2015,25
India,electricity,biomass,biomass (conv CCS),2020,50
India,electricity,biomass,biomass (conv),2020,50
India,electricity,biomass,biomass (IGCC CCS),2020,50
India,electricity,biomass,biomass (IGCC),2020,50
India,electricity,coal,coal (conv pul CCS),2020,50
India,electricity,coal,coal (conv pul),2020,50
India,electricity,coal,coal (IGCC CCS),2020,50
India,electricity,coal,coal (IGCC),2020,50
India,electricity,solar,CSP_storage,2020,25
India,electricity,gas,gas (CC CCS),2020,50
India,electricity,gas,gas (CC),2020,50
India,electricity,gas,gas (steam/CT),2020,50
India,electricity,geothermal,geothermal,2020,50
India,electricity,solar,PV_storage,2020,25
India,electricity,refined liquids,refined liquids (CC CCS),2020,50
India,electricity,refined liquids,refined liquids (CC),2020,50
India,electricity,refined liquids,refined liquids (steam/CT),2020,50
India,electricity,wind,wind_storage,2020,25
India,electricity,biomass,biomass (conv CCS),2025,50
India,electricity,biomass,biomass (conv),2025,50
India,electricity,biomass,biomass (IGCC CCS),2025,50
India,electricity,biomass,biomass (IGCC),2025,50
India,electricity,coal,coal (conv pul CCS),2025,50
India,electricity,coal,coal (conv pul),2025,50
India,electricity,coal,coal (IGCC CCS),2025,50
India,electricity,coal,coal (IGCC),2025,50
India,electricity,solar,CSP_storage,2025,25
India,electricity,gas,gas (CC CCS),2025,50
India,electricity,gas,gas (CC),2025,50
India,electricity,gas,gas (steam/CT),2025,50
India,electricity,geothermal,geothermal,2025,50
India,electricity,solar,PV_storage,2025,25
India,electricity,refined liquids,refined liquids (CC CCS),2025,50
India,electricity,refined liquids,refined liquids (CC),2025,50
India,electricity,refined liquids,refined liquids (steam/CT),2025,50
India,electricity,wind,wind_storage,2025,25
India,electricity,biomass,biomass (conv CCS),2030,50
India,electricity,biomass,biomass (conv),2030,50
India,electricity,biomass,biomass (IGCC CCS),2030,50
India,electricity,biomass,biomass (IGCC),2030,50
India,electricity,coal,coal (conv pul CCS),2030,50
India,electricity,coal,coal (conv pul),2030,50
India,electricity,coal,coal (IGCC CCS),2030,50
India,electricity,coal,coal (IGCC),2030,50
India,electricity,solar,CSP_storage,2030,25
India,electricity,gas,gas (CC CCS),2030,50
India,electricity,gas,gas (CC),2030,50
India,electricity,gas,gas (steam/CT),2030,50
India,electricity,geothermal,geothermal,2030,50
India,electricity,solar,PV_storage,2030,25
India,electricity,refined liquids,refined liquids (CC CCS),2030,50
India,electricity,refined liquids,refined liquids (CC),2030,50
India,electricity,refined liquids,refined liquids (steam/CT),2030,50
India,electricity,wind,wind_storage,2030,25
India,electricity,biomass,biomass (conv CCS),2035,50
India,electricity,biomass,biomass (conv),2035,50
India,electricity,biomass,biomass (IGCC CCS),2035,50
India,electricity,biomass,biomass (IGCC),2035,50
India,electricity,coal,coal (conv pul CCS),2035,50
India,electricity,coal,coal (conv pul),2035,50
India,electricity,coal,coal (IGCC CCS),2035,50
India,electricity,coal,coal (IGCC),2035,50
India,electricity,solar,CSP_storage,2035,25
India,electricity,gas,gas (CC CCS),2035,50
India,electricity,gas,gas (CC),2035,50
India,electricity,gas,gas (steam/CT),2035,50
India,electricity,geothermal,geothermal,2035,50
India,electricity,solar,PV_storage,2035,25
India,electricity,refined liquids,refined liquids (CC CCS),2035,50
India,electricity,refined liquids,refined liquids (CC),2035,50
India,electricity,refined liquids,refined liquids (steam/CT),2035,50
India,electricity,wind,wind_storage,2035,25
India,electricity,biomass,biomass (conv CCS),2040,50
India,electricity,biomass,biomass (conv),2040,50
India,electricity,biomass,biomass (IGCC CCS),2040,50
India,electricity,biomass,biomass (IGCC),2040,50
India,electricity,coal,coal (conv pul CCS),2040,50
India,electricity,coal,coal (conv pul),2040,50
India,electricity,coal,coal (IGCC CCS),2040,50
India,electricity,coal,coal (IGCC),2040,50
India,electricity,solar,CSP_storage,2040,25
India,electricity,gas,gas (CC CCS),2040,50
India,electricity,gas,gas (CC),2040,50
India,electricity,gas,gas (steam/CT),2040,50
India,electricity,geothermal,geothermal,2040,50
India,electricity,solar,PV_storage,2040,25
India,electricity,refined liquids,refined liquids (CC CCS),2040,50
India,electricity,refined liquids,refined liquids (CC),2040,50
India,electricity,refined liquids,refined liquids (steam/CT),2040,50
India,electricity,wind,wind_storage,2040,25
India,electricity,biomass,biomass (conv CCS),2045,50
India,electricity,biomass,biomass (conv),2045,50
India,electricity,biomass,biomass (IGCC CCS),2045,50
India,electricity,biomass,biomass (IGCC),2045,50
India,electricity,coal,coal (conv pul CCS),2045,50
