# File: A23.india_state_tech_eff.csv
# Title: India efficiencies by fuel and electric sector
# Units: Unitless efficiency (electricity out / energy in)
# Source: Assumption from India Data
# Comments: Correction for coal use in base years
# Column types: ccccccnnnn
# ----------
region,supplysector,subsector,stub.technology,minicam.energy.input,market.name,1975,1990,2005,2010
AN,electricity,coal,coal (conv pul),regional coal,Southern,0.287589,0.296496,0.26684,0.278752
AN,electricity,gas,gas (steam/CT),wholesale gas,Southern,0.141405,0.247442,0.33,0.376667869
AN,electricity,gas,gas (CC),wholesale gas,Southern,0.45,0.45,0.54363,0.57608
AN,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,Southern,0.222574,0.240573,0.249086,0.202075
AN,electricity,biomass,biomass (conv),regional biomass,Southern,0.33,0.33,0.150072,0.149919
AP,electricity,coal,coal (conv pul),regional coal,Southern,0.287589,0.296496,0.26684,0.31743988
AP,electricity,gas,gas (steam/CT),wholesale gas,Southern,0.141405,0.247442,0.33,1.018055487
AP,electricity,gas,gas (CC),wholesale gas,Southern,0.45,0.45,0.54363,0.57608
AP,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,Southern,0.3,0.240573,0.249086,0.202075
AP,electricity,biomass,biomass (conv),regional biomass,Southern,0.33,0.33,0.150072,0.149919
AR,electricity,coal,coal (conv pul),regional coal,North-Eastern,0.287589,0.296496,0.26684,0.278752
AR,electricity,gas,gas (steam/CT),wholesale gas,North-Eastern,0.141405,0.247442,0.33,0.376667869
AR,electricity,gas,gas (CC),wholesale gas,North-Eastern,0.45,0.45,0.54363,0.57608
AR,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,North-Eastern,0.2,0.240573,0.249086,0.202075
AR,electricity,biomass,biomass (conv),regional biomass,North-Eastern,0.33,0.33,0.150072,0.149919
AS,electricity,coal,coal (conv pul),regional coal,North-Eastern,0.287589,0.296496,0.26684,0.278752
AS,electricity,gas,gas (steam/CT),wholesale gas,North-Eastern,0.141405,0.247442,0.33,0.251294668
AS,electricity,gas,gas (CC),wholesale gas,North-Eastern,0.45,0.45,0.54363,0.57608
AS,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,North-Eastern,0.2,0.240573,0.249086,0.202075
AS,electricity,biomass,biomass (conv),regional biomass,North-Eastern,0.33,0.33,0.150072,0.149919
BR,electricity,coal,coal (conv pul),regional coal,Eastern,0.287589,0.296496,0.26684,0.259747842
BR,electricity,gas,gas (steam/CT),wholesale gas,Eastern,0.141405,0.247442,0.33,0.376667869
BR,electricity,gas,gas (CC),wholesale gas,Eastern,0.45,0.45,0.54363,0.57608
BR,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,Eastern,0.2,0.240573,0.249086,0.202075
BR,electricity,biomass,biomass (conv),regional biomass,Eastern,0.33,0.33,0.150072,0.149919
CG,electricity,coal,coal (conv pul),regional coal,Western,0.287589,0.296496,0.26684,0.317450496
CG,electricity,gas,gas (steam/CT),wholesale gas,Western,0.141405,0.247442,0.33,0.376667869
CG,electricity,gas,gas (CC),wholesale gas,Western,0.45,0.45,0.54363,0.57608
CG,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,Western,0.2,0.240573,0.249086,0.202075
CG,electricity,biomass,biomass (conv),regional biomass,Western,0.33,0.33,0.150072,0.149919
CH,electricity,coal,coal (conv pul),regional coal,Northern,0.287589,0.296496,0.26684,0.278752
CH,electricity,gas,gas (steam/CT),wholesale gas,Northern,0.141405,0.247442,0.33,0.376667869
CH,electricity,gas,gas (CC),wholesale gas,Northern,0.45,0.45,0.54363,0.57608
CH,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,Northern,0.2,0.240573,0.249086,0.202075
CH,electricity,biomass,biomass (conv),regional biomass,Northern,0.33,0.33,0.150072,0.149919
DL,electricity,coal,coal (conv pul),regional coal,Northern,0.287589,0.296496,0.26684,0.260565804
DL,electricity,gas,gas (steam/CT),wholesale gas,Northern,0.141405,0.247442,0.33,0.412997332
DL,electricity,gas,gas (CC),wholesale gas,Northern,0.45,0.45,0.54363,0.57608
DL,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,Northern,0.2,0.240573,0.249086,0.202075
DL,electricity,biomass,biomass (conv),regional biomass,Northern,0.33,0.33,0.150072,0.149919
GA,electricity,coal,coal (conv pul),regional coal,Western,0.287589,0.296496,0.26684,0.278752
GA,electricity,gas,gas (steam/CT),wholesale gas,Western,0.141405,0.247442,0.33,0.376667869
GA,electricity,gas,gas (CC),wholesale gas,Western,0.45,0.45,0.54363,0.57608
GA,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,Western,0.2,0.240573,0.249086,0.202075
GA,electricity,biomass,biomass (conv),regional biomass,Western,0.33,0.33,0.150072,0.149919
GJ,electricity,coal,coal (conv pul),regional coal,Western,0.287589,0.296496,0.26684,0.389366092
GJ,electricity,gas,gas (steam/CT),wholesale gas,Western,0.141405,0.247442,0.33,0.941547355
GJ,electricity,gas,gas (CC),wholesale gas,Western,0.45,0.45,0.54363,0.57608
GJ,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,Western,0.2,0.240573,0.249086,0.202075
GJ,electricity,biomass,biomass (conv),regional biomass,Western,0.33,0.33,0.150072,0.149919
HR,electricity,coal,coal (conv pul),regional coal,Northern,0.287589,0.296496,0.26684,0.264381259
HR,electricity,gas,gas (steam/CT),wholesale gas,Northern,0.141405,0.247442,0.33,0.579179085
HR,electricity,gas,gas (CC),wholesale gas,Northern,0.45,0.45,0.54363,0.57608
HR,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,Northern,0.2,0.240573,0.249086,0.202075
HR,electricity,biomass,biomass (conv),regional biomass,Northern,0.33,0.33,0.150072,0.149919
HP,electricity,coal,coal (conv pul),regional coal,Northern,0.287589,0.296496,0.26684,0.278752
HP,electricity,gas,gas (steam/CT),wholesale gas,Northern,0.141405,0.247442,0.33,0.376667869
HP,electricity,gas,gas (CC),wholesale gas,Northern,0.45,0.45,0.54363,0.57608
HP,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,Northern,0.2,0.240573,0.249086,0.202075
HP,electricity,biomass,biomass (conv),regional biomass,Northern,0.33,0.33,0.150072,0.149919
JK,electricity,coal,coal (conv pul),regional coal,Northern,0.287589,0.296496,0.26684,0.026913816
JK,electricity,gas,gas (steam/CT),wholesale gas,Northern,0.141405,0.247442,0.33,0.053196609
JK,electricity,gas,gas (CC),wholesale gas,Northern,0.45,0.45,0.54363,0.57608
JK,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,Northern,0.2,0.240573,0.249086,0.202075
JK,electricity,biomass,biomass (conv),regional biomass,Northern,0.33,0.33,0.150072,0.149919
JH,electricity,coal,coal (conv pul),regional coal,Eastern,0.287589,0.296496,0.26684,0.379189281
JH,electricity,gas,gas (steam/CT),wholesale gas,Eastern,0.141405,0.247442,0.33,0.376667869
