# File: A26.india_state_techcost_elect_td.csv
# Title: Mapping from calibrated intermediate sectors and fuels to supplysector / subsector / technology / input in GCAM
# Units: n/a
# Column types: cccccnn
# ----------
region,supplysector,subsector,technology,minicam.non.energy.input,year,input.cost
India,elect_td_res,elect_td_res,elect_td_res,non-energy,1975,3.03
India,elect_td_com,elect_td_com,elect_td_com,non-energy,1975,3.03
India,elect_td_ind,elect_td_ind,elect_td_ind,non-energy,1975,0.75
India,elect_td_trn,elect_td_trn,elect_td_trn,non-energy,1975,3.03
India,elect_td_res,elect_td_res,elect_td_res,non-energy,1990,2.92
India,elect_td_com,elect_td_com,elect_td_com,non-energy,1990,2.92
India,elect_td_ind,elect_td_ind,elect_td_ind,non-energy,1990,0.725
India,elect_td_trn,elect_td_trn,elect_td_trn,non-energy,1990,2.92
India,elect_td_res,elect_td_res,elect_td_res,non-energy,2005,2.81
India,elect_td_com,elect_td_com,elect_td_com,non-energy,2005,2.81
India,elect_td_ind,elect_td_ind,elect_td_ind,non-energy,2005,0.7
India,elect_td_trn,elect_td_trn,elect_td_trn,non-energy,2005,2.81
India,elect_td_res,elect_td_res,elect_td_res,non-energy,2010,2.7563
India,elect_td_com,elect_td_com,elect_td_com,non-energy,2010,2.7563
India,elect_td_ind,elect_td_ind,elect_td_ind,non-energy,2010,0.6863
India,elect_td_trn,elect_td_trn,elect_td_trn,non-energy,2010,2.7563
India,elect_td_res,elect_td_res,elect_td_res,non-energy,2015,2.7026
India,elect_td_com,elect_td_com,elect_td_com,non-energy,2015,2.7026
India,elect_td_ind,elect_td_ind,elect_td_ind,non-energy,2015,0.6726
India,elect_td_trn,elect_td_trn,elect_td_trn,non-energy,2015,2.7026
India,elect_td_res,elect_td_res,elect_td_res,non-energy,2020,2.6489
India,elect_td_com,elect_td_com,elect_td_com,non-energy,2020,2.6489
India,elect_td_ind,elect_td_ind,elect_td_ind,non-energy,2020,0.6589
India,elect_td_trn,elect_td_trn,elect_td_trn,non-energy,2020,2.6489
India,elect_td_res,elect_td_res,elect_td_res,non-energy,2025,2.5953
India,elect_td_com,elect_td_com,elect_td_com,non-energy,2025,2.5953
India,elect_td_ind,elect_td_ind,elect_td_ind,non-energy,2025,0.6453
India,elect_td_trn,elect_td_trn,elect_td_trn,non-energy,2025,2.5953
India,elect_td_res,elect_td_res,elect_td_res,non-energy,2030,2.5416
India,elect_td_com,elect_td_com,elect_td_com,non-energy,2030,2.5416
India,elect_td_ind,elect_td_ind,elect_td_ind,non-energy,2030,0.6316
India,elect_td_trn,elect_td_trn,elect_td_trn,non-energy,2030,2.5416
India,elect_td_res,elect_td_res,elect_td_res,non-energy,2035,2.4879
India,elect_td_com,elect_td_com,elect_td_com,non-energy,2035,2.4879
India,elect_td_ind,elect_td_ind,elect_td_ind,non-energy,2035,0.6179
India,elect_td_trn,elect_td_trn,elect_td_trn,non-energy,2035,2.4879
India,elect_td_res,elect_td_res,elect_td_res,non-energy,2040,2.4342
India,elect_td_com,elect_td_com,elect_td_com,non-energy,2040,2.4342
India,elect_td_ind,elect_td_ind,elect_td_ind,non-energy,2040,0.6042
India,elect_td_trn,elect_td_trn,elect_td_trn,non-energy,2040,2.4342
India,elect_td_res,elect_td_res,elect_td_res,non-energy,2045,2.3805
India,elect_td_com,elect_td_com,elect_td_com,non-energy,2045,2.3805
India,elect_td_ind,elect_td_ind,elect_td_ind,non-energy,2045,0.5905
India,elect_td_trn,elect_td_trn,elect_td_trn,non-energy,2045,2.3805
India,elect_td_res,elect_td_res,elect_td_res,non-energy,2050,2.3268
India,elect_td_com,elect_td_com,elect_td_com,non-energy,2050,2.3268
India,elect_td_ind,elect_td_ind,elect_td_ind,non-energy,2050,0.5768
India,elect_td_trn,elect_td_trn,elect_td_trn,non-energy,2050,2.3268
India,elect_td_res,elect_td_res,elect_td_res,non-energy,2055,2.2732
India,elect_td_com,elect_td_com,elect_td_com,non-energy,2055,2.2732
India,elect_td_ind,elect_td_ind,elect_td_ind,non-energy,2055,0.5632
India,elect_td_trn,elect_td_trn,elect_td_trn,non-energy,2055,2.2732
India,elect_td_res,elect_td_res,elect_td_res,non-energy,2060,2.2195
India,elect_td_com,elect_td_com,elect_td_com,non-energy,2060,2.2195
India,elect_td_ind,elect_td_ind,elect_td_ind,non-energy,2060,0.5495
India,elect_td_trn,elect_td_trn,elect_td_trn,non-energy,2060,2.2195
India,elect_td_res,elect_td_res,elect_td_res,non-energy,2065,2.1658
India,elect_td_com,elect_td_com,elect_td_com,non-energy,2065,2.1658
India,elect_td_ind,elect_td_ind,elect_td_ind,non-energy,2065,0.5358
India,elect_td_trn,elect_td_trn,elect_td_trn,non-energy,2065,2.1658
India,elect_td_res,elect_td_res,elect_td_res,non-energy,2070,2.1121
India,elect_td_com,elect_td_com,elect_td_com,non-energy,2070,2.1121
India,elect_td_ind,elect_td_ind,elect_td_ind,non-energy,2070,0.5221
India,elect_td_trn,elect_td_trn,elect_td_trn,non-energy,2070,2.1121
India,elect_td_res,elect_td_res,elect_td_res,non-energy,2075,2.0584
India,elect_td_com,elect_td_com,elect_td_com,non-energy,2075,2.0584
India,elect_td_ind,elect_td_ind,elect_td_ind,non-energy,2075,0.5084
India,elect_td_trn,elect_td_trn,elect_td_trn,non-energy,2075,2.0584
India,elect_td_res,elect_td_res,elect_td_res,non-energy,2080,2.0047
India,elect_td_com,elect_td_com,elect_td_com,non-energy,2080,2.0047
India,elect_td_ind,elect_td_ind,elect_td_ind,non-energy,2080,0.4947
India,elect_td_trn,elect_td_trn,elect_td_trn,non-energy,2080,2.0047
India,elect_td_res,elect_td_res,elect_td_res,non-energy,2085,1.9511
India,elect_td_com,elect_td_com,elect_td_com,non-energy,2085,1.9511
India,elect_td_ind,elect_td_ind,elect_td_ind,non-energy,2085,0.4811
India,elect_td_trn,elect_td_trn,elect_td_trn,non-energy,2085,1.9511
India,elect_td_res,elect_td_res,elect_td_res,non-energy,2090,1.8974
India,elect_td_com,elect_td_com,elect_td_com,non-energy,2090,1.8974
India,elect_td_ind,elect_td_ind,elect_td_ind,non-energy,2090,0.4674
India,elect_td_trn,elect_td_trn,elect_td_trn,non-energy,2090,1.8974
India,elect_td_res,elect_td_res,elect_td_res,non-energy,2095,1.8437
India,elect_td_com,elect_td_com,elect_td_com,non-energy,2095,1.8437
India,elect_td_ind,elect_td_ind,elect_td_ind,non-energy,2095,0.4537
India,elect_td_trn,elect_td_trn,elect_td_trn,non-energy,2095,1.8437
India,elect_td_res,elect_td_res,elect_td_res,non-energy,2100,1.79
India,elect_td_com,elect_td_com,elect_td_com,non-energy,2100,1.79
India,elect_td_ind,elect_td_ind,elect_td_ind,non-energy,2100,0.44
India,elect_td_trn,elect_td_trn,elect_td_trn,non-energy,2100,1.79
