# File: A32.India_industry_globaltech_cost.csv
# Title: Industry default costs
# Units: 1975$/GJ
# Column types: ccccnn
# ----------
supplysector,subsector,technology,minicam.non.energy.input,1971,2100
Agriculture_enuse,electricity,electricity,non-energy,3,3
Agriculture_enuse,refined liquids,refined liquids,non-energy,3,3
Agriculture_enuse,refined liquids,refined liquids cogen,non-energy,4.5,4.5
Chem_Fert_enuse,biomass,biomass,non-energy,3,3
Chem_Fert_enuse,biomass,biomass cogen,non-energy,4.5,4.5
Chem_Fert_enuse,coal,coal,non-energy,3,3
Chem_Fert_enuse,coal,coal cogen,non-energy,4.5,4.5
Chem_Fert_enuse,electricity,electricity,non-energy,3,3
Chem_Fert_enuse,gas,gas,non-energy,3,3
Chem_Fert_enuse,gas,gas cogen,non-energy,4.5,4.5
Chem_Fert_enuse,hydrogen,hydrogen,non-energy,3,3
Chem_Fert_enuse,hydrogen,hydrogen cogen,non-energy,4.5,4.5
Chem_Fert_enuse,refined liquids,refined liquids,non-energy,3,3
Chem_Fert_enuse,refined liquids,refined liquids cogen,non-energy,4.5,4.5
Fisheries_enuse,refined liquids,refined liquids,non-energy,3,3
Fisheries_enuse,refined liquids,refined liquids cogen,non-energy,4.5,4.5
Iron and Steel_enuse,biomass,biomass,non-energy,3,3
Iron and Steel_enuse,biomass,biomass cogen,non-energy,4.5,4.5
Iron and Steel_enuse,coal,coal,non-energy,3,3
Iron and Steel_enuse,coal,coal cogen,non-energy,4.5,4.5
Iron and Steel_enuse,electricity,electricity,non-energy,3,3
Iron and Steel_enuse,gas,gas,non-energy,3,3
Iron and Steel_enuse,gas,gas cogen,non-energy,4.5,4.5
Iron and Steel_enuse,hydrogen,hydrogen,non-energy,3,3
Iron and Steel_enuse,hydrogen,hydrogen cogen,non-energy,4.5,4.5
Iron and Steel_enuse,refined liquids,refined liquids,non-energy,3,3
Iron and Steel_enuse,refined liquids,refined liquids cogen,non-energy,4.5,4.5
Non-Ferrous Metals_enuse,biomass,biomass,non-energy,3,3
Non-Ferrous Metals_enuse,biomass,biomass cogen,non-energy,4.5,4.5
Non-Ferrous Metals_enuse,coal,coal,non-energy,3,3
Non-Ferrous Metals_enuse,coal,coal cogen,non-energy,4.5,4.5
Non-Ferrous Metals_enuse,electricity,electricity,non-energy,3,3
