# File: A32.India_industry_nonenergy_Cseq.csv
# Title: non-energy carbon sequestration
# Units: unitless
# Description: Sequestration of carbon through non-energy use. Following CDIAC method (not EPA FCCC method)
# Column types: cccic
# ----------
supplysector,subsector,technology,remove.fraction,target.gas
Chem_Fert_fsuse,coal,coal,0,CO2
Chem_Fert_fsuse,gas,gas,0,CO2
Chem_Fert_fsuse,refined liquids,refined liquids,1,CO2
Chem_Fert_fsuse,hydrogen,hydrogen,0,CO2
Other Industries_fsuse,coal,coal,0,CO2
Other Industries_fsuse,gas,gas,0,CO2
Other Industries_fsuse,refined liquids,refined liquids,1,CO2
Other Industries_fsuse,hydrogen,hydrogen,0,CO2
Iron and Steel_fsuse,coal,coal,0,CO2
Iron and Steel_fsuse,gas,gas,0,CO2
Iron and Steel_fsuse,refined liquids,refined liquids,1,CO2
Iron and Steel_fsuse,hydrogen,hydrogen,0,CO2
