# File: A32.India_state_industry_priceelas.csv
# Title: Price Elasticity of different industries
# Units: NA
# Column types: ccni
# ----------
region,energy.final.demand,year,price.elasticity
AN,Agriculture,2015,-1
AN,Chem_Fert,2015,-1
AN,Fisheries,2015,-1
AN,Iron and Steel,2015,-1
AN,Non-Ferrous Metals,2015,-1
AN,Other Industries,2015,-1
AN,Paper and Pulp,2015,-1
AP,Agriculture,2015,-1
AP,Chem_Fert,2015,-1
AP,Fisheries,2015,-1
AP,Iron and Steel,2015,-1
AP,Non-Ferrous Metals,2015,-1
AP,Other Industries,2015,-1
AP,Paper and Pulp,2015,-1
AR,Agriculture,2015,-1
AR,Chem_Fert,2015,-1
AR,Fisheries,2015,-1
AR,Iron and Steel,2015,-1
AR,Non-Ferrous Metals,2015,-1
AR,Other Industries,2015,-1
AR,Paper and Pulp,2015,-1
AS,Agriculture,2015,-1
AS,Chem_Fert,2015,-1
AS,Fisheries,2015,-1
AS,Iron and Steel,2015,-1
AS,Non-Ferrous Metals,2015,-1
AS,Other Industries,2015,-1
AS,Paper and Pulp,2015,-1
BR,Agriculture,2015,-1
BR,Chem_Fert,2015,-1
BR,Fisheries,2015,-1
BR,Iron and Steel,2015,-1
BR,Non-Ferrous Metals,2015,-1
BR,Other Industries,2015,-1
BR,Paper and Pulp,2015,-1
CG,Agriculture,2015,-1
CG,Chem_Fert,2015,-1
CG,Fisheries,2015,-1
CG,Iron and Steel,2015,-1
CG,Non-Ferrous Metals,2015,-1
CG,Other Industries,2015,-1
CG,Paper and Pulp,2015,-1
CH,Agriculture,2015,-1
CH,Chem_Fert,2015,-1
CH,Fisheries,2015,-1
CH,Iron and Steel,2015,-1
CH,Non-Ferrous Metals,2015,-1
CH,Other Industries,2015,-1
CH,Paper and Pulp,2015,-1
DD,Agriculture,2015,-1
DD,Chem_Fert,2015,-1
DD,Fisheries,2015,-1
DD,Iron and Steel,2015,-1
DD,Non-Ferrous Metals,2015,-1
DD,Other Industries,2015,-1
DD,Paper and Pulp,2015,-1
DL,Agriculture,2015,-1
DL,Chem_Fert,2015,-1
DL,Fisheries,2015,-1
DL,Iron and Steel,2015,-1
DL,Non-Ferrous Metals,2015,-1
DL,Other Industries,2015,-1
DL,Paper and Pulp,2015,-1
DN,Agriculture,2015,-1
DN,Chem_Fert,2015,-1
DN,Fisheries,2015,-1
DN,Iron and Steel,2015,-1
DN,Non-Ferrous Metals,2015,-1
DN,Other Industries,2015,-1
DN,Paper and Pulp,2015,-1
GA,Agriculture,2015,-1
GA,Chem_Fert,2015,-1
GA,Fisheries,2015,-1
GA,Iron and Steel,2015,-1
GA,Non-Ferrous Metals,2015,-1
GA,Other Industries,2015,-1
GA,Paper and Pulp,2015,-1
GJ,Agriculture,2015,-1
GJ,Chem_Fert,2015,-1
GJ,Fisheries,2015,-1
GJ,Iron and Steel,2015,-1
GJ,Non-Ferrous Metals,2015,-1
GJ,Other Industries,2015,-1
GJ,Paper and Pulp,2015,-1
HP,Agriculture,2015,-1
HP,Chem_Fert,2015,-1
HP,Fisheries,2015,-1
HP,Iron and Steel,2015,-1
HP,Non-Ferrous Metals,2015,-1
HP,Other Industries,2015,-1
HP,Paper and Pulp,2015,-1
HR,Agriculture,2015,-1
HR,Chem_Fert,2015,-1
HR,Fisheries,2015,-1
HR,Iron and Steel,2015,-1
HR,Non-Ferrous Metals,2015,-1
HR,Other Industries,2015,-1
HR,Paper and Pulp,2015,-1
JH,Agriculture,2015,-1
JH,Chem_Fert,2015,-1
JH,Fisheries,2015,-1
JH,Iron and Steel,2015,-1
JH,Non-Ferrous Metals,2015,-1
JH,Other Industries,2015,-1
JH,Paper and Pulp,2015,-1
JK,Agriculture,2015,-1
JK,Chem_Fert,2015,-1
JK,Fisheries,2015,-1
JK,Iron and Steel,2015,-1
JK,Non-Ferrous Metals,2015,-1
JK,Other Industries,2015,-1
JK,Paper and Pulp,2015,-1
KA,Agriculture,2015,-1
KA,Chem_Fert,2015,-1
KA,Fisheries,2015,-1
KA,Iron and Steel,2015,-1
KA,Non-Ferrous Metals,2015,-1
KA,Other Industries,2015,-1
KA,Paper and Pulp,2015,-1
KL,Agriculture,2015,-1
KL,Chem_Fert,2015,-1
KL,Fisheries,2015,-1
KL,Iron and Steel,2015,-1
KL,Non-Ferrous Metals,2015,-1
KL,Other Industries,2015,-1
KL,Paper and Pulp,2015,-1
LA,Agriculture,2015,-1
LA,Chem_Fert,2015,-1
LA,Fisheries,2015,-1
LA,Iron and Steel,2015,-1
LA,Non-Ferrous Metals,2015,-1
LA,Other Industries,2015,-1
LA,Paper and Pulp,2015,-1
LD,Agriculture,2015,-1
LD,Chem_Fert,2015,-1
LD,Fisheries,2015,-1
LD,Iron and Steel,2015,-1
LD,Non-Ferrous Metals,2015,-1
LD,Other Industries,2015,-1
LD,Paper and Pulp,2015,-1
MH,Agriculture,2015,-1
MH,Chem_Fert,2015,-1
MH,Fisheries,2015,-1
MH,Iron and Steel,2015,-1
MH,Non-Ferrous Metals,2015,-1
MH,Other Industries,2015,-1
MH,Paper and Pulp,2015,-1
ML,Agriculture,2015,-1
ML,Chem_Fert,2015,-1
ML,Fisheries,2015,-1
ML,Iron and Steel,2015,-1
ML,Non-Ferrous Metals,2015,-1
ML,Other Industries,2015,-1
ML,Paper and Pulp,2015,-1
MN,Agriculture,2015,-1
MN,Chem_Fert,2015,-1
MN,Fisheries,2015,-1
MN,Iron and Steel,2015,-1
MN,Non-Ferrous Metals,2015,-1
MN,Other Industries,2015,-1
MN,Paper and Pulp,2015,-1
MP,Agriculture,2015,-1
MP,Chem_Fert,2015,-1
MP,Fisheries,2015,-1
MP,Iron and Steel,2015,-1
MP,Non-Ferrous Metals,2015,-1
MP,Other Industries,2015,-1
MP,Paper and Pulp,2015,-1
MZ,Agriculture,2015,-1
MZ,Chem_Fert,2015,-1
MZ,Fisheries,2015,-1
MZ,Iron and Steel,2015,-1
MZ,Non-Ferrous Metals,2015,-1
MZ,Other Industries,2015,-1
MZ,Paper and Pulp,2015,-1
NL,Agriculture,2015,-1
NL,Chem_Fert,2015,-1
NL,Fisheries,2015,-1
NL,Iron and Steel,2015,-1
NL,Non-Ferrous Metals,2015,-1
NL,Other Industries,2015,-1
NL,Paper and Pulp,2015,-1
OD,Agriculture,2015,-1
OD,Chem_Fert,2015,-1
OD,Fisheries,2015,-1
OD,Iron and Steel,2015,-1
OD,Non-Ferrous Metals,2015,-1
OD,Other Industries,2015,-1
OD,Paper and Pulp,2015,-1
PB,Agriculture,2015,-1
PB,Chem_Fert,2015,-1
PB,Fisheries,2015,-1
PB,Iron and Steel,2015,-1
PB,Non-Ferrous Metals,2015,-1
PB,Other Industries,2015,-1
PB,Paper and Pulp,2015,-1
PC,Agriculture,2015,-1
PC,Chem_Fert,2015,-1
PC,Fisheries,2015,-1
PC,Iron and Steel,2015,-1
PC,Non-Ferrous Metals,2015,-1
PC,Other Industries,2015,-1
PC,Paper and Pulp,2015,-1
RJ,Agriculture,2015,-1
RJ,Chem_Fert,2015,-1
RJ,Fisheries,2015,-1
RJ,Iron and Steel,2015,-1
RJ,Non-Ferrous Metals,2015,-1
RJ,Other Industries,2015,-1
RJ,Paper and Pulp,2015,-1
SK,Agriculture,2015,-1
SK,Chem_Fert,2015,-1
SK,Fisheries,2015,-1
SK,Iron and Steel,2015,-1
SK,Non-Ferrous Metals,2015,-1
SK,Other Industries,2015,-1
SK,Paper and Pulp,2015,-1
TN,Agriculture,2015,-1
TN,Chem_Fert,2015,-1
TN,Fisheries,2015,-1
TN,Iron and Steel,2015,-1
TN,Non-Ferrous Metals,2015,-1
TN,Other Industries,2015,-1
TN,Paper and Pulp,2015,-1
TR,Agriculture,2015,-1
TR,Chem_Fert,2015,-1
TR,Fisheries,2015,-1
TR,Iron and Steel,2015,-1
TR,Non-Ferrous Metals,2015,-1
TR,Other Industries,2015,-1
TR,Paper and Pulp,2015,-1
TS,Agriculture,2015,-1
TS,Chem_Fert,2015,-1
TS,Fisheries,2015,-1
TS,Iron and Steel,2015,-1
TS,Non-Ferrous Metals,2015,-1
TS,Other Industries,2015,-1
TS,Paper and Pulp,2015,-1
UK,Agriculture,2015,-1
UK,Chem_Fert,2015,-1
UK,Fisheries,2015,-1
UK,Iron and Steel,2015,-1
UK,Non-Ferrous Metals,2015,-1
UK,Other Industries,2015,-1
UK,Paper and Pulp,2015,-1
UP,Agriculture,2015,-1
UP,Chem_Fert,2015,-1
UP,Fisheries,2015,-1
UP,Iron and Steel,2015,-1
UP,Non-Ferrous Metals,2015,-1
UP,Other Industries,2015,-1
UP,Paper and Pulp,2015,-1
WB,Agriculture,2015,-1
WB,Chem_Fert,2015,-1
WB,Fisheries,2015,-1
WB,Iron and Steel,2015,-1
WB,Non-Ferrous Metals,2015,-1
WB,Other Industries,2015,-1
WB,Paper and Pulp,2015,-1
AN,Agriculture,2020,-1
AN,Chem_Fert,2020,-1
AN,Fisheries,2020,-1
AN,Iron and Steel,2020,-1
AN,Non-Ferrous Metals,2020,-1
AN,Other Industries,2020,-1
AN,Paper and Pulp,2020,-1
AP,Agriculture,2020,-1
AP,Chem_Fert,2020,-1
AP,Fisheries,2020,-1
AP,Iron and Steel,2020,-1
AP,Non-Ferrous Metals,2020,-1
AP,Other Industries,2020,-1
AP,Paper and Pulp,2020,-1
AR,Agriculture,2020,-1
AR,Chem_Fert,2020,-1
AR,Fisheries,2020,-1
AR,Iron and Steel,2020,-1
AR,Non-Ferrous Metals,2020,-1
AR,Other Industries,2020,-1
AR,Paper and Pulp,2020,-1
AS,Agriculture,2020,-1
AS,Chem_Fert,2020,-1
AS,Fisheries,2020,-1
AS,Iron and Steel,2020,-1
AS,Non-Ferrous Metals,2020,-1
AS,Other Industries,2020,-1
AS,Paper and Pulp,2020,-1
BR,Agriculture,2020,-1
BR,Chem_Fert,2020,-1
BR,Fisheries,2020,-1
BR,Iron and Steel,2020,-1
BR,Non-Ferrous Metals,2020,-1
BR,Other Industries,2020,-1
BR,Paper and Pulp,2020,-1
CG,Agriculture,2020,-1
CG,Chem_Fert,2020,-1
CG,Fisheries,2020,-1
CG,Iron and Steel,2020,-1
CG,Non-Ferrous Metals,2020,-1
CG,Other Industries,2020,-1
CG,Paper and Pulp,2020,-1
CH,Agriculture,2020,-1
CH,Chem_Fert,2020,-1
CH,Fisheries,2020,-1
CH,Iron and Steel,2020,-1
CH,Non-Ferrous Metals,2020,-1
CH,Other Industries,2020,-1
CH,Paper and Pulp,2020,-1
DD,Agriculture,2020,-1
DD,Chem_Fert,2020,-1
DD,Fisheries,2020,-1
DD,Iron and Steel,2020,-1
DD,Non-Ferrous Metals,2020,-1
DD,Other Industries,2020,-1
DD,Paper and Pulp,2020,-1
DL,Agriculture,2020,-1
DL,Chem_Fert,2020,-1
DL,Fisheries,2020,-1
DL,Iron and Steel,2020,-1
DL,Non-Ferrous Metals,2020,-1
DL,Other Industries,2020,-1
DL,Paper and Pulp,2020,-1
DN,Agriculture,2020,-1
DN,Chem_Fert,2020,-1
DN,Fisheries,2020,-1
DN,Iron and Steel,2020,-1
DN,Non-Ferrous Metals,2020,-1
DN,Other Industries,2020,-1
DN,Paper and Pulp,2020,-1
GA,Agriculture,2020,-1
GA,Chem_Fert,2020,-1
GA,Fisheries,2020,-1
GA,Iron and Steel,2020,-1
GA,Non-Ferrous Metals,2020,-1
GA,Other Industries,2020,-1
GA,Paper and Pulp,2020,-1
GJ,Agriculture,2020,-1
