# File: A32.India_state_industry_subsector_logit.csv
# Title: Industry split subsector logit exponents
# Units: Unitless
# Column types: ccic
# ----------
supplysector,subsector,logit.exponent,logit.type
Agriculture_enuse,electricity,-6,
Agriculture_enuse,refined liquids,-6,
Chem_Fert_enuse,coal,-6,
Chem_Fert_enuse,electricity,-6,
Chem_Fert_enuse,gas,-6,
Chem_Fert_enuse,hydrogen,-6,
Chem_Fert_enuse,refined liquids,-6,
Chem_Fert_enuse,biomass,-6,
Fisheries_enuse,refined liquids,-6,
Iron and Steel_enuse,coal,-6,
Iron and Steel_enuse,electricity,-6,
Iron and Steel_enuse,gas,-6,
Iron and Steel_enuse,hydrogen,-6,
Iron and Steel_enuse,refined liquids,-6,
Iron and Steel_enuse,biomass,-6,
Non-Ferrous Metals_enuse,coal,-6,
Non-Ferrous Metals_enuse,electricity,-6,
Non-Ferrous Metals_enuse,gas,-6,
Non-Ferrous Metals_enuse,hydrogen,-6,
Non-Ferrous Metals_enuse,refined liquids,-6,
Non-Ferrous Metals_enuse,biomass,-6,
Other Industries_enuse,coal,-6,
Other Industries_enuse,electricity,-6,
Other Industries_enuse,gas,-6,
Other Industries_enuse,hydrogen,-6,
Other Industries_enuse,refined liquids,-6,
Other Industries_enuse,biomass,-6,
Paper and Pulp_enuse,coal,-6,
Paper and Pulp_enuse,electricity,-6,
Paper and Pulp_enuse,gas,-6,
Paper and Pulp_enuse,hydrogen,-6,
Paper and Pulp_enuse,refined liquids,-6,
Paper and Pulp_enuse,biomass,-6,
Chem_Fert_fsuse,coal,-6,
Chem_Fert_fsuse,gas,-6,
Chem_Fert_fsuse,refined liquids,-6,
Chem_Fert_fsuse,hydrogen,-6,
Other Industries_fsuse,coal,-6,
Other Industries_fsuse,gas,-6,
Other Industries_fsuse,refined liquids,-6,
Other Industries_fsuse,hydrogen,-6,
Agriculture,Agriculture,-6,
Chem_Fert,Chem_Fert,-6,
Fisheries,Fisheries,-6,
Iron and Steel,Iron and Steel,-6,
Non-Ferrous Metals,Non-Ferrous Metals,-6,
Other Industries,Other Industries,-6,
Paper and Pulp,Paper and Pulp,-6,
Iron and Steel_fsuse,coal,-6,
Iron and Steel_fsuse,gas,-6,
Iron and Steel_fsuse,refined liquids,-6,
Iron and Steel_fsuse,hydrogen,-6,
Food Processing_enuse,coal,-6,
Food Processing_enuse,electricity,-6,
Food Processing_enuse,gas,-6,
Food Processing_enuse,hydrogen,-6,
Food Processing_enuse,refined liquids,-6,
Food Processing_enuse,biomass,-6,
Food Processing,Food Processing,-6,
