# File: A32.india_state_industry_tech_eff.csv
# Title: Industry default efficiencies
# Units: Unitless
# Column types: cccccnnnnnnnnn
# ----------
supplysector,subsector,technology,minicam.energy.input,secondary.output,1971,2005,2020,2035,2050,2065,2080,2095,2100
Agriculture_enuse,electricity,electricity,elect_td_ind,,0.934196861,1,1.015,1.03,1.046,1.062,1.078,1.094,1.094
Agriculture_enuse,refined liquids,refined liquids,refined liquids industrial,,0.917381318,0.982,1.001,1.018,1.033,1.047,1.062,1.077,1.077
Agriculture_enuse,refined liquids,refined liquids cogen,refined liquids industrial,electricity,0.565189101,0.605,0.614,0.623,0.632,0.642,0.652,0.662,0.662
Chem_Fert_enuse,biomass,biomass,delivered biomass,,0.746423292,0.799,0.797,0.840409061,0.883818121,0.927227182,0.970636243,1.014045303,1.02851499
Chem_Fert_enuse,biomass,biomass cogen,delivered biomass,electricity,0.515676667,0.552,0.56,0.59050072,0.62100144,0.65150216,0.682002881,0.712503601,0.722670507
Chem_Fert_enuse,coal,coal,delivered coal,,0.808080285,0.865,0.891,0.939528824,0.988057649,1.036586473,1.085115298,1.133644122,1.149820397
Chem_Fert_enuse,coal,coal cogen,delivered coal,electricity,0.582004645,0.623,0.629,0.663258845,0.697517689,0.731776534,0.766035378,0.800294223,0.811713838
Chem_Fert_enuse,electricity,electricity,elect_td_ind,,0.934196861,1,1.015,1.070282555,1.125565111,1.180847666,1.236130221,1.291412776,1.309840295
Chem_Fert_enuse,gas,gas,wholesale gas,,0.825830025,0.884,0.898,0.946910083,0.995820167,1.04473025,1.093640334,1.142550417,1.158853778
Chem_Fert_enuse,gas,gas cogen,wholesale gas,electricity,0.563320707,0.603,0.612,0.64533293,0.67866586,0.71199879,0.74533172,0.778664649,0.789775626
Chem_Fert_enuse,hydrogen,hydrogen,H2 enduse,,1,1,1,1.054465572,1.108931143,1.163396715,1.217862287,1.272327859,1.290483049
Chem_Fert_enuse,hydrogen,hydrogen cogen,H2 enduse,electricity,0.457,0.457,0.457,0.481890766,0.506781533,0.531672299,0.556563065,0.581453831,0.589750753
Chem_Fert_enuse,refined liquids,refined liquids,refined liquids industrial,,0.917381318,0.982,1.001,1.055520037,1.110040075,1.164560112,1.219080149,1.273600186,1.291773532
Chem_Fert_enuse,refined liquids,refined liquids cogen,refined liquids industrial,electricity,0.565189101,0.605,0.614,0.647441861,0.680883722,0.714325583,0.747767444,0.781209305,0.792356592
Fisheries_enuse,refined liquids,refined liquids,refined liquids industrial,,0.917381318,0.982,1.001,1.018,1.033,1.047,1.062,1.077,1.077
Fisheries_enuse,refined liquids,refined liquids cogen,refined liquids industrial,electricity,0.565189101,0.605,0.614,0.623,0.632,0.642,0.652,0.662,0.662
Iron and Steel_enuse,biomass,biomass,delivered biomass,,0.746423292,0.799,0.797,0.851415451,0.905830902,0.960246352,1.014661803,1.069077254,1.087215738
Iron and Steel_enuse,biomass,biomass cogen,delivered biomass,electricity,0.515676667,0.552,0.56,0.598234194,0.636468388,0.674702581,0.712936775,0.751170969,0.7639157
Iron and Steel_enuse,coal,coal,delivered coal,,0.808080285,0.865,0.891,0.951833333,1.012666667,1.0735,1.134333333,1.195166667,1.215444444
Iron and Steel_enuse,coal,coal cogen,delivered coal,electricity,0.582004645,0.623,0.629,0.671945193,0.714890385,0.757835578,0.800780771,0.843725963,0.858041028
Iron and Steel_enuse,electricity,electricity,elect_td_ind,,0.934196861,1,1.015,1.084299476,1.153598952,1.222898429,1.292197905,1.361497381,1.384597207
Iron and Steel_enuse,gas,gas,wholesale gas,,0.825830025,0.884,0.898,0.959311261,1.020622522,1.081933782,1.143245043,1.204556304,1.224993391
Iron and Steel_enuse,gas,gas cogen,wholesale gas,electricity,0.563320707,0.603,0.612,0.653784512,0.695569024,0.737353535,0.779138047,0.820922559,0.83485073
Iron and Steel_enuse,hydrogen,hydrogen,H2 enduse,,1,1,1,1.068275346,1.136550692,1.204826038,1.273101384,1.34137673,1.364135179
Iron and Steel_enuse,hydrogen,hydrogen cogen,H2 enduse,electricity,0.457,0.457,0.457,0.488201833,0.519403666,0.550605499,0.581807333,0.613009166,0.623409777
Iron and Steel_enuse,refined liquids,refined liquids,refined liquids industrial,,0.917381318,0.982,1.001,1.069343621,1.137687243,1.206030864,1.274374486,1.342718107,1.365499314
Iron and Steel_enuse,refined liquids,refined liquids cogen,refined liquids industrial,electricity,0.565189101,0.605,0.614,0.655921062,0.697842125,0.739763187,0.78168425,0.823605312,0.837579
Non-Ferrous Metals_enuse,biomass,biomass,delivered biomass,,0.746423292,0.799,0.797,0.804,0.81,0.816,0.823,0.828,0.828
Non-Ferrous Metals_enuse,biomass,biomass cogen,delivered biomass,electricity,0.515676667,0.552,0.56,0.568,0.577,0.586,0.595,0.604,0.604
Non-Ferrous Metals_enuse,coal,coal,delivered coal,,0.808080285,0.865,0.891,0.901,0.909,0.917,0.926,0.936,0.936
Non-Ferrous Metals_enuse,coal,coal cogen,delivered coal,electricity,0.582004645,0.623,0.629,0.636,0.644,0.652,0.661,0.67,0.67
Non-Ferrous Metals_enuse,electricity,electricity,elect_td_ind,,0.934196861,1,1.015,1.03,1.046,1.062,1.078,1.094,1.094
Non-Ferrous Metals_enuse,gas,gas,wholesale gas,,0.825830025,0.884,0.898,0.913,0.926,0.941,0.955,0.969,0.969
Non-Ferrous Metals_enuse,gas,gas cogen,wholesale gas,electricity,0.563320707,0.603,0.612,0.621,0.63,0.64,0.649,0.659,0.659
Non-Ferrous Metals_enuse,hydrogen,hydrogen,H2 enduse,,1,1,1,1.015,1.03,1.046,1.062,1.078,1.078
Non-Ferrous Metals_enuse,hydrogen,hydrogen cogen,H2 enduse,electricity,0.457,0.457,0.457,0.464,0.471,0.478,0.485,0.492,0.492
Non-Ferrous Metals_enuse,refined liquids,refined liquids,refined liquids industrial,,0.917381318,0.982,1.001,1.018,1.033,1.047,1.062,1.077,1.077
Non-Ferrous Metals_enuse,refined liquids,refined liquids cogen,refined liquids industrial,electricity,0.565189101,0.605,0.614,0.623,0.632,0.642,0.652,0.662,0.662
Other Industries_enuse,biomass,biomass,delivered biomass,,0.746423292,0.799,0.797,0.883829282,0.970658563,1.057487845,1.144317126,1.231146408,1.260089502
Other Industries_enuse,biomass,biomass cogen,delivered biomass,electricity,0.515676667,0.552,0.56,0.621009282,0.682018564,0.743027846,0.804037128,0.86504641,0.885382837
Other Industries_enuse,coal,coal,delivered coal,,0.808080285,0.865,0.891,0.988070125,1.085140251,1.182210376,1.279280501,1.376350627,1.408707335
Other Industries_enuse,coal,coal cogen,delivered coal,electricity,0.582004645,0.623,0.629,0.697526497,0.766052994,0.834579491,0.903105988,0.971632485,0.994474651
Other Industries_enuse,electricity,electricity,elect_td_ind,,0.934196861,1,1.015,1.125579323,1.236158647,1.34673797,1.457317294,1.567896617,1.604756392
Other Industries_enuse,gas,gas,wholesale gas,,0.825830025,0.884,0.898,0.995832741,1.093665483,1.191498224,1.289330965,1.387163707,1.419774621
Other Industries_enuse,gas,gas cogen,wholesale gas,electricity,0.563320707,0.603,0.612,0.67867443,0.745348859,0.812023289,0.878697718,0.945372148,0.967596957
Other Industries_enuse,hydrogen,hydrogen,H2 enduse,,1,1,1,1.108945146,1.217890293,1.326835439,1.435780585,1.544725731,1.58104078
Other Industries_enuse,hydrogen,hydrogen cogen,H2 enduse,electricity,0.457,0.457,0.457,0.506787932,0.556575864,0.606363796,0.656151727,0.705939659,0.722535636
Other Industries_enuse,refined liquids,refined liquids,refined liquids industrial,,0.917381318,0.982,1.001,1.110054091,1.219108183,1.328162274,1.437216366,1.546270457,1.582621821
Other Industries_enuse,refined liquids,refined liquids cogen,refined liquids industrial,electricity,0.565189101,0.605,0.614,0.68089232,0.74778464,0.814676959,0.881569279,0.948461599,0.970759039
Paper and Pulp_enuse,biomass,biomass,delivered biomass,,0.746423292,0.799,0.797,0.883988768,0.970977537,1.057966305,1.144955074,1.231943842,1.260940098
Paper and Pulp_enuse,biomass,biomass cogen,delivered biomass,electricity,0.515676667,0.552,0.56,0.621121343,0.682242686,0.743364029,0.804485372,0.865606715,0.885980496
Paper and Pulp_enuse,coal,coal,delivered coal,,0.808080285,0.865,0.891,0.988248422,1.085496845,1.182745267,1.27999369,1.377242112,1.409658253
Paper and Pulp_enuse,coal,coal cogen,delivered coal,electricity,0.582004645,0.623,0.629,0.697652366,0.766304731,0.834957097,0.903609462,0.972261828,0.99514595
