# File: A44.india_state_Floorspace.csv
# Title:Flrspc
# Units: billion m2
# Column types: ccccnn
# ----------
region,gcam.consumer,nodeInput,building.node.input,year,base.building.size
AN,resid rural,resid rural,resid rural_building,2015,0.307122903
AN,resid rural,resid rural,resid rural_building,2020,0.341870968
AN,resid rural,resid rural,resid rural_building,2025,0.363151613
AN,resid rural,resid rural,resid rural_building,2030,0.386648387
AN,resid rural,resid rural,resid rural_building,2035,0.409619355
AN,resid rural,resid rural,resid rural_building,2040,0.438270968
AN,resid rural,resid rural,resid rural_building,2045,0.463454839
AN,resid rural,resid rural,resid rural_building,2050,0.488470968
AN,resid rural,resid rural,resid rural_building,2055,0.494483871
AN,resid rural,resid rural,resid rural_building,2060,0.49623871
AN,resid rural,resid rural,resid rural_building,2065,0.509696774
AN,resid rural,resid rural,resid rural_building,2070,0.516206452
AN,resid rural,resid rural,resid rural_building,2075,0.511277419
AN,resid rural,resid rural,resid rural_building,2080,0.496309677
AN,resid rural,resid rural,resid rural_building,2085,0.480258065
AN,resid rural,resid rural,resid rural_building,2090,0.460496774
AN,resid rural,resid rural,resid rural_building,2095,0.438625806
AN,resid rural,resid rural,resid rural_building,2100,0.415854839
AN,resid urban,resid urban,resid urban_building,2015,0.175582258
AN,resid urban,resid urban,resid urban_building,2020,0.218273226
AN,resid urban,resid urban,resid urban_building,2025,0.272133871
AN,resid urban,resid urban,resid urban_building,2030,0.338141935
AN,resid urban,resid urban,resid urban_building,2035,0.418203226
AN,resid urban,resid urban,resid urban_building,2040,0.50976129
AN,resid urban,resid urban,resid urban_building,2045,0.61436129
AN,resid urban,resid urban,resid urban_building,2050,0.724883871
AN,resid urban,resid urban,resid urban_building,2055,0.844070968
AN,resid urban,resid urban,resid urban_building,2060,0.969683871
AN,resid urban,resid urban,resid urban_building,2065,1.072616129
AN,resid urban,resid urban,resid urban_building,2070,1.163229032
AN,resid urban,resid urban,resid urban_building,2075,1.2296
AN,resid urban,resid urban,resid urban_building,2080,1.2786
AN,resid urban,resid urban,resid urban_building,2085,1.31913871
AN,resid urban,resid urban,resid urban_building,2090,1.353267742
AN,resid urban,resid urban,resid urban_building,2095,1.377764516
AN,resid urban,resid urban,resid urban_building,2100,1.396648387
AN,comm,comm,comm_building,2015,0.027809581
AN,comm,comm,comm_building,2020,0.038195161
AN,comm,comm,comm_building,2025,0.052202258
AN,comm,comm,comm_building,2030,0.071305161
AN,comm,comm,comm_building,2035,0.095486129
AN,comm,comm,comm_building,2040,0.126773548
AN,comm,comm,comm_building,2045,0.163755161
AN,comm,comm,comm_building,2050,0.206638065
AN,comm,comm,comm_building,2055,0.250244516
AN,comm,comm,comm_building,2060,0.300224516
AN,comm,comm,comm_building,2065,0.352758065
AN,comm,comm,comm_building,2070,0.403906452
AN,comm,comm,comm_building,2075,0.443496774
AN,comm,comm,comm_building,2080,0.471303226
AN,comm,comm,comm_building,2085,0.498319355
AN,comm,comm,comm_building,2090,0.522551613
AN,comm,comm,comm_building,2095,0.543041935
AN,comm,comm,comm_building,2100,0.559835484
AP,resid rural,resid rural,resid rural_building,2015,0.307122903
AP,resid rural,resid rural,resid rural_building,2020,0.341870968
AP,resid rural,resid rural,resid rural_building,2025,0.363151613
AP,resid rural,resid rural,resid rural_building,2030,0.386648387
AP,resid rural,resid rural,resid rural_building,2035,0.409619355
AP,resid rural,resid rural,resid rural_building,2040,0.438270968
AP,resid rural,resid rural,resid rural_building,2045,0.463454839
AP,resid rural,resid rural,resid rural_building,2050,0.488470968
AP,resid rural,resid rural,resid rural_building,2055,0.494483871
AP,resid rural,resid rural,resid rural_building,2060,0.49623871
AP,resid rural,resid rural,resid rural_building,2065,0.509696774
AP,resid rural,resid rural,resid rural_building,2070,0.516206452
AP,resid rural,resid rural,resid rural_building,2075,0.511277419
AP,resid rural,resid rural,resid rural_building,2080,0.496309677
AP,resid rural,resid rural,resid rural_building,2085,0.480258065
AP,resid rural,resid rural,resid rural_building,2090,0.460496774
