# File: A44.india_state_HDDCDD_scen.csv
# Title: HDD and CDD for all states
# Units: NA
# Comments:  Yearwise HDD and CDD
# Source: None (GCAM assumptions)
# Column types: ccccnn
# ----------
state,scen,GCM,variable,year,value
AN,A2,GFDL,CDD,1971,273.6076001
AN,A2,GFDL,CDD,1972,273.7350606
AN,A2,GFDL,CDD,1973,273.8714273
AN,A2,GFDL,CDD,1974,274.0171632
AN,A2,GFDL,CDD,1975,274.1727155
AN,A2,GFDL,CDD,1976,274.3385153
AN,A2,GFDL,CDD,1977,274.5149783
AN,A2,GFDL,CDD,1978,274.7025039
AN,A2,GFDL,CDD,1979,274.9014759
AN,A2,GFDL,CDD,1980,275.112262
AN,A2,GFDL,CDD,1981,275.3352143
AN,A2,GFDL,CDD,1982,275.5706688
AN,A2,GFDL,CDD,1983,275.8189459
AN,A2,GFDL,CDD,1984,276.0803498
AN,A2,GFDL,CDD,1985,276.3551692
AN,A2,GFDL,CDD,1986,276.6436765
AN,A2,GFDL,CDD,1987,276.9461287
AN,A2,GFDL,CDD,1988,277.2627667
AN,A2,GFDL,CDD,1989,277.5938154
AN,A2,GFDL,CDD,1990,277.939484
AN,A2,GFDL,CDD,1991,278.299966
AN,A2,GFDL,CDD,1992,278.6754386
AN,A2,GFDL,CDD,1993,279.0660637
AN,A2,GFDL,CDD,1994,279.4719867
AN,A2,GFDL,CDD,1995,279.8933376
AN,A2,GFDL,CDD,1996,280.3302305
AN,A2,GFDL,CDD,1997,280.7827633
AN,A2,GFDL,CDD,1998,281.2510184
AN,A2,GFDL,CDD,1999,281.7350622
AN,A2,GFDL,CDD,2000,282.2349452
AN,A2,GFDL,CDD,2001,282.750702
AN,A2,GFDL,CDD,2002,283.2823515
AN,A2,GFDL,CDD,2003,283.8298966
AN,A2,GFDL,CDD,2004,284.3933243
AN,A2,GFDL,CDD,2005,284.9726059
AN,A2,GFDL,CDD,2006,285.5676967
AN,A2,GFDL,CDD,2007,286.1785362
AN,A2,GFDL,CDD,2008,286.8050478
AN,A2,GFDL,CDD,2009,287.4471395
AN,A2,GFDL,CDD,2010,288.1047032
AN,A2,GFDL,CDD,2011,288.7776146
AN,A2,GFDL,CDD,2012,289.4657342
AN,A2,GFDL,CDD,2013,290.168906
AN,A2,GFDL,CDD,2014,290.8869585
AN,A2,GFDL,CDD,2015,291.6197044
AN,A2,GFDL,CDD,2016,292.3669401
AN,A2,GFDL,CDD,2017,293.1284467
AN,A2,GFDL,CDD,2018,293.903989
AN,A2,GFDL,CDD,2019,294.693316
AN,A2,GFDL,CDD,2020,306
AN,A2,GFDL,CDD,2021,306.8450893
AN,A2,GFDL,CDD,2022,307.7035752
AN,A2,GFDL,CDD,2023,308.5751323
AN,A2,GFDL,CDD,2024,309.4594186
AN,A2,GFDL,CDD,2025,310.3560757
AN,A2,GFDL,CDD,2026,311.2647287
AN,A2,GFDL,CDD,2027,312.1849864
AN,A2,GFDL,CDD,2028,313.1164411
AN,A2,GFDL,CDD,2029,314.0586686
AN,A2,GFDL,CDD,2030,315.0112284
AN,A2,GFDL,CDD,2031,315.9736635
AN,A2,GFDL,CDD,2032,316.9455005
AN,A2,GFDL,CDD,2033,317.9262495
AN,A2,GFDL,CDD,2034,318.9154043
AN,A2,GFDL,CDD,2035,319.9124421
AN,A2,GFDL,CDD,2036,320.9168238
AN,A2,GFDL,CDD,2037,321.9279939
AN,A2,GFDL,CDD,2038,322.9453804
AN,A2,GFDL,CDD,2039,323.9683948
AN,A2,GFDL,CDD,2040,324.9964324
AN,A2,GFDL,CDD,2041,326.0288716
AN,A2,GFDL,CDD,2042,327.0650751
AN,A2,GFDL,CDD,2043,328.1043884
AN,A2,GFDL,CDD,2044,329.1461412
AN,A2,GFDL,CDD,2045,330.1896464
AN,A2,GFDL,CDD,2046,331.2342004
AN,A2,GFDL,CDD,2047,332.2790836
AN,A2,GFDL,CDD,2048,333.3235597
AN,A2,GFDL,CDD,2049,334.3668758
AN,A2,GFDL,CDD,2050,335.4082629
AN,A2,GFDL,CDD,2051,336.4469353
AN,A2,GFDL,CDD,2052,337.4820912
AN,A2,GFDL,CDD,2053,338.5129119
AN,A2,GFDL,CDD,2054,339.5385628
AN,A2,GFDL,CDD,2055,340.5581924
AN,A2,GFDL,CDD,2056,341.5709331
AN,A2,GFDL,CDD,2057,342.5759007
AN,A2,GFDL,CDD,2058,343.5721946
AN,A2,GFDL,CDD,2059,344.5588978
AN,A2,GFDL,CDD,2060,345.5350769
AN,A2,GFDL,CDD,2061,346.499782
AN,A2,GFDL,CDD,2062,347.4520468
AN,A2,GFDL,CDD,2063,348.3908886
AN,A2,GFDL,CDD,2064,349.3153082
AN,A2,GFDL,CDD,2065,350.22429
AN,A2,GFDL,CDD,2066,351.116802
AN,A2,GFDL,CDD,2067,351.9917959
AN,A2,GFDL,CDD,2068,352.8482066
AN,A2,GFDL,CDD,2069,353.6849529
AN,A2,GFDL,CDD,2070,354.500937
AN,A2,GFDL,CDD,2071,355.2950449
AN,A2,GFDL,CDD,2072,356.0661458
AN,A2,GFDL,CDD,2073,356.8130928
AN,A2,GFDL,CDD,2074,357.5347225
AN,A2,GFDL,CDD,2075,358.2298548
AN,A2,GFDL,CDD,2076,358.8972936
AN,A2,GFDL,CDD,2077,359.5358261
AN,A2,GFDL,CDD,2078,360.1442232
AN,A2,GFDL,CDD,2079,360.721239
AN,A2,GFDL,CDD,2080,361.2656119
AN,A2,GFDL,CDD,2081,361.7760631
AN,A2,GFDL,CDD,2082,362.2512979
AN,A2,GFDL,CDD,2083,362.690005
AN,A2,GFDL,CDD,2084,363.0908565
AN,A2,GFDL,CDD,2085,363.4525083
AN,A2,GFDL,CDD,2086,363.7735999
AN,A2,GFDL,CDD,2087,364.052754
AN,A2,GFDL,CDD,2088,364.2885774
AN,A2,GFDL,CDD,2089,364.4796601
AN,A2,GFDL,CDD,2090,364.6245758
AN,A2,GFDL,CDD,2091,364.7218817
AN,A2,GFDL,CDD,2092,364.7701187
AN,A2,GFDL,CDD,2093,364.7678112
AN,A2,GFDL,CDD,2094,364.713467
AN,A2,GFDL,CDD,2095,364.6055778
AN,A2,GFDL,CDD,2096,364.4426185
AN,A2,GFDL,CDD,2097,364.223048
AN,A2,GFDL,CDD,2098,363.9453085
AN,A2,GFDL,CDD,2099,363.6078257
AN,A2,GFDL,CDD,2100,363.6078257
AP,A2,GFDL,CDD,1971,195.817204
AP,A2,GFDL,CDD,1972,195.9084258
AP,A2,GFDL,CDD,1973,196.0060215
AP,A2,GFDL,CDD,1974,196.1103227
AP,A2,GFDL,CDD,1975,196.2216493
AP,A2,GFDL,CDD,1976,196.34031
AP,A2,GFDL,CDD,1977,196.4666021
AP,A2,GFDL,CDD,1978,196.6008116
AP,A2,GFDL,CDD,1979,196.7432131
AP,A2,GFDL,CDD,1980,196.8940698
AP,A2,GFDL,CDD,1981,197.0536338
AP,A2,GFDL,CDD,1982,197.2221454
AP,A2,GFDL,CDD,1983,197.3998338
AP,A2,GFDL,CDD,1984,197.586917
AP,A2,GFDL,CDD,1985,197.7836015
AP,A2,GFDL,CDD,1986,197.9900822
AP,A2,GFDL,CDD,1987,198.2065431
AP,A2,GFDL,CDD,1988,198.4331566
AP,A2,GFDL,CDD,1989,198.6700835
AP,A2,GFDL,CDD,1990,198.9174739
AP,A2,GFDL,CDD,1991,199.1754658
AP,A2,GFDL,CDD,1992,199.4441865
AP,A2,GFDL,CDD,1993,199.7237515
AP,A2,GFDL,CDD,1994,200.014265
AP,A2,GFDL,CDD,1995,200.3158201
AP,A2,GFDL,CDD,1996,200.6284983
AP,A2,GFDL,CDD,1997,200.9523698
AP,A2,GFDL,CDD,1998,201.2874936
AP,A2,GFDL,CDD,1999,201.6339171
AP,A2,GFDL,CDD,2000,201.9916765
AP,A2,GFDL,CDD,2001,202.3607965
AP,A2,GFDL,CDD,2002,202.7412908
AP,A2,GFDL,CDD,2003,203.1331613
AP,A2,GFDL,CDD,2004,203.5363988
AP,A2,GFDL,CDD,2005,203.9509826
AP,A2,GFDL,CDD,2006,204.376881
AP,A2,GFDL,CDD,2007,204.8140504
AP,A2,GFDL,CDD,2008,205.2624362
AP,A2,GFDL,CDD,2009,205.7219724
AP,A2,GFDL,CDD,2010,206.1925817
AP,A2,GFDL,CDD,2011,206.6741752
AP,A2,GFDL,CDD,2012,207.1666529
AP,A2,GFDL,CDD,2013,207.6699033
AP,A2,GFDL,CDD,2014,208.1838037
AP,A2,GFDL,CDD,2015,208.7082198
AP,A2,GFDL,CDD,2016,209.2430062
AP,A2,GFDL,CDD,2017,209.788006
AP,A2,GFDL,CDD,2018,210.3430509
AP,A2,GFDL,CDD,2019,210.9079615
AP,A2,GFDL,CDD,2020,219
AP,A2,GFDL,CDD,2021,219.6048188
AP,A2,GFDL,CDD,2022,220.2192254
AP,A2,GFDL,CDD,2023,220.8429868
AP,A2,GFDL,CDD,2024,221.4758584
AP,A2,GFDL,CDD,2025,222.1175836
AP,A2,GFDL,CDD,2026,222.7678941
AP,A2,GFDL,CDD,2027,223.4265099
AP,A2,GFDL,CDD,2028,224.0931392
AP,A2,GFDL,CDD,2029,224.7674785
AP,A2,GFDL,CDD,2030,225.4492125
AP,A2,GFDL,CDD,2031,226.1380141
AP,A2,GFDL,CDD,2032,226.8335445
AP,A2,GFDL,CDD,2033,227.5354531
AP,A2,GFDL,CDD,2034,228.2433776
AP,A2,GFDL,CDD,2035,228.9569439
AP,A2,GFDL,CDD,2036,229.6757661
AP,A2,GFDL,CDD,2037,230.3994467
AP,A2,GFDL,CDD,2038,231.1275762
AP,A2,GFDL,CDD,2039,231.8597336
AP,A2,GFDL,CDD,2040,232.5954859
AP,A2,GFDL,CDD,2041,233.3343885
AP,A2,GFDL,CDD,2042,234.0759851
AP,A2,GFDL,CDD,2043,234.8198074
AP,A2,GFDL,CDD,2044,235.5653755
AP,A2,GFDL,CDD,2045,236.3121979
AP,A2,GFDL,CDD,2046,237.0597709
AP,A2,GFDL,CDD,2047,237.8075795
AP,A2,GFDL,CDD,2048,238.5550966
AP,A2,GFDL,CDD,2049,239.3017837
AP,A2,GFDL,CDD,2050,240.0470901
AP,A2,GFDL,CDD,2051,240.7904537
AP,A2,GFDL,CDD,2052,241.5313005
AP,A2,GFDL,CDD,2053,242.2690448
AP,A2,GFDL,CDD,2054,243.003089
AP,A2,GFDL,CDD,2055,243.7328239
AP,A2,GFDL,CDD,2056,244.4576286
AP,A2,GFDL,CDD,2057,245.1768701
AP,A2,GFDL,CDD,2058,245.889904
AP,A2,GFDL,CDD,2059,246.5960739
AP,A2,GFDL,CDD,2060,247.2947119
AP,A2,GFDL,CDD,2061,247.9851381
AP,A2,GFDL,CDD,2062,248.6666609
AP,A2,GFDL,CDD,2063,249.3385771
AP,A2,GFDL,CDD,2064,250.0001715
AP,A2,GFDL,CDD,2065,250.6507174
AP,A2,GFDL,CDD,2066,251.289476
AP,A2,GFDL,CDD,2067,251.915697
AP,A2,GFDL,CDD,2068,252.5286184
AP,A2,GFDL,CDD,2069,253.1274663
AP,A2,GFDL,CDD,2070,253.7114549
AP,A2,GFDL,CDD,2071,254.279787
AP,A2,GFDL,CDD,2072,254.8316534
AP,A2,GFDL,CDD,2073,255.3662331
AP,A2,GFDL,CDD,2074,255.8826935
AP,A2,GFDL,CDD,2075,256.3801902
AP,A2,GFDL,CDD,2076,256.857867
AP,A2,GFDL,CDD,2077,257.314856
AP,A2,GFDL,CDD,2078,257.7502774
AP,A2,GFDL,CDD,2079,258.1632397
AP,A2,GFDL,CDD,2080,258.5528399
AP,A2,GFDL,CDD,2081,258.9181628
AP,A2,GFDL,CDD,2082,259.2582819
AP,A2,GFDL,CDD,2083,259.5722585
AP,A2,GFDL,CDD,2084,259.8591424
AP,A2,GFDL,CDD,2085,260.1179716
AP,A2,GFDL,CDD,2086,260.3477725
AP,A2,GFDL,CDD,2087,260.5475593
AP,A2,GFDL,CDD,2088,260.7163348
AP,A2,GFDL,CDD,2089,260.8530901
AP,A2,GFDL,CDD,2090,260.9568043
AP,A2,GFDL,CDD,2091,261.0264448
AP,A2,GFDL,CDD,2092,261.0609673
AP,A2,GFDL,CDD,2093,261.0593158
AP,A2,GFDL,CDD,2094,261.0204224
AP,A2,GFDL,CDD,2095,260.9432076
AP,A2,GFDL,CDD,2096,260.8265799
AP,A2,GFDL,CDD,2097,260.6694363
AP,A2,GFDL,CDD,2098,260.4706619
AP,A2,GFDL,CDD,2099,260.2291301
AP,A2,GFDL,CDD,2100,260.2291301
AR,A2,GFDL,CDD,1971,118.0268079
AR,A2,GFDL,CDD,1972,118.0817909
AR,A2,GFDL,CDD,1973,118.1406157
AR,A2,GFDL,CDD,1974,118.2034822
AR,A2,GFDL,CDD,1975,118.2705832
AR,A2,GFDL,CDD,1976,118.3421047
AR,A2,GFDL,CDD,1977,118.4182259
AR,A2,GFDL,CDD,1978,118.4991193
AR,A2,GFDL,CDD,1979,118.5849504
AR,A2,GFDL,CDD,1980,118.6758777
AR,A2,GFDL,CDD,1981,118.7720532
AR,A2,GFDL,CDD,1982,118.8736219
AR,A2,GFDL,CDD,1983,118.9807218
AR,A2,GFDL,CDD,1984,119.0934842
AR,A2,GFDL,CDD,1985,119.2120338
AR,A2,GFDL,CDD,1986,119.3364879
AR,A2,GFDL,CDD,1987,119.4669575
AR,A2,GFDL,CDD,1988,119.6035464
AR,A2,GFDL,CDD,1989,119.7463517
AR,A2,GFDL,CDD,1990,119.8954637
AR,A2,GFDL,CDD,1991,120.0509657
AR,A2,GFDL,CDD,1992,120.2129343
AR,A2,GFDL,CDD,1993,120.3814392
AR,A2,GFDL,CDD,1994,120.5565433
AR,A2,GFDL,CDD,1995,120.7383025
AR,A2,GFDL,CDD,1996,120.9267661
AR,A2,GFDL,CDD,1997,121.1219763
AR,A2,GFDL,CDD,1998,121.3239687
AR,A2,GFDL,CDD,1999,121.5327719
AR,A2,GFDL,CDD,2000,121.7484077
AR,A2,GFDL,CDD,2001,121.9708911
AR,A2,GFDL,CDD,2002,122.2002301
AR,A2,GFDL,CDD,2003,122.436426
AR,A2,GFDL,CDD,2004,122.6794732
AR,A2,GFDL,CDD,2005,122.9293594
AR,A2,GFDL,CDD,2006,123.1860652
AR,A2,GFDL,CDD,2007,123.4495646
AR,A2,GFDL,CDD,2008,123.7198246
AR,A2,GFDL,CDD,2009,123.9968053
AR,A2,GFDL,CDD,2010,124.2804602
AR,A2,GFDL,CDD,2011,124.5707357
AR,A2,GFDL,CDD,2012,124.8675716
AR,A2,GFDL,CDD,2013,125.1709006
AR,A2,GFDL,CDD,2014,125.4806488
AR,A2,GFDL,CDD,2015,125.7967352
AR,A2,GFDL,CDD,2016,126.1190722
AR,A2,GFDL,CDD,2017,126.4475652
AR,A2,GFDL,CDD,2018,126.7821129
AR,A2,GFDL,CDD,2019,127.1226069
AR,A2,GFDL,CDD,2020,132
AR,A2,GFDL,CDD,2021,132.3645483
AR,A2,GFDL,CDD,2022,132.7348756
AR,A2,GFDL,CDD,2023,133.1108414
AR,A2,GFDL,CDD,2024,133.4922982
AR,A2,GFDL,CDD,2025,133.8790915
AR,A2,GFDL,CDD,2026,134.2710595
AR,A2,GFDL,CDD,2027,134.6680333
AR,A2,GFDL,CDD,2028,135.0698373
AR,A2,GFDL,CDD,2029,135.4762884
AR,A2,GFDL,CDD,2030,135.8871966
AR,A2,GFDL,CDD,2031,136.3023646
AR,A2,GFDL,CDD,2032,136.7215884
AR,A2,GFDL,CDD,2033,137.1446566
AR,A2,GFDL,CDD,2034,137.5713509
AR,A2,GFDL,CDD,2035,138.0014456
AR,A2,GFDL,CDD,2036,138.4347083
AR,A2,GFDL,CDD,2037,138.8708994
AR,A2,GFDL,CDD,2038,139.3097719
AR,A2,GFDL,CDD,2039,139.7510723
AR,A2,GFDL,CDD,2040,140.1945394
