# File: A44.india_state_HDDCDD_scen.csv
# Title: HDD and CDD for all states
# Units: NA
# Comments:  Yearwise HDD and CDD
# Source: None (GCAM assumptions)
# Column types: ccccnn
# ----------
state,scen,GCM,variable,year,value
AN,A2,GFDL,CDD,1971,36.378777
AN,A2,GFDL,CDD,1972,36.378777
AN,A2,GFDL,CDD,1973,36.378777
AN,A2,GFDL,CDD,1974,36.378777
AN,A2,GFDL,CDD,1975,36.378777
AN,A2,GFDL,CDD,1976,31.2845812
AN,A2,GFDL,CDD,1977,26.1903854
AN,A2,GFDL,CDD,1978,21.0961896
AN,A2,GFDL,CDD,1979,16.0019938
AN,A2,GFDL,CDD,1980,10.907798
AN,A2,GFDL,CDD,1981,12.2174378
AN,A2,GFDL,CDD,1982,13.5270776
AN,A2,GFDL,CDD,1983,14.8367174
AN,A2,GFDL,CDD,1984,16.1463572
AN,A2,GFDL,CDD,1985,17.455997
AN,A2,GFDL,CDD,1986,22.392149
AN,A2,GFDL,CDD,1987,27.328301
AN,A2,GFDL,CDD,1988,32.264453
AN,A2,GFDL,CDD,1989,37.200605
AN,A2,GFDL,CDD,1990,42.136757
AN,A2,GFDL,CDD,1991,36.9484056
AN,A2,GFDL,CDD,1992,31.7600542
AN,A2,GFDL,CDD,1993,26.5717028
AN,A2,GFDL,CDD,1994,21.3833514
AN,A2,GFDL,CDD,1995,16.195
AN,A2,GFDL,CDD,1996,33.8054232
AN,A2,GFDL,CDD,1997,51.4158464
AN,A2,GFDL,CDD,1998,69.0262696
AN,A2,GFDL,CDD,1999,86.6366928
AN,A2,GFDL,CDD,2000,104.247116
AN,A2,GFDL,CDD,2001,108.9160156
AN,A2,GFDL,CDD,2002,113.5849152
AN,A2,GFDL,CDD,2003,118.2538148
AN,A2,GFDL,CDD,2004,122.9227144
AN,A2,GFDL,CDD,2005,127.591614
AN,A2,GFDL,CDD,2006,132.2605133
AN,A2,GFDL,CDD,2007,136.9294127
AN,A2,GFDL,CDD,2008,141.598312
AN,A2,GFDL,CDD,2009,141.598312
AN,A2,GFDL,CDD,2010,823
AN,A2,GFDL,CDD,2011,137.5863598
AN,A2,GFDL,CDD,2012,133.5744077
AN,A2,GFDL,CDD,2013,129.5624555
AN,A2,GFDL,CDD,2014,125.5505033
AN,A2,GFDL,CDD,2015,121.5385511
AN,A2,GFDL,CDD,2016,117.526599
AN,A2,GFDL,CDD,2017,113.5146468
AN,A2,GFDL,CDD,2018,109.5026946
AN,A2,GFDL,CDD,2019,105.4907424
AN,A2,GFDL,CDD,2020,101.4787903
AN,A2,GFDL,CDD,2021,106.6707284
AN,A2,GFDL,CDD,2022,111.8626665
AN,A2,GFDL,CDD,2023,117.0546046
AN,A2,GFDL,CDD,2024,122.2465427
AN,A2,GFDL,CDD,2025,127.4384808
AN,A2,GFDL,CDD,2026,132.6304189
AN,A2,GFDL,CDD,2027,137.822357
AN,A2,GFDL,CDD,2028,143.0142951
AN,A2,GFDL,CDD,2029,148.2062332
AN,A2,GFDL,CDD,2030,153.3981713
AN,A2,GFDL,CDD,2031,158.5901094
AN,A2,GFDL,CDD,2032,163.7820475
AN,A2,GFDL,CDD,2033,168.9739857
AN,A2,GFDL,CDD,2034,174.1659238
AN,A2,GFDL,CDD,2035,179.3578619
AN,A2,GFDL,CDD,2036,175.7392383
AN,A2,GFDL,CDD,2037,172.1206148
AN,A2,GFDL,CDD,2038,168.5019913
AN,A2,GFDL,CDD,2039,164.8833678
AN,A2,GFDL,CDD,2040,161.2647442
AN,A2,GFDL,CDD,2041,157.6461207
AN,A2,GFDL,CDD,2042,154.0274972
AN,A2,GFDL,CDD,2043,150.4088736
AN,A2,GFDL,CDD,2044,146.7902501
