# File: A44.india_state_globaltech_eff.csv
# Title: Building default technology efficiency
# Units: Unitless
# Source: ASSUMED
# Column types: ccccnnnnnnnnnnnnnnnnnnnn
# ----------
supplysector,subsector,technology,minicam.energy.input,1971,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
resid rural cooling,electricity,air conditioner (hi-eff),elect_td_res,4.241551724,4.241551724,4.241551724,4.241551724,4.363300667,4.488544276,4.617382861,4.749919612,4.88626068,5.026515264,5.170795697,5.319217537,5.471899658,5.628964347,5.790537399,5.956748224,6.127729942,6.303619496,6.484557762,6.670689655
resid rural cooling,electricity,air conditioner (lo-eff),elect_td_res,3.384647887,3.384647887,3.384647887,3.384647887,3.485547404,3.58945483,3.696459834,3.806654757,3.920134693,4.036997572,4.157344243,4.281278561,4.408907476,4.540341129,4.675692942,4.815079719,4.958621746,5.106442895,5.25867073,5.41543662
resid urban cooling,electricity,air conditioner (hi-eff),elect_td_res,4.241551724,4.241551724,4.241551724,4.241551724,4.363300667,4.488544276,4.617382861,4.749919612,4.88626068,5.026515264,5.170795697,5.319217537,5.471899658,5.628964347,5.790537399,5.956748224,6.127729942,6.303619496,6.484557762,6.670689655
resid urban cooling,electricity,air conditioner (lo-eff),elect_td_res,3.384647887,3.384647887,3.384647887,3.384647887,3.485547404,3.58945483,3.696459834,3.806654757,3.920134693,4.036997572,4.157344243,4.281278561,4.408907476,4.540341129,4.675692942,4.815079719,4.958621746,5.106442895,5.25867073,5.41543662
resid rural coolers,electricity,desert coolers,elect_td_res,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
resid urban coolers,electricity,desert coolers,elect_td_res,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
resid rural lighting,electricity,hi-eff,elect_td_res,29.217,29.217,29.217,29.217,29.55183467,29.89050664,30.23305988,30.57953887,30.9299886,31.28445458,31.64298284,32.00561993,32.37241293,32.74340948,33.11865775,33.49820647,33.88210492,34.27040295,34.66315097,35.0604
resid rural lighting,electricity,lo-eff,elect_td_res,8.640125,8.640125,8.640125,8.640125,8.691746842,8.743677107,8.795917637,8.848470288,8.901336923,8.954519418,9.008019661,9.061839549,9.115980994,9.170445915,9.225236246,9.280353931,9.335800925,9.391579197,9.447690725,9.5041375
resid urban lighting,electricity,hi-eff,elect_td_res,29.217,29.217,29.217,29.217,29.55183467,29.89050664,30.23305988,30.57953887,30.9299886,31.28445458,31.64298284,32.00561993,32.37241293,32.74340948,33.11865775,33.49820647,33.88210492,34.27040295,34.66315097,35.0604
resid urban lighting,electricity,lo-eff,elect_td_res,8.640125,8.640125,8.640125,8.640125,8.691746842,8.743677107,8.795917637,8.848470288,8.901336923,8.954519418,9.008019661,9.061839549,9.115980994,9.170445915,9.225236246,9.280353931,9.335800925,9.391579197,9.447690725,9.5041375
resid rural space heating,electricity,room heaters,elect_td_res,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
resid urban space heating,electricity,room heaters,elect_td_res,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
resid rural cooking,electricity,electricity,elect_td_res,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
resid urban cooking,electricity,electricity,elect_td_res,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
resid rural apploth,electricity,Elec-based app,elect_td_res,0.7558472,0.7558472,0.7558472,0.7558472,0.765299621,0.774870251,0.784560568,0.79437207,0.804306273,0.814364709,0.824548934,0.83486052,0.84530106,0.855872166,0.866575472,0.87741263,0.888385315,0.899495221,0.910744065,0.922133584
resid urban apploth,electricity,Elec-based app,elect_td_res,0.7558472,0.7558472,0.7558472,0.7558472,0.765299621,0.774870251,0.784560568,0.79437207,0.804306273,0.814364709,0.824548934,0.83486052,0.84530106,0.855872166,0.866575472,0.87741263,0.888385315,0.899495221,0.910744065,0.922133584
resid rural space heating,coal,coal burners,delivered coal,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225
resid urban space heating,coal,coal burners,delivered coal,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225,0.225
resid rural cooking,coal,coal,delivered coal,0.225,0.225,0.225,0.225,0.227813789,0.230662767,0.233547373,0.236468053,0.239425259,0.242419446,0.245451078,0.248520623,0.251628555,0.254775353,0.257961505,0.261187502,0.264453842,0.26776103,0.271109577,0.2745
resid urban cooking,coal,coal,delivered coal,0.225,0.225,0.225,0.225,0.227813789,0.230662767,0.233547373,0.236468053,0.239425259,0.242419446,0.245451078,0.248520623,0.251628555,0.254775353,0.257961505,0.261187502,0.264453842,0.26776103,0.271109577,0.2745
resid rural apploth,coal,Coal-based app,delivered coal,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642
resid urban apploth,coal,Coal-based app,delivered coal,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642,0.3088642
resid rural space heating,biomass,fire heaters,delivered biomass,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195
resid urban space heating,biomass,fire heaters,delivered biomass,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195,0.195
resid rural cooking,biomass,biomass,delivered biomass,0.195,0.195,0.195,0.195,0.197438617,0.199907731,0.202407723,0.204938979,0.207501891,0.210096853,0.212724268,0.21538454,0.218078081,0.220805306,0.223566637,0.226362501,0.22919333,0.232059559,0.234961633,0.2379
resid urban cooking,biomass,biomass,delivered biomass,0.195,0.195,0.195,0.195,0.197438617,0.199907731,0.202407723,0.204938979,0.207501891,0.210096853,0.212724268,0.21538454,0.218078081,0.220805306,0.223566637,0.226362501,0.22919333,0.232059559,0.234961633,0.2379
resid urban cooking,refined liquids,refined liquids,refined liquids enduse,0.6627,0.6627,0.6627,0.6627,0.68419913,0.706395728,0.729312423,0.752972574,0.777400302,0.802620507,0.828658899,0.855542021,0.883297278,0.911952964,0.941538289,0.972083413,1.003619474,1.036178619,1.069794038,1.1045
resid rural cooking,refined liquids,refined liquids,refined liquids enduse,0.6627,0.6627,0.6627,0.6627,0.6627,0.6627,0.6627,0.6627,0.6627,0.6627,0.6627,0.6627,0.6627,0.6627,0.6627,0.6627,0.6627,0.6627,0.6627,0.6627
