# File: A44.india_state_globaltech_shrwt.csv
# Title: Building technology default shareweights
# Units: Unitless
# Column types: ccciinnnn
# ----------
supplysector,subsector,technology,1971,2010,2015,2020,2040,2100
resid rural cooling,electricity,air conditioner (hi-eff),1,1,1,1,1,1
resid rural cooling,electricity,air conditioner (lo-eff),1,1,1,1,1,1
resid urban cooling,electricity,air conditioner (hi-eff),1,1,1,1,1,1
resid urban cooling,electricity,air conditioner (lo-eff),1,1,1,1,1,1
resid rural coolers,electricity,desert coolers,1,1,1,1,1,1
resid urban coolers,electricity,desert coolers,1,1,1,1,1,1
resid rural lighting,electricity,hi-eff,1,1,1,1,1,1
resid rural lighting,electricity,lo-eff,1,1,1,1,1,1
resid urban lighting,electricity,hi-eff,1,1,1,1,1,1
resid urban lighting,electricity,lo-eff,1,1,1,1,1,1
resid rural space heating,electricity,room heaters,1,1,1,1,1,1
resid urban space heating,electricity,room heaters,1,1,1,1,1,1
resid rural cooking,electricity,electricity,1,1,1,1,1,1
resid urban cooking,electricity,electricity,1,1,1,1,1,1
resid rural apploth,electricity,Elec-based app,1,1,1,1,1,1
resid urban apploth,electricity,Elec-based app,1,1,1,1,1,1
resid rural space heating,coal,coal burners,1,1,0.5,0,0,0
resid urban space heating,coal,coal burners,1,1,0.5,0,0,0
resid rural cooking,coal,coal,1,1,0.5,0,0,0
resid urban cooking,coal,coal,1,1,0.5,0,0,0
resid rural apploth,coal,Coal-based app,1,1,0.5,0,0,0
resid urban apploth,coal,Coal-based app,1,1,0.5,0,0,0
resid rural space heating,biomass,fire heaters,1,1,0.5,0,0,0
resid urban space heating,biomass,fire heaters,1,1,0.5,0,0,0
resid rural cooking,biomass,biomass,1,1,0.5,0,0,0
resid urban cooking,biomass,biomass,1,1,0.5,0,0,0
resid urban cooking,refined liquids,refined liquids,1,1,1,1,1,1
resid rural cooking,refined liquids,refined liquids,1,1,1,1,1,1
resid rural cooking,traditional biomass,traditional biomass,1,1,0.3,0.1,0,0
resid urban cooking,traditional biomass,traditional biomass,1,1,0.3,0.1,0,0
resid rural apploth,biomass,biomass-based app,1,1,0.5,0,0,0
resid urban apploth,biomass,biomass-based app,1,1,0.5,0,0,0
resid rural apploth,refined liquids,RL-based app,1,1,1,1,1,1
resid urban apploth,refined liquids,RL-based app,1,1,1,1,1,1
resid rural apploth,gas,Gas-based app,1,1,1,1,1,1
resid urban apploth,gas,Gas-based app,1,1,1,1,1,1
resid rural cooking,gas,gas-based cooking,1,1,1,1,1,1
resid urban cooking,gas,gas-based cooking,1,1,1,1,1,1
comm hvac,electricity,heating-cooling appl,1,1,1,1,1,1
comm lighting,electricity,electricity based lighting,1,1,1,1,1,1
comm ref,electricity,electricity based ref,1,1,1,1,1,1
comm others,electricity,electricity based others,1,1,1,1,1,1
comm others,coal,coal based others,1,1,0.5,0,0,0
comm others,biomass,biomass based others,1,1,0.5,0,0,0
comm others,refined liquids,refined liquids based others,1,1,1,1,1,1
comm cooking,refined liquids,refined liquids based cooking,1,1,1,1,1,1
comm cooking,gas,gas based cooking,1,1,1,1,1,1
comm cooking,electricity,electric cooking,1,1,1,1,1,1
