# File: A44.india_state_in_EJ_res_F_hotwater_Y.csv
# Title: State-wise hotwater energy demand in India
# Units: EJ/yr
# Comments: Residential hotwater energy demand 
# Source: Refer to India_bld disaggg
# Column types: ccccnnnnnnnnnnn
# ----------
state,sector,fuel,service,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
AN,resid rural,electricity,resid rural water heaters,0.00121881,9.95E-04,1.61E-02,0.023669956,3.12E-02,0.038827018,4.64E-02,0.053984081,6.16E-02,0.069141144,0.069141144
AN,resid rural,refined liquids,resid rural water heaters,0.001094646,8.94E-04,2.08E-02,0.030703049,4.06E-02,0.050526999,6.04E-02,0.070350949,8.03E-02,0.090174899,0.090174899
AP,resid rural,electricity,resid rural water heaters,0.001447808,9.54E-04,0.023075765,0.03401816,0.044960555,0.05590295,0.066845345,0.07778774,0.088730136,0.099672531,0.099672531
AP,resid rural,refined liquids,resid rural water heaters,0.00185442,0.001748425,0.00164243,0.001536436,0.001430441,0.001324447,0.001218452,0.001112458,0.001006463,0.000900469,0.000794474
AR,resid rural,electricity,resid rural water heaters,0.00121881,9.95E-04,1.61E-02,0.023669956,3.12E-02,0.038827018,4.64E-02,0.053984081,6.16E-02,0.069141144,0.069141144
AR,resid rural,refined liquids,resid rural water heaters,0.001094646,8.94E-04,2.08E-02,0.030703049,4.06E-02,0.050526999,6.04E-02,0.070350949,8.03E-02,0.090174899,0.090174899
AS,resid rural,electricity,resid rural water heaters,0.001447808,9.54E-04,0.023075765,0.03401816,0.044960555,0.05590295,0.066845345,0.07778774,0.088730136,0.099672531,0.099672531
AS,resid rural,refined liquids,resid rural water heaters,0.00185442,0.001748425,0.00164243,0.001536436,0.001430441,0.001324447,0.001218452,0.001112458,0.001006463,0.000900469,0.000794474
BR,resid rural,electricity,resid rural water heaters,0.001695595,0.013210942,0.024726289,0.036241636,0.047756983,0.05927233,0.070787677,0.082303024,0.093818371,0.105333718,0.116849065
BR,resid rural,refined liquids,resid rural water heaters,0.001670856,0.012240091,0.022809326,0.033378562,0.043947797,0.054517032,0.065086267,0.075655502,0.086224737,0.096793972,0.107363208
