# File: A44.india_state_pcflsp_m2_comm.csv
# Title: This file contains per capita flsp in all historical years
# Source:Website
# Units: NA
# Column types:ccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# -----------------------------------------
state,state_name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AN,Andaman and Nicobar island,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.777930988,0.537782894,0.537782894
AP,Andhra Pradesh,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.675571647,0.657289747,0.657289747
AR,Arunachal Pradesh,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.458111354,0.458111354
AS,Assam,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.286606153,0.278849742,0.278849742
BR,Bihar,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.225190549,0.21909693,0.21909693
CG,Chhattisgarh,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.470852966,0.458111354,0.458111354
CH,Chandigarh,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.985771205,1.932034843,1.932034843
DD,Daman and Diu,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,1.535390107,0.936140594,0.936140594
DL,Delhi,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,2.006243073,1.951950313,1.951950313
DN,Dadra and Nagar Haveli,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,0.9621778,1.493841373,1.493841373
