# File: A44.india_state_pcflsp_m2_res_rural.csv
# Title: This file contains per capita flsp in all historical years
# Source:Website
# Units: NA
# Column types:ccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# -----------------------------------------
state,state_name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AN,Andaman and Nicobar island,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809,12.03167809
AP,Andhra Pradesh,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688,7.705296688
AR,Arunachal Pradesh,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976,9.86277976
AS,Assam,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775,12.46545775
BR,Bihar,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4,9.4
CG,Chhattisgarh,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451,10.52486451
CH,Chandigarh,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546,5.365169546
DD,Daman and Diu,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471,9.760042471
DL,Delhi,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132,13.29877132
DN,Dadra and Nagar Haveli,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103,12.5796103
GA,Goa,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048,14.38322048
GJ,Gujarat,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434,10.06825434
