# File: A44.india_state_pcflsp_m2_res_urban.csv
# Title: This file contains per capita flsp in all historical years
# Source:Website
# Units: NA
# Column types:ccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# -----------------------------------------
state,state_name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AN,Andaman and Nicobar island,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705,7.85782705
AP,Andhra Pradesh,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655,7.291575655
AR,Arunachal Pradesh,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101,6.629497101
AS,Assam,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929,11.89127929
BR,Bihar,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535,7.274152535
CG,Chhattisgarh,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537,7.056363537
CH,Chandigarh,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798,9.129714798
DD,Daman and Diu,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951,9.878908951
DL,Delhi,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327,8.188866327
DN,Dadra and Nagar Haveli,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943,10.38417943
