# File: A44.india_state_subregional_pop_share.csv
# Title: Subregional pop share
# Units: Share
# Source: Census of India
# Column types: ccnnnnnnnnnnnnnnnnnnnnnn
# ----------
region,gcam.consumer,1975,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AN,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AP,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AR,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AS,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CH,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CG,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DN,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DD,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DL,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GA,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GJ,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HR,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HP,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
JK,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
JH,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KA,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KL,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LA,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LD,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MP,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MH,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MN,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ML,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MZ,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NL,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OD,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PC,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PB,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RJ,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SK,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TN,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TS,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TR,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UP,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UK,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
WB,comm,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AN,resid urban,0.356719577,0.356719577,0.356719577,0.356719577,0.403061224,0.43,0.458128079,0.487804878,0.515738499,0.535297076,0.593695549,0.643343937,0.662902514,0.682461091,0.702019668,0.721578245,0.741136822,0.7606954,0.780253977,0.799812554,0.8,0.8
AP,resid urban,0.296899901,0.296899901,0.296899901,0.296899901,0.323314711,0.352700475,0.383045672,0.414563913,0.447393644,0.484007554,0.53675563,0.592216063,0.619339629,0.646463195,0.67358676,0.700710326,0.727833892,0.754957458,0.782081024,0.8,0.8,0.8
AR,resid urban,0.226709963,0.226709963,0.226709963,0.226709963,0.240575737,0.251793868,0.263092269,0.274415818,0.285631181,0.300317358,0.324452231,0.349466864,0.358264465,0.367062066,0.375859668,0.384657269,0.393454871,0.402252472,0.411050074,0.419847675,0.428645277,0.437442878
AS,resid urban,0.140799974,0.140799974,0.140799974,0.140799974,0.147099614,0.153183232,0.159272272,0.165409991,0.171628722,0.186834496,0.209173949,0.233673124,0.247704334,0.262679169,0.278661089,0.295717823,0.313921655,0.333349729,0.354084377,0.376213468,0.399830783,0.425036406
BR,resid urban,0.113000422,0.113000422,0.113000422,0.113000422,0.112172818,0.119680443,0.127690548,0.136236761,0.145354965,0.158185111,0.17704545,0.197721809,0.209537293,0.222143577,0.235593589,0.249943798,0.265254453,0.281589837,0.299018533,0.317613716,0.337453458,0.358621056
CH,resid urban,0.9725,0.9725,0.9725,0.9725,0.988556338,0.996688742,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CG,resid urban,0.232439978,0.232439978,0.232439978,0.232439978,0.248739618,0.264808599,0.280766396,0.296708335,0.306320248,0.327094032,0.358493441,0.391328868,0.405689043,0.420049219,0.434409394,0.44876957,0.463129745,0.47748992,0.491850096,0.506210271,0.520570447,0.534930622
DN,resid urban,0.466168675,0.466168675,0.466168675,0.466168675,0.584070796,0.671052632,0.733253589,0.777589134,0.806811509,0.8568,0.9416,1,1,1,1,1,1,1,1,1,1,1
DD,resid urban,0.751628205,0.751628205,0.751628205,0.751628205,0.872340426,0.940298507,0.973049645,0.986807388,0.992889792,1,1,1,1,1,1,1,1,1,1,1,1,1
DL,resid urban,0.974972717,0.974972717,0.974972717,0.974972717,0.986079135,0.993534588,0.998003549,0.99995927,1,1,1,1,1,1,1,1,1,1,1,1,1,1
