# File: A44.india_state_subsector_logit.csv
# Title: Building subsector default logit exponents
# Units: Unitless
# Source: None (GCAM assumptions)
# Column types: ccic
# ----------
supplysector,subsector,logit.exponent,logit.type
resid rural cooling,electricity,-6,
resid urban cooling,electricity,-6,
resid rural coolers,electricity,-6,
resid urban coolers,electricity,-8,
resid rural lighting,electricity,-6,
resid urban lighting,electricity,-2,
resid rural space heating,electricity,-6,
resid urban space heating,electricity,-6,
resid rural cooking,electricity,-6,
resid urban cooking,electricity,-6,
resid rural apploth,electricity,-6,
resid urban apploth,electricity,-6,
resid rural space heating,coal,-6,
resid urban space heating,coal,-6,
resid rural cooking,coal,-6,
resid urban cooking,coal,-6,
resid rural apploth,coal,-6,
resid urban apploth,coal,-6,
resid rural space heating,biomass,-6,
resid urban space heating,biomass,-6,
resid rural cooking,biomass,-6,
resid urban cooking,biomass,-6,
resid urban cooking,refined liquids,-6,
resid rural cooking,refined liquids,-6,
resid rural cooking,traditional biomass,-3,
resid urban cooking,traditional biomass,-6,
resid rural apploth,biomass,-6,
resid urban apploth,biomass,-3,
resid rural apploth,refined liquids,-6,
resid urban apploth,refined liquids,-8,
resid rural apploth,gas,-6,
resid urban apploth,gas,-6,
resid rural cooking,gas,-6,
resid urban cooking,gas,-6,
comm hvac,electricity,-6,
comm lighting,electricity,-6,
comm ref,electricity,-6,
comm others,electricity,-6,
comm others,coal,-6,
comm others,biomass,-6,
comm others,refined liquids,-6,
comm cooking,refined liquids,-6,
comm cooking,gas,-6,
comm cooking,electricity,-6,
