# File: A54.india_StubTranTech.csv
# Title: Sub transport technologies
# Units: Unitless
# Column types: cccc
# ----------
region,supplysector,tranSubsector,stub.technology
India,trn_aviation_intl,Air International,Liquids
India,trn_freight,Freight Rail,Coal
India,trn_freight,Freight Rail,Electric
India,trn_freight,Freight Rail,Liquids
India,trn_freight,Ship Domestic,Liquids
India,trn_freight_road,Truck,Liquids
India,trn_freight_road,Truck,NG
India,trn_freight_road,Truck,Electric
India,trn_freight_road,Truck,FCEV
India,trn_pass,HSR,Electric
India,trn_pass,Passenger Rail,Electric
India,trn_pass,Air Domestic,Liquids
India,trn_pass,Passenger Rail,Liquids
India,trn_pass_road,Bus,Liquids
India,trn_pass_road,Bus,Electric
India,trn_pass_road,Bus,NG
India,trn_pass_road_LDV_2W,LDV_2W,Electric
India,trn_pass_road_LDV_2W,LDV_2W,Liquids
India,trn_pass_road_LDV,LDV_3W,Electric
India,trn_pass_road_LDV,LDV_3W,NG
India,trn_pass_road_LDV,LDV_3W,Liquids
India,trn_pass_road_LDV_4W,LDV_4W,Electric
India,trn_pass_road_LDV_4W,LDV_4W,FCEV
India,trn_pass_road_LDV_4W,LDV_4W,NG
India,trn_pass_road_LDV_4W,LDV_4W,Liquids
India,trn_shipping_intl,Ship International,Liquids
