# File: A54.india_StubTranTechLoadFactor.csv
# Title: Load factor of passenger and freight sub technology wise
# Units: Number of people/ tons per vehicle
# Column types: ccccin
# ----------
region,supplysector,tranSubsector,stub.technology,year,loadFactor
India,trn_aviation_intl,Air International,Liquids,1975,223.95
India,trn_aviation_intl,Air International,Liquids,1990,223.95
India,trn_aviation_intl,Air International,Liquids,2005,223.95
India,trn_aviation_intl,Air International,Liquids,2010,229.75
India,trn_aviation_intl,Air International,Liquids,2015,235.55
India,trn_aviation_intl,Air International,Liquids,2020,241.35
India,trn_aviation_intl,Air International,Liquids,2025,245.68
India,trn_aviation_intl,Air International,Liquids,2030,250
India,trn_aviation_intl,Air International,Liquids,2035,254.33
India,trn_aviation_intl,Air International,Liquids,2040,256.91
India,trn_aviation_intl,Air International,Liquids,2045,259.49
India,trn_aviation_intl,Air International,Liquids,2050,262.07
India,trn_aviation_intl,Air International,Liquids,2055,262.07
India,trn_aviation_intl,Air International,Liquids,2060,262.07
India,trn_aviation_intl,Air International,Liquids,2065,262.07
India,trn_aviation_intl,Air International,Liquids,2070,262.07
India,trn_aviation_intl,Air International,Liquids,2075,262.07
India,trn_aviation_intl,Air International,Liquids,2080,262.07
India,trn_aviation_intl,Air International,Liquids,2085,262.07
India,trn_aviation_intl,Air International,Liquids,2090,262.07
India,trn_aviation_intl,Air International,Liquids,2095,262.07
India,trn_aviation_intl,Air International,Liquids,2100,262.07
India,trn_freight,Ship Domestic,Liquids,1975,1000
India,trn_freight,Ship Domestic,Liquids,1990,1000
India,trn_freight,Ship Domestic,Liquids,2005,1000
India,trn_freight,Ship Domestic,Liquids,2010,1000
India,trn_freight,Ship Domestic,Liquids,2015,1000
India,trn_freight,Ship Domestic,Liquids,2020,1000
India,trn_freight,Ship Domestic,Liquids,2025,1000
India,trn_freight,Ship Domestic,Liquids,2030,1000
India,trn_freight,Ship Domestic,Liquids,2035,1000
India,trn_freight,Ship Domestic,Liquids,2040,1000
India,trn_freight,Ship Domestic,Liquids,2045,1000
India,trn_freight,Ship Domestic,Liquids,2050,1000
India,trn_freight,Ship Domestic,Liquids,2055,1000
India,trn_freight,Ship Domestic,Liquids,2060,1000
India,trn_freight,Ship Domestic,Liquids,2065,1000
India,trn_freight,Ship Domestic,Liquids,2070,1000
India,trn_freight,Ship Domestic,Liquids,2075,1000
India,trn_freight,Ship Domestic,Liquids,2080,1000
India,trn_freight,Ship Domestic,Liquids,2085,1000
India,trn_freight,Ship Domestic,Liquids,2090,1000
India,trn_freight,Ship Domestic,Liquids,2095,1000
India,trn_freight,Ship Domestic,Liquids,2100,1000
India,trn_freight,Freight Rail,Coal,1975,2108.95
India,trn_freight,Freight Rail,Coal,1990,2108.95
India,trn_freight,Freight Rail,Coal,2005,2108.95
India,trn_freight,Freight Rail,Coal,2010,2108.95
India,trn_freight,Freight Rail,Coal,2015,2108.95
India,trn_freight,Freight Rail,Coal,2020,2108.95
India,trn_freight,Freight Rail,Coal,2025,2108.95
India,trn_freight,Freight Rail,Coal,2030,2108.95
India,trn_freight,Freight Rail,Coal,2035,2108.95
India,trn_freight,Freight Rail,Coal,2040,2108.95
India,trn_freight,Freight Rail,Coal,2045,2108.95
India,trn_freight,Freight Rail,Coal,2050,2108.95
India,trn_freight,Freight Rail,Coal,2055,2108.95
India,trn_freight,Freight Rail,Coal,2060,2108.95
India,trn_freight,Freight Rail,Coal,2065,2108.95
India,trn_freight,Freight Rail,Coal,2070,2108.95
India,trn_freight,Freight Rail,Coal,2075,2108.95
India,trn_freight,Freight Rail,Coal,2080,2108.95
India,trn_freight,Freight Rail,Coal,2085,2108.95
India,trn_freight,Freight Rail,Coal,2090,2108.95
India,trn_freight,Freight Rail,Coal,2095,2108.95
India,trn_freight,Freight Rail,Coal,2100,2108.95
India,trn_freight,Freight Rail,Electric,1975,1410.58
India,trn_freight,Freight Rail,Electric,1990,1410.58
India,trn_freight,Freight Rail,Electric,2005,1410.58
India,trn_freight,Freight Rail,Electric,2010,1410.58
India,trn_freight,Freight Rail,Electric,2015,1211.78
India,trn_freight,Freight Rail,Electric,2020,1122.48
India,trn_freight,Freight Rail,Electric,2025,1122.48
India,trn_freight,Freight Rail,Electric,2030,1122.48
India,trn_freight,Freight Rail,Electric,2035,1122.48
India,trn_freight,Freight Rail,Electric,2040,1122.48
India,trn_freight,Freight Rail,Electric,2045,1122.48
India,trn_freight,Freight Rail,Electric,2050,1122.48
India,trn_freight,Freight Rail,Electric,2055,1122.48
India,trn_freight,Freight Rail,Electric,2060,1122.48
India,trn_freight,Freight Rail,Electric,2065,1122.48
India,trn_freight,Freight Rail,Electric,2070,1122.48
India,trn_freight,Freight Rail,Electric,2075,1122.48
India,trn_freight,Freight Rail,Electric,2080,1122.48
India,trn_freight,Freight Rail,Electric,2085,1122.48
India,trn_freight,Freight Rail,Electric,2090,1122.48
India,trn_freight,Freight Rail,Electric,2095,1122.48
India,trn_freight,Freight Rail,Electric,2100,1122.48
India,trn_freight,Freight Rail,Liquids,1975,1410.58
India,trn_freight,Freight Rail,Liquids,1990,1410.58
India,trn_freight,Freight Rail,Liquids,2005,1410.58
India,trn_freight,Freight Rail,Liquids,2010,1410.58
India,trn_freight,Freight Rail,Liquids,2015,1211.78
India,trn_freight,Freight Rail,Liquids,2020,1122.48
India,trn_freight,Freight Rail,Liquids,2025,1122.48
India,trn_freight,Freight Rail,Liquids,2030,1122.48
India,trn_freight,Freight Rail,Liquids,2035,1122.48
India,trn_freight,Freight Rail,Liquids,2040,1122.48
India,trn_freight,Freight Rail,Liquids,2045,1122.48
India,trn_freight,Freight Rail,Liquids,2050,1122.48
India,trn_freight,Freight Rail,Liquids,2055,1122.48
India,trn_freight,Freight Rail,Liquids,2060,1122.48
India,trn_freight,Freight Rail,Liquids,2065,1122.48
India,trn_freight,Freight Rail,Liquids,2070,1122.48
India,trn_freight,Freight Rail,Liquids,2075,1122.48
