# File: A54.india_state_StubTranTechCost.csv
# Title: Non-energy sub technology transport cost at state level
# Units: 1990$/vkm
# Column types: ccccnnnnnnnnnnnnnnnnnnn
# ----------
region,supplysector,tranSubsector,stub.technology,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AN,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.044991459,0.046294937,0.047636178,0.049016277,0.05043778,0.051901927,0.053409999,0.054963313,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227
AP,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.047673153,0.049057086,0.050481195,0.051946645,0.053456058,0.055010754,0.05661209,0.058261467,0.059960325,0.059960325,0.059960325,0.059960325,0.059960325,0.059960325,0.059960325,0.059960325,0.059960325,0.059960325,0.059960325
AR,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.045899109,0.047229818,0.048599107,0.050008094,0.051459351,0.052954145,0.054493784,0.056079611,0.057713014,0.057713014,0.057713014,0.057713014,0.057713014,0.057713014,0.057713014,0.057713014,0.057713014,0.057713014,0.057713014
AS,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.046229164,0.047569775,0.048949263,0.050368755,0.051830831,0.05333677,0.054887887,0.056485538,0.058131118,0.058131118,0.058131118,0.058131118,0.058131118,0.058131118,0.058131118,0.058131118,0.058131118,0.058131118,0.058131118
BR,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.046848016,0.048207194,0.049605805,0.051044993,0.052527357,0.054054192,0.055626832,0.057246651,0.058915064,0.058915064,0.058915064,0.058915064,0.058915064,0.058915064,0.058915064,0.058915064,0.058915064,0.058915064,0.058915064
CG,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.045610311,0.046932356,0.04829272,0.049692516,0.051134306,0.052619349,0.054148943,0.055724426,0.057347173,0.057347173,0.057347173,0.057347173,0.057347173,0.057347173,0.057347173,0.057347173,0.057347173,0.057347173,0.057347173
CH,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.045197743,0.04650741,0.047855026,0.04924169,0.050669955,0.052141068,0.053656314,0.055217017,0.056824542,0.056824542,0.056824542,0.056824542,0.056824542,0.056824542,0.056824542,0.056824542,0.056824542,0.056824542,0.056824542
DD,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.044991459,0.046294937,0.047636178,0.049016277,0.05043778,0.051901927,0.053409999,0.054963313,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227
DL,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.048704573,0.050119451,0.051575432,0.053073709,0.054616934,0.056206456,0.057843664,0.059529988,0.061266902,0.061266902,0.061266902,0.061266902,0.061266902,0.061266902,0.061266902,0.061266902,0.061266902,0.061266902,0.061266902
DN,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.044991459,0.046294937,0.047636178,0.049016277,0.05043778,0.051901927,0.053409999,0.054963313,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227
GA,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.047260584,0.04863214,0.0500435,0.051495819,0.052991707,0.054532473,0.056119461,0.057754059,0.059437695,0.059437695,0.059437695,0.059437695,0.059437695,0.059437695,0.059437695,0.059437695,0.059437695,0.059437695,0.059437695
GJ,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.046435448,0.047782248,0.04916811,0.050594167,0.052063007,0.053575911,0.055134202,0.056739242,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434
HP,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.045610311,0.046932356,0.04829272,0.049692516,0.051134306,0.052619349,0.054148943,0.055724426,0.057347173,0.057347173,0.057347173,0.057347173,0.057347173,0.057347173,0.057347173,0.057347173,0.057347173,0.057347173,0.057347173
HR,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.046435448,0.047782248,0.04916811,0.050594167,0.052063007,0.053575911,0.055134202,0.056739242,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434
JH,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.046848016,0.048207194,0.049605805,0.051044993,0.052527357,0.054054192,0.055626832,0.057246651,0.058915064,0.058915064,0.058915064,0.058915064,0.058915064,0.058915064,0.058915064,0.058915064,0.058915064,0.058915064,0.058915064
JK,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.046435448,0.047782248,0.04916811,0.050594167,0.052063007,0.053575911,0.055134202,0.056739242,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434
KA,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.048910857,0.050331924,0.051794279,0.053299122,0.054849109,0.056445597,0.058089979,0.059783692,0.061528217,0.061528217,0.061528217,0.061528217,0.061528217,0.061528217,0.061528217,0.061528217,0.061528217,0.061528217,0.061528217
KL,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.046435448,0.047782248,0.04916811,0.050594167,0.052063007,0.053575911,0.055134202,0.056739242,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434
LA,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.046435448,0.047782248,0.04916811,0.050594167,0.052063007,0.053575911,0.055134202,0.056739242,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434,0.058392434
LD,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.044991459,0.046294937,0.047636178,0.049016277,0.05043778,0.051901927,0.053409999,0.054963313,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227
MH,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.046848016,0.048207194,0.049605805,0.051044993,0.052527357,0.054054192,0.055626832,0.057246651,0.058915064,0.058915064,0.058915064,0.058915064,0.058915064,0.058915064,0.058915064,0.058915064,0.058915064,0.058915064,0.058915064
ML,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.045404027,0.046719883,0.048073873,0.049467103,0.05090213,0.052380208,0.053902629,0.055470722,0.057085857,0.057085857,0.057085857,0.057085857,0.057085857,0.057085857,0.057085857,0.057085857,0.057085857,0.057085857,0.057085857
MN,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.045610311,0.046932356,0.04829272,0.049692516,0.051134306,0.052619349,0.054148943,0.055724426,0.057347173,0.057347173,0.057347173,0.057347173,0.057347173,0.057347173,0.057347173,0.057347173,0.057347173,0.057347173,0.057347173
MP,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.044991459,0.046294937,0.047636178,0.049016277,0.05043778,0.051901927,0.053409999,0.054963313,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227
MZ,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.044908946,0.046209947,0.047548639,0.048926112,0.05034491,0.051806271,0.053311473,0.054861832,0.056458701,0.056458701,0.056458701,0.056458701,0.056458701,0.056458701,0.056458701,0.056458701,0.056458701,0.056458701,0.056458701
NL,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.045816596,0.047144829,0.048511568,0.049917929,0.051366481,0.052858489,0.054395258,0.05597813,0.057608488,0.057608488,0.057608488,0.057608488,0.057608488,0.057608488,0.057608488,0.057608488,0.057608488,0.057608488,0.057608488
OD,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.04602288,0.047357302,0.048730415,0.050143342,0.051598656,0.05309763,0.054641573,0.056231834,0.057869803,0.057869803,0.057869803,0.057869803,0.057869803,0.057869803,0.057869803,0.057869803,0.057869803,0.057869803,0.057869803
PB,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.045197743,0.04650741,0.047855026,0.04924169,0.050669955,0.052141068,0.053656314,0.055217017,0.056824542,0.056824542,0.056824542,0.056824542,0.056824542,0.056824542,0.056824542,0.056824542,0.056824542,0.056824542,0.056824542
PC,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.044991459,0.046294937,0.047636178,0.049016277,0.05043778,0.051901927,0.053409999,0.054963313,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227,0.056563227
RJ,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.045610311,0.046932356,0.04829272,0.049692516,0.051134306,0.052619349,0.054148943,0.055724426,0.057347173,0.057347173,0.057347173,0.057347173,0.057347173,0.057347173,0.057347173,0.057347173,0.057347173,0.057347173,0.057347173
SK,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.045816596,0.047144829,0.048511568,0.049917929,0.051366481,0.052858489,0.054395258,0.05597813,0.057608488,0.057608488,0.057608488,0.057608488,0.057608488,0.057608488,0.057608488,0.057608488,0.057608488,0.057608488,0.057608488
TN,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.045816596,0.047144829,0.048511568,0.049917929,0.051366481,0.052858489,0.054395258,0.05597813,0.057608488,0.057608488,0.057608488,0.057608488,0.057608488,0.057608488,0.057608488,0.057608488,0.057608488,0.057608488,0.057608488
TR,trn_pass_road_LDV_2W,LDV_2W,Liquids,0.045445284,0.046762377,0.048117642,0.049512186,0.050948565,0.052428036,0.053951892,0.055521462,0.05713812,0.05713812,0.05713812,0.05713812,0.05713812,0.05713812,0.05713812,0.05713812,0.05713812,0.05713812,0.05713812
