# File: A54.india_tranSubsectorLogit.csv
# Title: Transport subsector logit
# Units: Unitless
# Column types: cccinc
# ----------
region,supplysector,tranSubsector,logit.year.fillout,logit.exponent,logit.type
India,trn_aviation_intl,Air International,1975,-6,absolute-cost-logit
India,trn_freight,Ship Domestic,1975,-6,absolute-cost-logit
India,trn_freight,Freight Rail,1975,-1,absolute-cost-logit
India,trn_freight,road,1975,-6,absolute-cost-logit
India,trn_freight_road,Truck,1975,-8,absolute-cost-logit
India,trn_pass,Cycle,1975,-6,absolute-cost-logit
India,trn_pass,Air Domestic,1975,-6,absolute-cost-logit
India,trn_pass,HSR,1975,-6,absolute-cost-logit
India,trn_pass,Passenger Rail,1975,-1,absolute-cost-logit
India,trn_pass,Walk,1975,-6,absolute-cost-logit
India,trn_pass,road,1975,-6,absolute-cost-logit
India,trn_pass_road,LDV,1975,-6,absolute-cost-logit
India,trn_pass_road,Bus,1975,-3,absolute-cost-logit
India,trn_pass_road_LDV,LDV_3W,1975,-8,absolute-cost-logit
India,trn_pass_road_LDV,4W,1975,-6,absolute-cost-logit
India,trn_pass_road_LDV,2W,1975,-6,absolute-cost-logit
India,trn_pass_road_LDV_4W,LDV_4W,1975,-8,absolute-cost-logit
India,trn_pass_road_LDV_2W,LDV_2W,1975,-8,absolute-cost-logit
India,trn_shipping_intl,Ship International,1975,-6,absolute-cost-logit
