# File: A54.india_tranSubsectorSpeed_noVOTT.csv
# Title: No Value of time travelled
# Units: kmph
# Column types: cccin
# ----------
region,supplysector,tranSubsector,year,speed
India,trn_pass,road,1975,1
India,trn_pass,road,1990,1
India,trn_pass,road,2005,1
India,trn_pass,road,2010,1
India,trn_pass,road,2015,1
India,trn_pass,road,2020,1
India,trn_pass,road,2025,1
India,trn_pass,road,2030,1
India,trn_pass,road,2035,1
India,trn_pass,road,2040,1
India,trn_pass,road,2045,1
India,trn_pass,road,2050,1
India,trn_pass,road,2055,1
India,trn_pass,road,2060,1
India,trn_pass,road,2065,1
India,trn_pass,road,2070,1
India,trn_pass,road,2075,1
India,trn_pass,road,2080,1
India,trn_pass,road,2085,1
India,trn_pass,road,2090,1
India,trn_pass,road,2095,1
India,trn_pass,road,2100,1
India,trn_pass_road,LDV,1975,1
India,trn_pass_road,LDV,1990,1
India,trn_pass_road,LDV,2005,1
India,trn_pass_road,LDV,2010,1
India,trn_pass_road,LDV,2015,1
India,trn_pass_road,LDV,2020,1
India,trn_pass_road,LDV,2025,1
India,trn_pass_road,LDV,2030,1
India,trn_pass_road,LDV,2035,1
India,trn_pass_road,LDV,2040,1
India,trn_pass_road,LDV,2045,1
India,trn_pass_road,LDV,2050,1
India,trn_pass_road,LDV,2055,1
India,trn_pass_road,LDV,2060,1
India,trn_pass_road,LDV,2065,1
India,trn_pass_road,LDV,2070,1
India,trn_pass_road,LDV,2075,1
India,trn_pass_road,LDV,2080,1
India,trn_pass_road,LDV,2085,1
India,trn_pass_road,LDV,2090,1
India,trn_pass_road,LDV,2095,1
India,trn_pass_road,LDV,2100,1
India,trn_freight,road,1975,1
India,trn_freight,road,1990,1
India,trn_freight,road,2005,1
India,trn_freight,road,2010,1
India,trn_freight,road,2015,1
India,trn_freight,road,2020,1
India,trn_freight,road,2025,1
India,trn_freight,road,2030,1
India,trn_freight,road,2035,1
India,trn_freight,road,2040,1
India,trn_freight,road,2045,1
India,trn_freight,road,2050,1
India,trn_freight,road,2055,1
India,trn_freight,road,2060,1
India,trn_freight,road,2065,1
India,trn_freight,road,2070,1
India,trn_freight,road,2075,1
India,trn_freight,road,2080,1
India,trn_freight,road,2085,1
India,trn_freight,road,2090,1
India,trn_freight,road,2095,1
India,trn_freight,road,2100,1
