INPUT_TABLE,,,,,,
Variable ID,,,,,,
RegionFuelAdder,,,,,,
,,,,,,
region,supplysector,subsector,technology,year,minicam-non-energy-input,input-cost
AN,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
AP,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
AR,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
AS,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
BR,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
CG,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
CH,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
DD,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
DL,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
DN,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
GA,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
GJ,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
HP,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
HR,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
JH,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
JK,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
KA,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
KL,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
LA,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
LD,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
MH,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
ML,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
MN,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
MP,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
MZ,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
NL,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
OD,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
PB,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
PC,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
RJ,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
SK,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
TN,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
TR,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
TS,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
UK,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
UP,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
WB,comm cooking,electricity,electric cooking,1990,non-energy,0.005804491
AN,comm cooking,gas,gas based cooking,1990,non-energy,-3.85182268
AP,comm cooking,gas,gas based cooking,1990,non-energy,-3.85182268
AR,comm cooking,gas,gas based cooking,1990,non-energy,-3.02774268
AS,comm cooking,gas,gas based cooking,1990,non-energy,-3.02774268
BR,comm cooking,gas,gas based cooking,1990,non-energy,-3.97126268
CG,comm cooking,gas,gas based cooking,1990,non-energy,-3.81811268
CH,comm cooking,gas,gas based cooking,1990,non-energy,-4.082785875
DD,comm cooking,gas,gas based cooking,1990,non-energy,-3.75392775
DL,comm cooking,gas,gas based cooking,1990,non-energy,-3.69256268
DN,comm cooking,gas,gas based cooking,1990,non-energy,-3.81811268
GA,comm cooking,gas,gas based cooking,1990,non-energy,-3.81811268
GJ,comm cooking,gas,gas based cooking,1990,non-energy,-2.633775875
HP,comm cooking,gas,gas based cooking,1990,non-energy,-3.69256268
HR,comm cooking,gas,gas based cooking,1990,non-energy,-3.575428855
JH,comm cooking,gas,gas based cooking,1990,non-energy,-3.97126268
JK,comm cooking,gas,gas based cooking,1990,non-energy,-3.69256268
KA,comm cooking,gas,gas based cooking,1990,non-energy,-3.85182268
KL,comm cooking,gas,gas based cooking,1990,non-energy,-3.85182268
LA,comm cooking,gas,gas based cooking,1990,non-energy,-3.69256268
LD,comm cooking,gas,gas based cooking,1990,non-energy,-3.85182268
MH,comm cooking,gas,gas based cooking,1990,non-energy,-3.81811268
ML,comm cooking,gas,gas based cooking,1990,non-energy,-3.02774268
MN,comm cooking,gas,gas based cooking,1990,non-energy,-3.02774268
MP,comm cooking,gas,gas based cooking,1990,non-energy,-3.81811268
MZ,comm cooking,gas,gas based cooking,1990,non-energy,-3.02774268
NL,comm cooking,gas,gas based cooking,1990,non-energy,-3.02774268
OD,comm cooking,gas,gas based cooking,1990,non-energy,-3.97126268
PB,comm cooking,gas,gas based cooking,1990,non-energy,-4.156459785
PC,comm cooking,gas,gas based cooking,1990,non-energy,-3.85182268
RJ,comm cooking,gas,gas based cooking,1990,non-energy,-3.69256268
SK,comm cooking,gas,gas based cooking,1990,non-energy,-3.97126268
TN,comm cooking,gas,gas based cooking,1990,non-energy,-3.85182268
TR,comm cooking,gas,gas based cooking,1990,non-energy,-3.02774268
TS,comm cooking,gas,gas based cooking,1990,non-energy,-3.85182268
UK,comm cooking,gas,gas based cooking,1990,non-energy,-4.277400798
UP,comm cooking,gas,gas based cooking,1990,non-energy,-3.619259826
WB,comm cooking,gas,gas based cooking,1990,non-energy,-3.97126268
AN,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-1.676071258
AP,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-2.104658956
AR,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-2.311634515
AS,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-2.402501165
BR,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-2.3016112
CG,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-2.044522294
CH,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-2.567170005
DD,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-2.498855543
DL,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-2.61260333
DN,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-2.498855543
GA,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-2.345896682
GJ,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-2.229284482
HP,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-2.356662266
HR,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-2.443288472
JH,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-2.493945609
JK,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-1.920502347
KA,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-2.334854469
KL,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-2.480241109
LA,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-1.160251378
LD,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-2.480241109
MH,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-2.607895522
ML,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-2.30254785
MN,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-1.780064614
MP,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-2.401931116
MZ,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-1.780064614
NL,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-2.622095568
OD,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-2.496974497
PB,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-2.389980038
PC,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-2.144034505
RJ,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-2.579285558
SK,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-1.776099076
TN,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-2.141005616
TR,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-1.693741296
TS,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-2.036508969
UK,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-2.515678903
UP,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-2.35817671
WB,comm cooking,refined liquids,refined liquids based cooking,1990,non-energy,-2.631760028
AN,comm hvac,electricity,heating-cooling appl,1990,non-energy,0.211640212
AP,comm hvac,electricity,heating-cooling appl,1990,non-energy,0.211640212
AR,comm hvac,electricity,heating-cooling appl,1990,non-energy,0.211640212
AS,comm hvac,electricity,heating-cooling appl,1990,non-energy,0.211640212
BR,comm hvac,electricity,heating-cooling appl,1990,non-energy,0.211640212
CG,comm hvac,electricity,heating-cooling appl,1990,non-energy,0.211640212
CH,comm hvac,electricity,heating-cooling appl,1990,non-energy,0.211640212
DD,comm hvac,electricity,heating-cooling appl,1990,non-energy,0.211640212
DL,comm hvac,electricity,heating-cooling appl,1990,non-energy,0.211640212
DN,comm hvac,electricity,heating-cooling appl,1990,non-energy,0.211640212
GA,comm hvac,electricity,heating-cooling appl,1990,non-energy,0.211640212
GJ,comm hvac,electricity,heating-cooling appl,1990,non-energy,0.211640212
HP,comm hvac,electricity,heating-cooling appl,1990,non-energy,0.211640212
HR,comm hvac,electricity,heating-cooling appl,1990,non-energy,0.211640212
JH,comm hvac,electricity,heating-cooling appl,1990,non-energy,0.211640212
JK,comm hvac,electricity,heating-cooling appl,1990,non-energy,0.211640212
KA,comm hvac,electricity,heating-cooling appl,1990,non-energy,0.211640212
KL,comm hvac,electricity,heating-cooling appl,1990,non-energy,0.211640212
LA,comm hvac,electricity,heating-cooling appl,1990,non-energy,0.211640212
LD,comm hvac,electricity,heating-cooling appl,1990,non-energy,0.211640212
MH,comm hvac,electricity,heating-cooling appl,1990,non-energy,0.211640212
ML,comm hvac,electricity,heating-cooling appl,1990,non-energy,0.211640212
MN,comm hvac,electricity,heating-cooling appl,1990,non-energy,0.211640212
MP,comm hvac,electricity,heating-cooling appl,1990,non-energy,0.211640212
MZ,comm hvac,electricity,heating-cooling appl,1990,non-energy,0.211640212
NL,comm hvac,electricity,heating-cooling appl,1990,non-energy,0.211640212
OD,comm hvac,electricity,heating-cooling appl,1990,non-energy,0.211640212
PB,comm hvac,electricity,heating-cooling appl,1990,non-energy,0.211640212
PC,comm hvac,electricity,heating-cooling appl,1990,non-energy,0.211640212
RJ,comm hvac,electricity,heating-cooling appl,1990,non-energy,0.211640212
SK,comm hvac,electricity,heating-cooling appl,1990,non-energy,0.211640212
