INPUT_TABLE,,,,,
Variable ID,,,,,
BldExoFlrSpc,,,,,
,,,,,
region,gcam-consumer,nodeInput,building-node-input,year,base-building-size
TN,resid urban,resid urban,resid urban_building,2015,0.45
TN,resid urban,resid urban,resid urban_building,2020,0.53
TN,resid urban,resid urban,resid urban_building,2025,0.61
TN,resid urban,resid urban,resid urban_building,2030,0.71
TN,resid urban,resid urban,resid urban_building,2035,0.83
TN,resid urban,resid urban,resid urban_building,2040,0.96
TN,resid urban,resid urban,resid urban_building,2045,1.12
TN,resid urban,resid urban,resid urban_building,2050,1.3
TN,resid urban,resid urban,resid urban_building,2055,1.3
TN,resid urban,resid urban,resid urban_building,2060,1.3
TN,resid urban,resid urban,resid urban_building,2065,1.3
TN,resid urban,resid urban,resid urban_building,2070,1.3
TN,resid urban,resid urban,resid urban_building,2075,1.3
TN,resid urban,resid urban,resid urban_building,2080,1.3
TN,resid urban,resid urban,resid urban_building,2085,1.3
TN,resid urban,resid urban,resid urban_building,2090,1.3
TN,resid urban,resid urban,resid urban_building,2095,1.3
TN,resid urban,resid urban,resid urban_building,2100,1.3
