INPUT_TABLE,,,,,,
Variable ID,,,,,,
RegionTechEff,,,,,,
,,,,,,
Region,supplysector,subsector,technology,year,minicam.energy.input,efficiency
AN,comm cooking,electricity,electric cooking,2015,elect_td_com,0.74
AN,comm cooking,electricity,electric cooking,2020,elect_td_com,0.74
AN,comm cooking,electricity,electric cooking,2025,elect_td_com,0.74
AN,comm cooking,electricity,electric cooking,2030,elect_td_com,0.74
AN,comm cooking,electricity,electric cooking,2035,elect_td_com,0.74
AN,comm cooking,electricity,electric cooking,2040,elect_td_com,0.74
AN,comm cooking,electricity,electric cooking,2045,elect_td_com,0.74
AN,comm cooking,electricity,electric cooking,2050,elect_td_com,0.74
AN,comm cooking,electricity,electric cooking,2055,elect_td_com,0.74
AN,comm cooking,electricity,electric cooking,2060,elect_td_com,0.74
AN,comm cooking,electricity,electric cooking,2065,elect_td_com,0.74
AN,comm cooking,electricity,electric cooking,2070,elect_td_com,0.74
AN,comm cooking,electricity,electric cooking,2075,elect_td_com,0.74
AN,comm cooking,electricity,electric cooking,2080,elect_td_com,0.74
AN,comm cooking,electricity,electric cooking,2085,elect_td_com,0.74
AN,comm cooking,electricity,electric cooking,2090,elect_td_com,0.74
AN,comm cooking,electricity,electric cooking,2095,elect_td_com,0.74
AN,comm cooking,electricity,electric cooking,2100,elect_td_com,0.74
AP,comm cooking,electricity,electric cooking,2015,elect_td_com,0.74
AP,comm cooking,electricity,electric cooking,2020,elect_td_com,0.74
AP,comm cooking,electricity,electric cooking,2025,elect_td_com,0.74
AP,comm cooking,electricity,electric cooking,2030,elect_td_com,0.74
AP,comm cooking,electricity,electric cooking,2035,elect_td_com,0.74
AP,comm cooking,electricity,electric cooking,2040,elect_td_com,0.74
AP,comm cooking,electricity,electric cooking,2045,elect_td_com,0.74
AP,comm cooking,electricity,electric cooking,2050,elect_td_com,0.74
AP,comm cooking,electricity,electric cooking,2055,elect_td_com,0.74
AP,comm cooking,electricity,electric cooking,2060,elect_td_com,0.74
AP,comm cooking,electricity,electric cooking,2065,elect_td_com,0.74
AP,comm cooking,electricity,electric cooking,2070,elect_td_com,0.74
AP,comm cooking,electricity,electric cooking,2075,elect_td_com,0.74
AP,comm cooking,electricity,electric cooking,2080,elect_td_com,0.74
AP,comm cooking,electricity,electric cooking,2085,elect_td_com,0.74
AP,comm cooking,electricity,electric cooking,2090,elect_td_com,0.74
AP,comm cooking,electricity,electric cooking,2095,elect_td_com,0.74
AP,comm cooking,electricity,electric cooking,2100,elect_td_com,0.74
AR,comm cooking,electricity,electric cooking,2015,elect_td_com,0.74
AR,comm cooking,electricity,electric cooking,2020,elect_td_com,0.74
AR,comm cooking,electricity,electric cooking,2025,elect_td_com,0.74
AR,comm cooking,electricity,electric cooking,2030,elect_td_com,0.74
AR,comm cooking,electricity,electric cooking,2035,elect_td_com,0.74
AR,comm cooking,electricity,electric cooking,2040,elect_td_com,0.74
AR,comm cooking,electricity,electric cooking,2045,elect_td_com,0.74
AR,comm cooking,electricity,electric cooking,2050,elect_td_com,0.74
AR,comm cooking,electricity,electric cooking,2055,elect_td_com,0.74
AR,comm cooking,electricity,electric cooking,2060,elect_td_com,0.74
AR,comm cooking,electricity,electric cooking,2065,elect_td_com,0.74
AR,comm cooking,electricity,electric cooking,2070,elect_td_com,0.74
AR,comm cooking,electricity,electric cooking,2075,elect_td_com,0.74
AR,comm cooking,electricity,electric cooking,2080,elect_td_com,0.74
AR,comm cooking,electricity,electric cooking,2085,elect_td_com,0.74
AR,comm cooking,electricity,electric cooking,2090,elect_td_com,0.74
AR,comm cooking,electricity,electric cooking,2095,elect_td_com,0.74
AR,comm cooking,electricity,electric cooking,2100,elect_td_com,0.74
AS,comm cooking,electricity,electric cooking,2015,elect_td_com,0.74
AS,comm cooking,electricity,electric cooking,2020,elect_td_com,0.74
AS,comm cooking,electricity,electric cooking,2025,elect_td_com,0.74
AS,comm cooking,electricity,electric cooking,2030,elect_td_com,0.74
AS,comm cooking,electricity,electric cooking,2035,elect_td_com,0.74
AS,comm cooking,electricity,electric cooking,2040,elect_td_com,0.74
AS,comm cooking,electricity,electric cooking,2045,elect_td_com,0.74
AS,comm cooking,electricity,electric cooking,2050,elect_td_com,0.74
AS,comm cooking,electricity,electric cooking,2055,elect_td_com,0.74
AS,comm cooking,electricity,electric cooking,2060,elect_td_com,0.74
AS,comm cooking,electricity,electric cooking,2065,elect_td_com,0.74
AS,comm cooking,electricity,electric cooking,2070,elect_td_com,0.74
AS,comm cooking,electricity,electric cooking,2075,elect_td_com,0.74
AS,comm cooking,electricity,electric cooking,2080,elect_td_com,0.74
AS,comm cooking,electricity,electric cooking,2085,elect_td_com,0.74
AS,comm cooking,electricity,electric cooking,2090,elect_td_com,0.74
AS,comm cooking,electricity,electric cooking,2095,elect_td_com,0.74
AS,comm cooking,electricity,electric cooking,2100,elect_td_com,0.74
BR,comm cooking,electricity,electric cooking,2015,elect_td_com,0.74
BR,comm cooking,electricity,electric cooking,2020,elect_td_com,0.74
BR,comm cooking,electricity,electric cooking,2025,elect_td_com,0.74
BR,comm cooking,electricity,electric cooking,2030,elect_td_com,0.74
BR,comm cooking,electricity,electric cooking,2035,elect_td_com,0.74
BR,comm cooking,electricity,electric cooking,2040,elect_td_com,0.74
BR,comm cooking,electricity,electric cooking,2045,elect_td_com,0.74
BR,comm cooking,electricity,electric cooking,2050,elect_td_com,0.74
BR,comm cooking,electricity,electric cooking,2055,elect_td_com,0.74
BR,comm cooking,electricity,electric cooking,2060,elect_td_com,0.74
BR,comm cooking,electricity,electric cooking,2065,elect_td_com,0.74
BR,comm cooking,electricity,electric cooking,2070,elect_td_com,0.74
BR,comm cooking,electricity,electric cooking,2075,elect_td_com,0.74
BR,comm cooking,electricity,electric cooking,2080,elect_td_com,0.74
BR,comm cooking,electricity,electric cooking,2085,elect_td_com,0.74
BR,comm cooking,electricity,electric cooking,2090,elect_td_com,0.74
BR,comm cooking,electricity,electric cooking,2095,elect_td_com,0.74
BR,comm cooking,electricity,electric cooking,2100,elect_td_com,0.74
CG,comm cooking,electricity,electric cooking,2015,elect_td_com,0.74
CG,comm cooking,electricity,electric cooking,2020,elect_td_com,0.74
CG,comm cooking,electricity,electric cooking,2025,elect_td_com,0.74
CG,comm cooking,electricity,electric cooking,2030,elect_td_com,0.74
CG,comm cooking,electricity,electric cooking,2035,elect_td_com,0.74
CG,comm cooking,electricity,electric cooking,2040,elect_td_com,0.74
CG,comm cooking,electricity,electric cooking,2045,elect_td_com,0.74
CG,comm cooking,electricity,electric cooking,2050,elect_td_com,0.74
CG,comm cooking,electricity,electric cooking,2055,elect_td_com,0.74
CG,comm cooking,electricity,electric cooking,2060,elect_td_com,0.74
CG,comm cooking,electricity,electric cooking,2065,elect_td_com,0.74
CG,comm cooking,electricity,electric cooking,2070,elect_td_com,0.74
