INPUT_TABLE,,,,,,
Variable ID,,,,,,
RegionFuelAdder,,,,,,
,,,,,,
region,supplysector,subsector,technology,year,minicam-non-energy-input,input-cost
AN,elect_td_com,elect_td_com,elect_td_com,2010,tax,-4.834289988
AP,elect_td_com,elect_td_com,elect_td_com,2010,tax,-1.733697136
AR,elect_td_com,elect_td_com,elect_td_com,2010,tax,-10.05753161
AS,elect_td_com,elect_td_com,elect_td_com,2010,tax,-7.10840608
BR,elect_td_com,elect_td_com,elect_td_com,2010,tax,-0.722211164
CG,elect_td_com,elect_td_com,elect_td_com,2010,tax,-4.96773535
CH,elect_td_com,elect_td_com,elect_td_com,2010,tax,-3.403326976
DD,elect_td_com,elect_td_com,elect_td_com,2010,tax,-6.345047094
DL,elect_td_com,elect_td_com,elect_td_com,2010,tax,2.318754788
DN,elect_td_com,elect_td_com,elect_td_com,2010,tax,-6.345052718
GA,elect_td_com,elect_td_com,elect_td_com,2010,tax,-8.438755408
GJ,elect_td_com,elect_td_com,elect_td_com,2010,tax,-7.710575388
HP,elect_td_com,elect_td_com,elect_td_com,2010,tax,-4.732440832
HR,elect_td_com,elect_td_com,elect_td_com,2010,tax,-2.766410474
JH,elect_td_com,elect_td_com,elect_td_com,2010,tax,0.139468688
JK,elect_td_com,elect_td_com,elect_td_com,2010,tax,-7.705829448
KA,elect_td_com,elect_td_com,elect_td_com,2010,tax,-2.571105772
KL,elect_td_com,elect_td_com,elect_td_com,2010,tax,-2.170608418
LA,elect_td_com,elect_td_com,elect_td_com,2010,tax,-3.403327508
LD,elect_td_com,elect_td_com,elect_td_com,2010,tax,-4.834292286
MH,elect_td_com,elect_td_com,elect_td_com,2010,tax,-1.957929042
ML,elect_td_com,elect_td_com,elect_td_com,2010,tax,-7.059912874
MN,elect_td_com,elect_td_com,elect_td_com,2010,tax,-11.73234494
MP,elect_td_com,elect_td_com,elect_td_com,2010,tax,-6.861040888
MZ,elect_td_com,elect_td_com,elect_td_com,2010,tax,-10.27598969
NL,elect_td_com,elect_td_com,elect_td_com,2010,tax,-13.98969154
OD,elect_td_com,elect_td_com,elect_td_com,2010,tax,-0.977076404
PB,elect_td_com,elect_td_com,elect_td_com,2010,tax,-3.166898672
PC,elect_td_com,elect_td_com,elect_td_com,2010,tax,-6.624592048
RJ,elect_td_com,elect_td_com,elect_td_com,2010,tax,-3.130481296
SK,elect_td_com,elect_td_com,elect_td_com,2010,tax,-2.858207032
TN,elect_td_com,elect_td_com,elect_td_com,2010,tax,-2.30410567
TR,elect_td_com,elect_td_com,elect_td_com,2010,tax,-8.43127618
TS,elect_td_com,elect_td_com,elect_td_com,2010,tax,-1.102624066
UK,elect_td_com,elect_td_com,elect_td_com,2010,tax,-5.37566426
UP,elect_td_com,elect_td_com,elect_td_com,2010,tax,-2.60856734
WB,elect_td_com,elect_td_com,elect_td_com,2010,tax,0.721958422
AN,elect_td_com,elect_td_com,elect_td_com,2015,tax,-0.869717588
AP,elect_td_com,elect_td_com,elect_td_com,2015,tax,2.083289682
AR,elect_td_com,elect_td_com,elect_td_com,2015,tax,-7.957572282
AS,elect_td_com,elect_td_com,elect_td_com,2015,tax,-5.148910766
BR,elect_td_com,elect_td_com,elect_td_com,2015,tax,-0.349662688
CG,elect_td_com,elect_td_com,elect_td_com,2015,tax,-2.39249927
CH,elect_td_com,elect_td_com,elect_td_com,2015,tax,-6.226317588
DD,elect_td_com,elect_td_com,elect_td_com,2015,tax,-3.704177588
DL,elect_td_com,elect_td_com,elect_td_com,2015,tax,-0.776720078
DN,elect_td_com,elect_td_com,elect_td_com,2015,tax,-3.704177588
GA,elect_td_com,elect_td_com,elect_td_com,2015,tax,-5.698165048
GJ,elect_td_com,elect_td_com,elect_td_com,2015,tax,-5.00468887
HP,elect_td_com,elect_td_com,elect_td_com,2015,tax,-7.492182062
HR,elect_td_com,elect_td_com,elect_td_com,2015,tax,-5.619764382
JH,elect_td_com,elect_td_com,elect_td_com,2015,tax,0.47093179
JK,elect_td_com,elect_td_com,elect_td_com,2015,tax,-10.32398145
KA,elect_td_com,elect_td_com,elect_td_com,2015,tax,1.285733078
KL,elect_td_com,elect_td_com,elect_td_com,2015,tax,1.667187978
LA,elect_td_com,elect_td_com,elect_td_com,2015,tax,-6.226317588
LD,elect_td_com,elect_td_com,elect_td_com,2015,tax,-0.869717588
MH,elect_td_com,elect_td_com,elect_td_com,2015,tax,0.47404693
ML,elect_td_com,elect_td_com,elect_td_com,2015,tax,-5.10264502
MN,elect_td_com,elect_td_com,elect_td_com,2015,tax,-9.55262549
MP,elect_td_com,elect_td_com,elect_td_com,2015,tax,-4.19561333
MZ,elect_td_com,elect_td_com,elect_td_com,2015,tax,-8.165623136
NL,elect_td_com,elect_td_com,elect_td_com,2015,tax,-11.70247764
OD,elect_td_com,elect_td_com,elect_td_com,2015,tax,-0.59241035
PB,elect_td_com,elect_td_com,elect_td_com,2015,tax,-6.00111928
PC,elect_td_com,elect_td_com,elect_td_com,2015,tax,-2.57476164
RJ,elect_td_com,elect_td_com,elect_td_com,2015,tax,-5.96647247
SK,elect_td_com,elect_td_com,elect_td_com,2015,tax,-2.383975474
TN,elect_td_com,elect_td_com,elect_td_com,2015,tax,1.539999678
TR,elect_td_com,elect_td_com,elect_td_com,2015,tax,-6.40873482
TS,elect_td_com,elect_td_com,elect_td_com,2015,tax,2.68425437
UK,elect_td_com,elect_td_com,elect_td_com,2015,tax,-8.104765684
UP,elect_td_com,elect_td_com,elect_td_com,2015,tax,-5.46944821
WB,elect_td_com,elect_td_com,elect_td_com,2015,tax,1.02573073
AN,elect_td_com,elect_td_com,elect_td_com,2020,tax,-0.319739748
AP,elect_td_com,elect_td_com,elect_td_com,2020,tax,2.54988339
