INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
IndiaIndusSharewt,,,,,,,,
,,,,,,,,
region,supplysector,subsector,apply.to,from.year,to.year,from.value,to-value,interpolation.function
AN,comm others,biomass,share-weight,2010,2015,0.00012181,0.00012181,fixed
AP,comm others,biomass,share-weight,2010,2015,0.05,0.05,fixed
AR,comm others,biomass,share-weight,2010,2015,0.07343,0.07343,fixed
AS,comm others,biomass,share-weight,2010,2015,0.05,0.05,fixed
BR,comm others,biomass,share-weight,2010,2015,0.03611855,0.03611855,fixed
CG,comm others,biomass,share-weight,2010,2015,0.0683,0.0683,fixed
CH,comm others,biomass,share-weight,2010,2015,0.001109245,0.001109245,fixed
DD,comm others,biomass,share-weight,2010,2015,3.05E-05,3.05E-05,fixed
DL,comm others,biomass,share-weight,2010,2015,4.05E-06,4.05E-06,fixed
DN,comm others,biomass,share-weight,2010,2015,0.00023801,0.00023801,fixed
GA,comm others,biomass,share-weight,2010,2015,0.000246337,0.000246337,fixed
GJ,comm others,biomass,share-weight,2010,2015,0.1182345,0.1182345,fixed
HP,comm others,biomass,share-weight,2010,2015,0.05,0.05,fixed
HR,comm others,biomass,share-weight,2010,2015,0.00058922,0.00058922,fixed
JH,comm others,biomass,share-weight,2010,2015,0.00703925,0.00703925,fixed
JK,comm others,biomass,share-weight,2010,2015,0.0697715,0.0697715,fixed
KA,comm others,biomass,share-weight,2010,2015,0.05,0.05,fixed
KL,comm others,biomass,share-weight,2010,2015,0.05,0.05,fixed
LA,comm others,biomass,share-weight,2010,2015,0.1009625,0.1009625,fixed
LD,comm others,biomass,share-weight,2010,2015,0.000363917,0.000363917,fixed
MH,comm others,biomass,share-weight,2010,2015,0.05,0.05,fixed
ML,comm others,biomass,share-weight,2010,2015,4.47E-05,4.47E-05,fixed
MN,comm others,biomass,share-weight,2010,2015,0.0358433,0.0358433,fixed
MP,comm others,biomass,share-weight,2010,2015,0.05,0.05,fixed
MZ,comm others,biomass,share-weight,2010,2015,0.05,0.05,fixed
NL,comm others,biomass,share-weight,2010,2015,0.05,0.05,fixed
OD,comm others,biomass,share-weight,2010,2015,0.1073715,0.1073715,fixed
PB,comm others,biomass,share-weight,2010,2015,0.05,0.05,fixed
PC,comm others,biomass,share-weight,2010,2015,0.00767785,0.00767785,fixed
RJ,comm others,biomass,share-weight,2010,2015,0.05,0.05,fixed
SK,comm others,biomass,share-weight,2010,2015,0.000622475,0.000622475,fixed
TN,comm others,biomass,share-weight,2010,2015,0.05,0.05,fixed
TR,comm others,biomass,share-weight,2010,2015,0.05,0.05,fixed
TS,comm others,biomass,share-weight,2010,2015,0,0,fixed
UK,comm others,biomass,share-weight,2010,2015,0.05,0.05,fixed
UP,comm others,biomass,share-weight,2010,2015,0.05,0.05,fixed
WB,comm others,biomass,share-weight,2010,2015,0.0121291,0.0121291,fixed
AN,comm others,biomass,share-weight,2010,2050,0.000012181,0,linear
AP,comm others,biomass,share-weight,2010,2050,0.005,0,linear
AR,comm others,biomass,share-weight,2010,2050,0.007343,0,linear
AS,comm others,biomass,share-weight,2010,2050,0.005,0,linear
BR,comm others,biomass,share-weight,2010,2050,0.003611855,0,linear
CG,comm others,biomass,share-weight,2010,2050,0.00683,0,linear
CH,comm others,biomass,share-weight,2010,2050,0.000110925,0,linear
DD,comm others,biomass,share-weight,2010,2050,3.05E-06,0,linear
DL,comm others,biomass,share-weight,2010,2050,4.05E-07,0,linear
DN,comm others,biomass,share-weight,2010,2050,0.000023801,0,linear
GA,comm others,biomass,share-weight,2010,2050,2.46E-05,0,linear
GJ,comm others,biomass,share-weight,2010,2050,0.01182345,0,linear
HP,comm others,biomass,share-weight,2010,2050,0.005,0,linear
HR,comm others,biomass,share-weight,2010,2050,0.000058922,0,linear
JH,comm others,biomass,share-weight,2010,2050,0.000703925,0,linear
JK,comm others,biomass,share-weight,2010,2050,0.00697715,0,linear
KA,comm others,biomass,share-weight,2010,2050,0.005,0,linear
KL,comm others,biomass,share-weight,2010,2050,0.005,0,linear
LA,comm others,biomass,share-weight,2010,2050,0.01009625,0,linear
LD,comm others,biomass,share-weight,2010,2050,3.64E-05,0,linear
MH,comm others,biomass,share-weight,2010,2050,0.005,0,linear
ML,comm others,biomass,share-weight,2010,2050,4.47E-06,0,linear
MN,comm others,biomass,share-weight,2010,2050,0.00358433,0,linear
MP,comm others,biomass,share-weight,2010,2050,0.005,0,linear
MZ,comm others,biomass,share-weight,2010,2050,0.005,0,linear
NL,comm others,biomass,share-weight,2010,2050,0.005,0,linear
OD,comm others,biomass,share-weight,2010,2050,0.01073715,0,linear
PB,comm others,biomass,share-weight,2010,2050,0.005,0,linear
PC,comm others,biomass,share-weight,2010,2050,0.000767785,0,linear
RJ,comm others,biomass,share-weight,2010,2050,0.005,0,linear
SK,comm others,biomass,share-weight,2010,2050,6.22E-05,0,linear
TN,comm others,biomass,share-weight,2010,2050,0.005,0,linear
TR,comm others,biomass,share-weight,2010,2050,0.005,0,linear
TS,comm others,biomass,share-weight,2010,2050,0,0,linear
UK,comm others,biomass,share-weight,2010,2050,0.005,0,linear
UP,comm others,biomass,share-weight,2010,2050,0.005,0,linear
WB,comm others,biomass,share-weight,2010,2050,0.00121291,0,linear
AN,comm others,biomass,share-weight,2045,2100,0,0,fixed
AP,comm others,biomass,share-weight,2045,2100,0,0,fixed
AR,comm others,biomass,share-weight,2045,2100,0,0,fixed
AS,comm others,biomass,share-weight,2045,2100,0,0,fixed
BR,comm others,biomass,share-weight,2045,2100,0,0,fixed
CG,comm others,biomass,share-weight,2045,2100,0,0,fixed
CH,comm others,biomass,share-weight,2045,2100,0,0,fixed
DD,comm others,biomass,share-weight,2045,2100,0,0,fixed
DL,comm others,biomass,share-weight,2045,2100,0,0,fixed
DN,comm others,biomass,share-weight,2045,2100,0,0,fixed
GA,comm others,biomass,share-weight,2045,2100,0,0,fixed
GJ,comm others,biomass,share-weight,2045,2100,0,0,fixed
HP,comm others,biomass,share-weight,2045,2100,0,0,fixed
HR,comm others,biomass,share-weight,2045,2100,0,0,fixed
JH,comm others,biomass,share-weight,2045,2100,0,0,fixed
JK,comm others,biomass,share-weight,2045,2100,0,0,fixed
KA,comm others,biomass,share-weight,2045,2100,0,0,fixed
KL,comm others,biomass,share-weight,2045,2100,0,0,fixed
LA,comm others,biomass,share-weight,2045,2100,0,0,fixed
LD,comm others,biomass,share-weight,2045,2100,0,0,fixed
MH,comm others,biomass,share-weight,2045,2100,0,0,fixed
ML,comm others,biomass,share-weight,2045,2100,0,0,fixed
MN,comm others,biomass,share-weight,2045,2100,0,0,fixed
MP,comm others,biomass,share-weight,2045,2100,0,0,fixed
MZ,comm others,biomass,share-weight,2045,2100,0,0,fixed
NL,comm others,biomass,share-weight,2045,2100,0,0,fixed
OD,comm others,biomass,share-weight,2045,2100,0,0,fixed
PB,comm others,biomass,share-weight,2045,2100,0,0,fixed
PC,comm others,biomass,share-weight,2045,2100,0,0,fixed
RJ,comm others,biomass,share-weight,2045,2100,0,0,fixed
SK,comm others,biomass,share-weight,2045,2100,0,0,fixed
TN,comm others,biomass,share-weight,2045,2100,0,0,fixed
TR,comm others,biomass,share-weight,2045,2100,0,0,fixed
TS,comm others,biomass,share-weight,2045,2100,0,0,fixed
UK,comm others,biomass,share-weight,2045,2100,0,0,fixed
UP,comm others,biomass,share-weight,2045,2100,0,0,fixed
WB,comm others,biomass,share-weight,2045,2100,0,0,fixed
AN,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
AP,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
AR,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
AS,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
BR,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
CG,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
CH,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
DD,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
DL,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
DN,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
GA,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
GJ,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
HP,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
HR,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
JH,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
JK,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
KA,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
KL,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
LA,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
LD,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
MH,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
ML,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
MN,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
MP,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
MZ,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
NL,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
OD,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
PB,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
PC,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
RJ,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
SK,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
TN,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
TR,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
TS,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
UK,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
UP,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
WB,resid rural apploth,biomass,share-weight,2010,2015,0,0,fixed
AN,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
AP,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
AR,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
AS,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
BR,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
CG,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
CH,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
DD,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
DL,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
DN,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
GA,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
GJ,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
HP,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
HR,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
JH,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
JK,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
KA,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
KL,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
LA,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
LD,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
MH,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
ML,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
MN,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
MP,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
MZ,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
NL,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
OD,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
PB,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
PC,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
RJ,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
SK,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
TN,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
TR,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
TS,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
UK,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
UP,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
WB,resid rural apploth,biomass,share-weight,2010,2050,0,0,linear
AN,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
AP,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
AR,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
AS,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
BR,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
CG,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
CH,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
DD,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
DL,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
DN,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
GA,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
GJ,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
HP,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
HR,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
JH,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
JK,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
KA,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
KL,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
LA,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
LD,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
MH,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
ML,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
MN,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
MP,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
MZ,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
NL,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
OD,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
PB,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
PC,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
RJ,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
SK,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
TN,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
TR,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
TS,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
UK,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
UP,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
WB,resid rural apploth,biomass,share-weight,2045,2100,0,0,fixed
AN,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
AP,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
AR,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
AS,resid rural cooking,biomass,share-weight,2010,2015,0,0,fixed
