INPUT_TABLE,,,,,,,,,
Variable ID,,,,,,,,,
IndiaBldTechInterp_new,,,,,,,,,
,,,,,,,,,
region,supplysector,subsector,technology,apply.to,from.year,to.year,from.value,to-value,interpolation.function
AN,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
AP,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
AR,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
AS,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
BR,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
CG,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
CH,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
DD,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
DL,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
DN,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
GA,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
GJ,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
HP,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
HR,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
JH,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
JK,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
KA,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
KL,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
LA,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
LD,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
MH,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
ML,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
MN,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
MP,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
MZ,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
NL,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
OD,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
PB,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
RJ,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
SK,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
TN,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
TR,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
TS,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
UK,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
UP,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
WB,resid rural cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
AN,resid urban cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
AP,resid urban cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
AR,resid urban cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
AS,resid urban cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
BR,resid urban cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
CG,resid urban cooling,electricity,air conditioner (hi-eff),share-weight,2010,2020,0,0,fixed
