INPUT_TABLE,,,,,,
Variable ID,,,,,,
RegionGasPriceAdder,,,,,,
,,,,,,
region,supplysector,subsector,technology,year,minicam-non-energy-input,input-cost
AN,Chem_Fert_enuse,gas,gas,2015,non-energy,0.467902373
AN,Food Processing_enuse,gas,gas,2015,non-energy,0.467902373
AN,Iron and Steel_enuse,gas,gas,2015,non-energy,0.467902373
AN,Non-Ferrous Metals_enuse,gas,gas,2015,non-energy,0.467902373
AN,Other Industries_enuse,gas,gas,2015,non-energy,0.467902373
AN,Paper and Pulp_enuse,gas,gas,2015,non-energy,0.467902373
AN,process heat cement,gas,gas,2015,non-energy,0.467902373
AP,Chem_Fert_enuse,gas,gas,2015,non-energy,0.467902373
AP,Food Processing_enuse,gas,gas,2015,non-energy,0.467902373
AP,Iron and Steel_enuse,gas,gas,2015,non-energy,0.467902373
AP,Non-Ferrous Metals_enuse,gas,gas,2015,non-energy,0.467902373
AP,Other Industries_enuse,gas,gas,2015,non-energy,0.467902373
AP,Paper and Pulp_enuse,gas,gas,2015,non-energy,0.467902373
AP,process heat cement,gas,gas,2015,non-energy,0.467902373
AR,Chem_Fert_enuse,gas,gas,2015,non-energy,0.467902373
AR,Food Processing_enuse,gas,gas,2015,non-energy,0.467902373
AR,Iron and Steel_enuse,gas,gas,2015,non-energy,0.467902373
AR,Non-Ferrous Metals_enuse,gas,gas,2015,non-energy,0.467902373
AR,Other Industries_enuse,gas,gas,2015,non-energy,0.467902373
AR,Paper and Pulp_enuse,gas,gas,2015,non-energy,0.467902373
AR,process heat cement,gas,gas,2015,non-energy,0.467902373
AS,Chem_Fert_enuse,gas,gas,2015,non-energy,0.467902373
AS,Food Processing_enuse,gas,gas,2015,non-energy,0.467902373
AS,Iron and Steel_enuse,gas,gas,2015,non-energy,0.467902373
AS,Non-Ferrous Metals_enuse,gas,gas,2015,non-energy,0.467902373
AS,Other Industries_enuse,gas,gas,2015,non-energy,0.467902373
AS,Paper and Pulp_enuse,gas,gas,2015,non-energy,0.467902373
AS,process heat cement,gas,gas,2015,non-energy,0.467902373
BR,Chem_Fert_enuse,gas,gas,2015,non-energy,0.467902373
BR,Food Processing_enuse,gas,gas,2015,non-energy,0.467902373
BR,Iron and Steel_enuse,gas,gas,2015,non-energy,0.467902373
BR,Non-Ferrous Metals_enuse,gas,gas,2015,non-energy,0.467902373
BR,Other Industries_enuse,gas,gas,2015,non-energy,0.467902373
BR,Paper and Pulp_enuse,gas,gas,2015,non-energy,0.467902373
BR,process heat cement,gas,gas,2015,non-energy,0.467902373
CG,Chem_Fert_enuse,gas,gas,2015,non-energy,0.467902373
CG,Food Processing_enuse,gas,gas,2015,non-energy,0.467902373
CG,Iron and Steel_enuse,gas,gas,2015,non-energy,0.467902373
CG,Non-Ferrous Metals_enuse,gas,gas,2015,non-energy,0.467902373
CG,Other Industries_enuse,gas,gas,2015,non-energy,0.467902373
CG,Paper and Pulp_enuse,gas,gas,2015,non-energy,0.467902373
CG,process heat cement,gas,gas,2015,non-energy,0.467902373
CH,Chem_Fert_enuse,gas,gas,2015,non-energy,0.467902373
CH,Food Processing_enuse,gas,gas,2015,non-energy,0.467902373
CH,Iron and Steel_enuse,gas,gas,2015,non-energy,0.467902373
CH,Non-Ferrous Metals_enuse,gas,gas,2015,non-energy,0.467902373
CH,Other Industries_enuse,gas,gas,2015,non-energy,0.467902373
CH,Paper and Pulp_enuse,gas,gas,2015,non-energy,0.467902373
CH,process heat cement,gas,gas,2015,non-energy,0.467902373
DD,Chem_Fert_enuse,gas,gas,2015,non-energy,0.467902373
DD,Food Processing_enuse,gas,gas,2015,non-energy,0.467902373
DD,Iron and Steel_enuse,gas,gas,2015,non-energy,0.467902373
DD,Non-Ferrous Metals_enuse,gas,gas,2015,non-energy,0.467902373
DD,Other Industries_enuse,gas,gas,2015,non-energy,0.467902373
DD,Paper and Pulp_enuse,gas,gas,2015,non-energy,0.467902373
DD,process heat cement,gas,gas,2015,non-energy,0.467902373
DL,Chem_Fert_enuse,gas,gas,2015,non-energy,0.467902373
