INPUT_TABLE,,,,,,
Variable ID,,,,,,
RegionGasPriceAdder,,,,,,
,,,,,,
region,supplysector,subsector,technology,year,minicam-non-energy-input,input-cost
AN,Chem_Fert_enuse,gas,gas,2015,tax,-1.188
AN,Food Processing_enuse,gas,gas,2015,tax,-1.188
AN,Iron and Steel_enuse,gas,gas,2015,tax,-1.188
AN,Non-Ferrous Metals_enuse,gas,gas,2015,tax,-1.188
AN,Other Industries_enuse,gas,gas,2015,tax,-1.188
AN,Paper and Pulp_enuse,gas,gas,2015,tax,-1.188
AN,process heat cement,gas,gas,2015,tax,-0.746
AP,Chem_Fert_enuse,gas,gas,2015,tax,-1.188
AP,Food Processing_enuse,gas,gas,2015,tax,-1.188
AP,Iron and Steel_enuse,gas,gas,2015,tax,-1.188
AP,Non-Ferrous Metals_enuse,gas,gas,2015,tax,-1.188
AP,Other Industries_enuse,gas,gas,2015,tax,-1.188
AP,Paper and Pulp_enuse,gas,gas,2015,tax,-1.188
AP,process heat cement,gas,gas,2015,tax,-0.746
AR,Chem_Fert_enuse,gas,gas,2015,tax,-1.188
AR,Food Processing_enuse,gas,gas,2015,tax,-1.188
AR,Iron and Steel_enuse,gas,gas,2015,tax,-1.188
AR,Non-Ferrous Metals_enuse,gas,gas,2015,tax,-1.188
AR,Other Industries_enuse,gas,gas,2015,tax,-1.188
AR,Paper and Pulp_enuse,gas,gas,2015,tax,-1.188
AR,process heat cement,gas,gas,2015,tax,-0.746
AS,Chem_Fert_enuse,gas,gas,2015,tax,-1.188
AS,Food Processing_enuse,gas,gas,2015,tax,-1.188
AS,Iron and Steel_enuse,gas,gas,2015,tax,-1.188
AS,Non-Ferrous Metals_enuse,gas,gas,2015,tax,-1.188
AS,Other Industries_enuse,gas,gas,2015,tax,-1.188
AS,Paper and Pulp_enuse,gas,gas,2015,tax,-1.188
AS,process heat cement,gas,gas,2015,tax,-0.746
BR,Chem_Fert_enuse,gas,gas,2015,tax,-1.188
BR,Food Processing_enuse,gas,gas,2015,tax,-1.188
BR,Iron and Steel_enuse,gas,gas,2015,tax,-1.188
BR,Non-Ferrous Metals_enuse,gas,gas,2015,tax,-1.188
BR,Other Industries_enuse,gas,gas,2015,tax,-1.188
BR,Paper and Pulp_enuse,gas,gas,2015,tax,-1.188
BR,process heat cement,gas,gas,2015,tax,-0.746
CG,Chem_Fert_enuse,gas,gas,2015,tax,-1.188
CG,Food Processing_enuse,gas,gas,2015,tax,-1.188
CG,Iron and Steel_enuse,gas,gas,2015,tax,-1.188
CG,Non-Ferrous Metals_enuse,gas,gas,2015,tax,-1.188
CG,Other Industries_enuse,gas,gas,2015,tax,-1.188
CG,Paper and Pulp_enuse,gas,gas,2015,tax,-1.188
CG,process heat cement,gas,gas,2015,tax,-0.746
CH,Chem_Fert_enuse,gas,gas,2015,tax,-1.188
CH,Food Processing_enuse,gas,gas,2015,tax,-1.188
CH,Iron and Steel_enuse,gas,gas,2015,tax,-1.188
CH,Non-Ferrous Metals_enuse,gas,gas,2015,tax,-1.188
CH,Other Industries_enuse,gas,gas,2015,tax,-1.188
CH,Paper and Pulp_enuse,gas,gas,2015,tax,-1.188
CH,process heat cement,gas,gas,2015,tax,-0.746
DD,Chem_Fert_enuse,gas,gas,2015,tax,-1.188
DD,Food Processing_enuse,gas,gas,2015,tax,-1.188
DD,Iron and Steel_enuse,gas,gas,2015,tax,-1.188
DD,Non-Ferrous Metals_enuse,gas,gas,2015,tax,-1.188
DD,Other Industries_enuse,gas,gas,2015,tax,-1.188
DD,Paper and Pulp_enuse,gas,gas,2015,tax,-1.188
DD,process heat cement,gas,gas,2015,tax,-0.746
DL,Chem_Fert_enuse,gas,gas,2015,tax,-1.188
