INPUT_TABLE,,,,,,
Variable ID,,,,,,
RegionTechEff,,,,,,
,,,,,,
Region,sector.name,subsector.name,technology,year,minicam.energy.input,efficiency
AN,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
AP,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
AR,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
AS,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
BR,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
CG,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
CH,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
DD,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
DL,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
DN,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
GA,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
GJ,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
HP,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
HR,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
JH,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
JK,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
KA,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
KL,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
LA,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
LD,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
MH,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
ML,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
MN,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
MP,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
MZ,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
NL,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
OD,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
PB,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
PC,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
RJ,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
SK,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
TN,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
TR,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
TS,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
UK,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
UP,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
WB,electricity,biomass,biomass (conv CCS),2015,regional biomass,0.196
AN,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
AP,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
AR,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
AS,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
BR,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
CG,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
CH,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
DD,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
DL,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
DN,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
GA,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
GJ,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
HP,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
HR,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
JH,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
JK,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
KA,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
KL,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
LA,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
LD,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
MH,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
ML,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
MN,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
MP,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
MZ,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
NL,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
OD,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
PB,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
PC,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
RJ,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
SK,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
TN,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
TR,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
TS,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
UK,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
UP,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
WB,electricity,biomass,biomass (conv CCS),2020,regional biomass,0.23
AN,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
AP,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
AR,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
AS,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
BR,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
CG,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
CH,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
DD,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
DL,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
DN,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
GA,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
GJ,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
HP,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
HR,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
JH,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
JK,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
KA,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
KL,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
LA,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
LD,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
MH,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
ML,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
MN,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
MP,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
MZ,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
NL,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
OD,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
PB,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
PC,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
RJ,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
SK,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
TN,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
TR,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
TS,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
UK,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
UP,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
WB,electricity,biomass,biomass (conv CCS),2025,regional biomass,0.257
AN,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
AP,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
AR,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
AS,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
BR,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
CG,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
CH,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
DD,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
DL,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
DN,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
GA,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
GJ,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
HP,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
HR,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
JH,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
JK,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
KA,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
KL,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
LA,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
LD,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
MH,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
ML,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
MN,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
MP,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
MZ,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
NL,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
OD,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
PB,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
PC,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
RJ,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
SK,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
TN,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
TR,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
TS,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
UK,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
UP,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
WB,electricity,biomass,biomass (conv CCS),2030,regional biomass,0.28
AN,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
AP,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
AR,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
AS,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
BR,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
CG,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
CH,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
DD,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
DL,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
DN,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
GA,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
GJ,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
HP,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
HR,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
JH,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
JK,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
KA,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
KL,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
LA,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
LD,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
MH,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
ML,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
MN,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
MP,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
MZ,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
NL,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
OD,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
PB,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
PC,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
RJ,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
SK,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
TN,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
TR,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
TS,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
UK,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
UP,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
WB,electricity,biomass,biomass (conv CCS),2035,regional biomass,0.3
AN,electricity,biomass,biomass (conv CCS),2040,regional biomass,0.316
AP,electricity,biomass,biomass (conv CCS),2040,regional biomass,0.316
AR,electricity,biomass,biomass (conv CCS),2040,regional biomass,0.316
AS,electricity,biomass,biomass (conv CCS),2040,regional biomass,0.316
BR,electricity,biomass,biomass (conv CCS),2040,regional biomass,0.316
CG,electricity,biomass,biomass (conv CCS),2040,regional biomass,0.316
CH,electricity,biomass,biomass (conv CCS),2040,regional biomass,0.316
DD,electricity,biomass,biomass (conv CCS),2040,regional biomass,0.316
DL,electricity,biomass,biomass (conv CCS),2040,regional biomass,0.316
DN,electricity,biomass,biomass (conv CCS),2040,regional biomass,0.316
GA,electricity,biomass,biomass (conv CCS),2040,regional biomass,0.316
GJ,electricity,biomass,biomass (conv CCS),2040,regional biomass,0.316
HP,electricity,biomass,biomass (conv CCS),2040,regional biomass,0.316
HR,electricity,biomass,biomass (conv CCS),2040,regional biomass,0.316
JH,electricity,biomass,biomass (conv CCS),2040,regional biomass,0.316
JK,electricity,biomass,biomass (conv CCS),2040,regional biomass,0.316
