INPUT_TABLE,,,,,,
Variable ID,,,,,,
RegionFuelAdder,,,,,,
,,,,,,
region,supplysector,subsector,technology,year,minicam-non-energy-input,input-cost
AN,electricity,coal,coal (conv pul),2010,tax,-0.84487858
AP,electricity,coal,coal (conv pul),2010,tax,-0.84488691
AR,electricity,coal,coal (conv pul),2010,tax,-0.419832
AS,electricity,coal,coal (conv pul),2010,tax,-0.41982367
BR,electricity,coal,coal (conv pul),2010,tax,-0.34995163
CG,electricity,coal,coal (conv pul),2010,tax,-0.72765882
CH,electricity,coal,coal (conv pul),2010,tax,-0.71020747
DD,electricity,coal,coal (conv pul),2010,tax,-0.72765882
DL,electricity,coal,coal (conv pul),2010,tax,-0.7102158
DN,electricity,coal,coal (conv pul),2010,tax,-0.72765049
GA,electricity,coal,coal (conv pul),2010,tax,-0.72765049
GJ,electricity,coal,coal (conv pul),2010,tax,-0.72765049
HP,electricity,coal,coal (conv pul),2010,tax,-0.71020747
HR,electricity,coal,coal (conv pul),2010,tax,-0.7102158
JH,electricity,coal,coal (conv pul),2010,tax,-0.34995163
JK,electricity,coal,coal (conv pul),2010,tax,-0.7102158
KA,electricity,coal,coal (conv pul),2010,tax,-0.84488691
KL,electricity,coal,coal (conv pul),2010,tax,-0.84487858
LA,electricity,coal,coal (conv pul),2010,tax,-0.7102158
LD,electricity,coal,coal (conv pul),2010,tax,-0.84488691
MH,electricity,coal,coal (conv pul),2010,tax,-0.72765049
ML,electricity,coal,coal (conv pul),2010,tax,-0.419832
MN,electricity,coal,coal (conv pul),2010,tax,-0.41982367
MP,electricity,coal,coal (conv pul),2010,tax,-0.72765882
MZ,electricity,coal,coal (conv pul),2010,tax,-0.419832
NL,electricity,coal,coal (conv pul),2010,tax,-0.41982367
OD,electricity,coal,coal (conv pul),2010,tax,-0.34995996
PB,electricity,coal,coal (conv pul),2010,tax,-0.7102158
PC,electricity,coal,coal (conv pul),2010,tax,-0.84488691
RJ,electricity,coal,coal (conv pul),2010,tax,-0.71020747
SK,electricity,coal,coal (conv pul),2010,tax,-0.34995996
TN,electricity,coal,coal (conv pul),2010,tax,-0.84488691
TR,electricity,coal,coal (conv pul),2010,tax,-0.419832
TS,electricity,coal,coal (conv pul),2010,tax,-0.84488691
UK,electricity,coal,coal (conv pul),2010,tax,-0.7102158
UP,electricity,coal,coal (conv pul),2010,tax,-0.7102158
WB,electricity,coal,coal (conv pul),2010,tax,-0.34995996
AN,electricity,coal,coal (conv pul),2015,tax,0
AP,electricity,coal,coal (conv pul),2015,tax,0
AR,electricity,coal,coal (conv pul),2015,tax,0
AS,electricity,coal,coal (conv pul),2015,tax,0
BR,electricity,coal,coal (conv pul),2015,tax,0
CG,electricity,coal,coal (conv pul),2015,tax,0
CH,electricity,coal,coal (conv pul),2015,tax,0
DD,electricity,coal,coal (conv pul),2015,tax,0
DL,electricity,coal,coal (conv pul),2015,tax,0
DN,electricity,coal,coal (conv pul),2015,tax,0
GA,electricity,coal,coal (conv pul),2015,tax,0
GJ,electricity,coal,coal (conv pul),2015,tax,0
HP,electricity,coal,coal (conv pul),2015,tax,0
HR,electricity,coal,coal (conv pul),2015,tax,0
JH,electricity,coal,coal (conv pul),2015,tax,0
JK,electricity,coal,coal (conv pul),2015,tax,0
KA,electricity,coal,coal (conv pul),2015,tax,0
KL,electricity,coal,coal (conv pul),2015,tax,0
LA,electricity,coal,coal (conv pul),2015,tax,0
LD,electricity,coal,coal (conv pul),2015,tax,0
MH,electricity,coal,coal (conv pul),2015,tax,0
ML,electricity,coal,coal (conv pul),2015,tax,0
MN,electricity,coal,coal (conv pul),2015,tax,0
MP,electricity,coal,coal (conv pul),2015,tax,0
MZ,electricity,coal,coal (conv pul),2015,tax,0
NL,electricity,coal,coal (conv pul),2015,tax,0
OD,electricity,coal,coal (conv pul),2015,tax,0
PB,electricity,coal,coal (conv pul),2015,tax,0
PC,electricity,coal,coal (conv pul),2015,tax,0
RJ,electricity,coal,coal (conv pul),2015,tax,0
SK,electricity,coal,coal (conv pul),2015,tax,0
TN,electricity,coal,coal (conv pul),2015,tax,0
TR,electricity,coal,coal (conv pul),2015,tax,0
TS,electricity,coal,coal (conv pul),2015,tax,0
UK,electricity,coal,coal (conv pul),2015,tax,0
UP,electricity,coal,coal (conv pul),2015,tax,0
WB,electricity,coal,coal (conv pul),2015,tax,0
AN,electricity,coal,coal (conv pul),2020,tax,0
AP,electricity,coal,coal (conv pul),2020,tax,0
AR,electricity,coal,coal (conv pul),2020,tax,0
AS,electricity,coal,coal (conv pul),2020,tax,0
BR,electricity,coal,coal (conv pul),2020,tax,0
CG,electricity,coal,coal (conv pul),2020,tax,0
CH,electricity,coal,coal (conv pul),2020,tax,0
DD,electricity,coal,coal (conv pul),2020,tax,0
DL,electricity,coal,coal (conv pul),2020,tax,0
DN,electricity,coal,coal (conv pul),2020,tax,0
GA,electricity,coal,coal (conv pul),2020,tax,0
GJ,electricity,coal,coal (conv pul),2020,tax,0
HP,electricity,coal,coal (conv pul),2020,tax,0
