INPUT_TABLE
Variable ID
IndiaIndusSharewt

region,supplysector,subsector,apply.to,from.year,to.year,from.value,to-value,interpolation.function
Southern,electricity,AN electricity,share-weight,2010,2020,0.0001,0.0001,fixed
Southern,electricity,AP electricity,share-weight,2010,2020,0.45,0.45,fixed
North-Eastern,electricity,AR electricity,share-weight,2010,2020,0.0001,0.0001,fixed
North-Eastern,electricity,AS electricity,share-weight,2010,2020,1,1,fixed
Eastern,electricity,BR electricity,share-weight,2010,2020,0.4,0.4,fixed
Western,electricity,CG electricity,share-weight,2010,2020,0.0028,0.0028,fixed
Northern,electricity,CH electricity,share-weight,2010,2020,0.0001,0.0001,fixed
Western,electricity,DD electricity,share-weight,2010,2020,0.0001,0.0001,fixed
Northern,electricity,DL electricity,share-weight,2010,2020,0.0066,0.0066,fixed
Western,electricity,DN electricity,share-weight,2010,2020,0.0001,0.0001,fixed
Western,electricity,GA electricity,share-weight,2010,2020,0.0001,0.0001,fixed
Western,electricity,GJ electricity,share-weight,2010,2020,0.07,0.07,fixed
Northern,electricity,HP electricity,share-weight,2010,2020,1992.92,1992.92,fixed
Northern,electricity,HP electricity,share-weight,2015,2020,0.1,0.1,fixed
Northern,electricity,HR electricity,share-weight,2010,2020,0.6,0.6,fixed
Eastern,electricity,JH electricity,share-weight,2010,2020,0.058,0.058,fixed
Northern,electricity,JK electricity,share-weight,2010,2020,1,1,fixed
Southern,electricity,KA electricity,share-weight,2010,2020,2.12,2.12,fixed
Southern,electricity,KL electricity,share-weight,2010,2020,0.0001,0.0001,fixed
Northern,electricity,LA electricity,share-weight,2010,2020,0.0001,0.0001,fixed
Southern,electricity,LD electricity,share-weight,2010,2020,0.0001,0.0001,fixed
Western,electricity,MH electricity,share-weight,2010,2020,0.5,0.5,fixed
North-Eastern,electricity,ML electricity,share-weight,2010,2020,0.0057,0.0057,fixed
North-Eastern,electricity,MN electricity,share-weight,2010,2020,0.446,0.446,fixed
Western,electricity,MP electricity,share-weight,2010,2020,0.009,0.009,fixed
North-Eastern,electricity,MZ electricity,share-weight,2010,2020,0.0061,0.0061,fixed
North-Eastern,electricity,NL electricity,share-weight,2010,2020,0.0051,0.0051,fixed
Eastern,electricity,OD electricity,share-weight,2010,2020,0.19,0.19,fixed
Northern,electricity,PB electricity,share-weight,2010,2020,0.0794,0.0794,fixed
Southern,electricity,PC electricity,share-weight,2010,2020,0.0001,0.0001,fixed
Northern,electricity,RJ electricity,share-weight,2010,2020,0.7,0.7,fixed
Eastern,electricity,SK electricity,share-weight,2010,2020,0.3964,0.3964,fixed
Southern,electricity,TN electricity,share-weight,2010,2020,3,3,fixed
North-Eastern,electricity,TR electricity,share-weight,2010,2020,0.0025,0.0025,fixed
Southern,electricity,TS electricity,share-weight,2010,2020,0.566,0.566,fixed
Northern,electricity,UK electricity,share-weight,2010,2020,0.4556,0.4556,fixed
Northern,electricity,UP electricity,share-weight,2010,2020,0.9,0.9,fixed
Eastern,electricity,WB electricity,share-weight,2010,2020,2,2,fixed
Southern,electricity,AN electricity,share-weight,2015,2025,0.0001,0.0001,fixed
Southern,electricity,AP electricity,share-weight,2015,2025,0.45,0.45,fixed
North-Eastern,electricity,AR electricity,share-weight,2015,2025,0.0001,0.0001,fixed
North-Eastern,electricity,AS electricity,share-weight,2015,2025,1,1,fixed
Eastern,electricity,BR electricity,share-weight,2015,2025,0.4,0.4,fixed
Western,electricity,CG electricity,share-weight,2015,2025,0.0028,0.0028,fixed
Northern,electricity,CH electricity,share-weight,2015,2025,0.0001,0.0001,fixed
Western,electricity,DD electricity,share-weight,2015,2025,0.0001,0.0001,fixed
Northern,electricity,DL electricity,share-weight,2015,2025,0.0066,0.0066,fixed
Western,electricity,DN electricity,share-weight,2015,2025,0.0001,0.0001,fixed
Western,electricity,GA electricity,share-weight,2015,2025,0.0001,0.0001,fixed
Western,electricity,GJ electricity,share-weight,2015,2025,0.07,0.07,fixed
Northern,electricity,HP electricity,share-weight,2015,2025,0.1,0.1,fixed
Northern,electricity,HR electricity,share-weight,2015,2025,0.6,0.6,fixed
Eastern,electricity,JH electricity,share-weight,2015,2025,0.058,0.058,fixed
Northern,electricity,JK electricity,share-weight,2015,2025,1,1,fixed
Southern,electricity,KA electricity,share-weight,2015,2025,2.12,2.12,fixed
Southern,electricity,KL electricity,share-weight,2015,2025,0.0001,0.0001,fixed
Northern,electricity,LA electricity,share-weight,2015,2025,0.0001,0.0001,fixed
Southern,electricity,LD electricity,share-weight,2015,2025,0.0001,0.0001,fixed
Western,electricity,MH electricity,share-weight,2015,2025,0.5,0.5,fixed
North-Eastern,electricity,ML electricity,share-weight,2015,2025,0.0057,0.0057,fixed
North-Eastern,electricity,MN electricity,share-weight,2015,2025,0.446,0.446,fixed
Western,electricity,MP electricity,share-weight,2015,2025,0.009,0.009,fixed
North-Eastern,electricity,MZ electricity,share-weight,2015,2025,0.0061,0.0061,fixed
North-Eastern,electricity,NL electricity,share-weight,2015,2025,0.0051,0.0051,fixed
Eastern,electricity,OD electricity,share-weight,2015,2025,0.19,0.19,fixed
Northern,electricity,PB electricity,share-weight,2015,2025,0.0794,0.0794,fixed
Southern,electricity,PC electricity,share-weight,2015,2025,0.0001,0.0001,fixed
Northern,electricity,RJ electricity,share-weight,2015,2025,0.7,0.7,fixed
Eastern,electricity,SK electricity,share-weight,2015,2025,0.3964,0.3964,fixed
Southern,electricity,TN electricity,share-weight,2015,2025,3,3,fixed
North-Eastern,electricity,TR electricity,share-weight,2015,2025,0.0025,0.0025,fixed
Southern,electricity,TS electricity,share-weight,2015,2025,0.566,0.566,fixed
Northern,electricity,UK electricity,share-weight,2015,2025,0.4556,0.4556,fixed
Northern,electricity,UP electricity,share-weight,2015,2025,0.7,0.7,fixed
Eastern,electricity,WB electricity,share-weight,2015,2025,2,2,fixed
Southern,electricity,AN electricity,share-weight,2020,2100,0.5,0.5,fixed
Southern,electricity,AP electricity,share-weight,2020,2100,1,1,fixed
North-Eastern,electricity,AR electricity,share-weight,2020,2100,0.5,0.5,fixed
North-Eastern,electricity,AS electricity,share-weight,2020,2100,0.5,0.5,fixed
Eastern,electricity,BR electricity,share-weight,2020,2100,1,1,fixed
Western,electricity,CG electricity,share-weight,2020,2100,1,1,fixed
Northern,electricity,CH electricity,share-weight,2020,2100,0.75,0.75,fixed
Western,electricity,DD electricity,share-weight,2020,2100,0.1,0.1,fixed
Northern,electricity,DL electricity,share-weight,2020,2100,0.25,0.25,fixed
Western,electricity,DN electricity,share-weight,2020,2100,0.1,0.1,fixed
Western,electricity,GA electricity,share-weight,2020,2100,0.1,0.1,fixed
Western,electricity,GJ electricity,share-weight,2020,2100,1,1,fixed
Northern,electricity,HP electricity,share-weight,2020,2100,0.5,0.5,fixed
Northern,electricity,HR electricity,share-weight,2020,2100,1,1,fixed
Eastern,electricity,JH electricity,share-weight,2020,2100,1,1,fixed
Northern,electricity,JK electricity,share-weight,2020,2100,0.75,0.75,fixed
Southern,electricity,KA electricity,share-weight,2020,2100,0.5,0.5,fixed
Southern,electricity,KL electricity,share-weight,2020,2100,0.5,0.5,fixed
Northern,electricity,LA electricity,share-weight,2020,2100,0.25,0.25,fixed
Southern,electricity,LD electricity,share-weight,2020,2100,0.1,0.1,fixed
Western,electricity,MH electricity,share-weight,2020,2100,1,1,fixed
North-Eastern,electricity,ML electricity,share-weight,2020,2100,0.1,0.1,fixed
North-Eastern,electricity,MN electricity,share-weight,2020,2100,0.5,0.5,fixed
Western,electricity,MP electricity,share-weight,2020,2100,1,1,fixed
North-Eastern,electricity,MZ electricity,share-weight,2020,2100,0.5,0.5,fixed
North-Eastern,electricity,NL electricity,share-weight,2020,2100,1,1,fixed
Eastern,electricity,OD electricity,share-weight,2020,2100,1,1,fixed
Northern,electricity,PB electricity,share-weight,2020,2100,1,1,fixed
Southern,electricity,PC electricity,share-weight,2020,2100,0.5,0.5,fixed
Northern,electricity,RJ electricity,share-weight,2020,2050,0.7,1,linear
Northern,electricity,RJ electricity,share-weight,2045,2100,1,1,fixed
Eastern,electricity,SK electricity,share-weight,2020,2100,0.1,0.1,fixed
Southern,electricity,TN electricity,share-weight,2020,2100,1,1,fixed
North-Eastern,electricity,TR electricity,share-weight,2020,2100,0.1,0.1,fixed
Southern,electricity,TS electricity,share-weight,2020,2100,1,1,fixed
Northern,electricity,UK electricity,share-weight,2020,2100,0.75,0.75,fixed
Northern,electricity,UP electricity,share-weight,2020,2100,1,1,fixed
Eastern,electricity,WB electricity,share-weight,2020,2100,1,1,fixed
Southern,electricity,AN electricity,share-weight,2095,2100,0.5,0.5,fixed
Southern,electricity,AP electricity,share-weight,2095,2100,1,1,fixed
North-Eastern,electricity,AR electricity,share-weight,2095,2100,0.5,0.5,fixed
North-Eastern,electricity,AS electricity,share-weight,2095,2100,0.5,0.5,fixed
Eastern,electricity,BR electricity,share-weight,2095,2100,1,1,fixed
Western,electricity,CG electricity,share-weight,2095,2100,1,1,fixed
Northern,electricity,CH electricity,share-weight,2095,2100,0.75,0.75,fixed
Western,electricity,DD electricity,share-weight,2095,2100,0.1,0.1,fixed
Northern,electricity,DL electricity,share-weight,2095,2100,0.25,0.25,fixed
Western,electricity,DN electricity,share-weight,2095,2100,0.1,0.1,fixed
Western,electricity,GA electricity,share-weight,2095,2100,0.1,0.1,fixed
Western,electricity,GJ electricity,share-weight,2095,2100,1,1,fixed
Northern,electricity,HP electricity,share-weight,2095,2100,0.5,0.5,fixed
Northern,electricity,HR electricity,share-weight,2095,2100,1,1,fixed
Eastern,electricity,JH electricity,share-weight,2095,2100,1,1,fixed
Northern,electricity,JK electricity,share-weight,2095,2100,0.75,0.75,fixed
Southern,electricity,KA electricity,share-weight,2095,2100,1,1,fixed
Southern,electricity,KL electricity,share-weight,2095,2100,1,1,fixed
Northern,electricity,LA electricity,share-weight,2095,2100,0.25,0.25,fixed
Southern,electricity,LD electricity,share-weight,2095,2100,0.1,0.1,fixed
Western,electricity,MH electricity,share-weight,2095,2100,1,1,fixed
North-Eastern,electricity,ML electricity,share-weight,2095,2100,0.1,0.1,fixed
North-Eastern,electricity,MN electricity,share-weight,2095,2100,0.5,0.5,fixed
Western,electricity,MP electricity,share-weight,2095,2100,1,1,fixed
North-Eastern,electricity,MZ electricity,share-weight,2095,2100,0.5,0.5,fixed
North-Eastern,electricity,NL electricity,share-weight,2095,2100,1,1,fixed
Eastern,electricity,OD electricity,share-weight,2095,2100,1,1,fixed
Northern,electricity,PB electricity,share-weight,2095,2100,1,1,fixed
Southern,electricity,PC electricity,share-weight,2095,2100,0.5,0.5,fixed
Northern,electricity,RJ electricity,share-weight,2095,2100,1,1,fixed
Eastern,electricity,SK electricity,share-weight,2095,2100,0.1,0.1,fixed
Southern,electricity,TN electricity,share-weight,2095,2100,1,1,fixed
North-Eastern,electricity,TR electricity,share-weight,2095,2100,0.1,0.1,fixed
Southern,electricity,TS electricity,share-weight,2095,2100,1,1,fixed
Northern,electricity,UK electricity,share-weight,2095,2100,0.75,0.75,fixed
Northern,electricity,UP electricity,share-weight,2095,2100,1,1,fixed
Eastern,electricity,WB electricity,share-weight,2095,2100,1,1,fixed
