INPUT_TABLE,,,,,
Variable ID,,,,,
RegionIntTechCF,,,,,
,,,,,
region,supplysector,subsector,intermittent.technology,year,capacity.factor
AN,electricity,solar,CSP,2010,0.22
AP,electricity,solar,CSP,2010,0.22
AR,electricity,solar,CSP,2010,0.22
AS,electricity,solar,CSP,2010,0.22
BR,electricity,solar,CSP,2010,0.22
CG,electricity,solar,CSP,2010,0.22
CH,electricity,solar,CSP,2010,0.22
DD,electricity,solar,CSP,2010,0.22
DL,electricity,solar,CSP,2010,0.22
DN,electricity,solar,CSP,2010,0.22
GA,electricity,solar,CSP,2010,0.22
GJ,electricity,solar,CSP,2010,0.22
HP,electricity,solar,CSP,2010,0.22
HR,electricity,solar,CSP,2010,0.22
JH,electricity,solar,CSP,2010,0.22
JK,electricity,solar,CSP,2010,0.22
KA,electricity,solar,CSP,2010,0.22
KL,electricity,solar,CSP,2010,0.22
LA,electricity,solar,CSP,2010,0.22
LD,electricity,solar,CSP,2010,0.22
MH,electricity,solar,CSP,2010,0.22
ML,electricity,solar,CSP,2010,0.22
MN,electricity,solar,CSP,2010,0.22
MP,electricity,solar,CSP,2010,0.22
MZ,electricity,solar,CSP,2010,0.22
NL,electricity,solar,CSP,2010,0.22
OD,electricity,solar,CSP,2010,0.22
PB,electricity,solar,CSP,2010,0.22
PC,electricity,solar,CSP,2010,0.22
RJ,electricity,solar,CSP,2010,0.22
SK,electricity,solar,CSP,2010,0.22
TN,electricity,solar,CSP,2010,0.22
TR,electricity,solar,CSP,2010,0.22
TS,electricity,solar,CSP,2010,0.22
UK,electricity,solar,CSP,2010,0.22
UP,electricity,solar,CSP,2010,0.22
WB,electricity,solar,CSP,2010,0.22
AN,electricity,solar,CSP,2015,0.22
AP,electricity,solar,CSP,2015,0.22
AR,electricity,solar,CSP,2015,0.22
AS,electricity,solar,CSP,2015,0.22
BR,electricity,solar,CSP,2015,0.22
CG,electricity,solar,CSP,2015,0.22
CH,electricity,solar,CSP,2015,0.22
DD,electricity,solar,CSP,2015,0.22
DL,electricity,solar,CSP,2015,0.22
DN,electricity,solar,CSP,2015,0.22
GA,electricity,solar,CSP,2015,0.22
GJ,electricity,solar,CSP,2015,0.22
HP,electricity,solar,CSP,2015,0.22
HR,electricity,solar,CSP,2015,0.22
JH,electricity,solar,CSP,2015,0.22
JK,electricity,solar,CSP,2015,0.22
KA,electricity,solar,CSP,2015,0.22
KL,electricity,solar,CSP,2015,0.22
LA,electricity,solar,CSP,2015,0.22
LD,electricity,solar,CSP,2015,0.22
MH,electricity,solar,CSP,2015,0.22
ML,electricity,solar,CSP,2015,0.22
MN,electricity,solar,CSP,2015,0.22
MP,electricity,solar,CSP,2015,0.22
MZ,electricity,solar,CSP,2015,0.22
NL,electricity,solar,CSP,2015,0.22
OD,electricity,solar,CSP,2015,0.22
PB,electricity,solar,CSP,2015,0.22
PC,electricity,solar,CSP,2015,0.22
RJ,electricity,solar,CSP,2015,0.22
SK,electricity,solar,CSP,2015,0.22
TN,electricity,solar,CSP,2015,0.22
TR,electricity,solar,CSP,2015,0.22
TS,electricity,solar,CSP,2015,0.22
UK,electricity,solar,CSP,2015,0.22
UP,electricity,solar,CSP,2015,0.22
WB,electricity,solar,CSP,2015,0.22
AN,electricity,solar,CSP,2020,0.29
AP,electricity,solar,CSP,2020,0.29
AR,electricity,solar,CSP,2020,0.29
AS,electricity,solar,CSP,2020,0.29
