INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
IndiaIndusSharewt,,,,,,,,
,,,,,,,,
region,supplysector,subsector,apply.to,from.year,to.year,from.value,to.value,interpolation.function
AN,electricity,biomass,share-weight,2010,2020,0.1,0.1,fixed
AN,electricity,biomass,share-weight,2015,2100,0.1,0.5,linear
AN,electricity,biomass,share-weight,2095,2100,0.5,0.5,fixed
AP,electricity,biomass,share-weight,2010,2020,0.1,0.1,fixed
AP,electricity,biomass,share-weight,2015,2100,0.1,0.5,linear
AP,electricity,biomass,share-weight,2095,2100,0.5,0.5,fixed
AR,electricity,biomass,share-weight,2010,2020,0.1,0.1,fixed
AR,electricity,biomass,share-weight,2015,2100,0.1,0.5,linear
AR,electricity,biomass,share-weight,2095,2100,0.5,0.5,fixed
AS,electricity,biomass,share-weight,2010,2020,0.1,0.1,fixed
AS,electricity,biomass,share-weight,2015,2100,0.1,0.5,linear
AS,electricity,biomass,share-weight,2095,2100,0.5,0.5,fixed
BR,electricity,biomass,share-weight,2010,2020,0.1,0.1,fixed
BR,electricity,biomass,share-weight,2015,2100,0.1,0.5,linear
BR,electricity,biomass,share-weight,2095,2100,0.5,0.5,fixed
CG,electricity,biomass,share-weight,2010,2020,0.1,0.1,fixed
CG,electricity,biomass,share-weight,2015,2100,0.1,0.5,linear
CG,electricity,biomass,share-weight,2095,2100,0.5,0.5,fixed
CH,electricity,biomass,share-weight,2010,2020,0.1,0.1,fixed
CH,electricity,biomass,share-weight,2015,2100,0.1,0.5,linear
CH,electricity,biomass,share-weight,2095,2100,0.5,0.5,fixed
DD,electricity,biomass,share-weight,2010,2020,0.1,0.1,fixed
DD,electricity,biomass,share-weight,2015,2100,0.1,0.5,linear
DD,electricity,biomass,share-weight,2095,2100,0.5,0.5,fixed
DL,electricity,biomass,share-weight,2010,2020,0.1,0.1,fixed
DL,electricity,biomass,share-weight,2015,2100,0.1,0.5,linear
DL,electricity,biomass,share-weight,2095,2100,0.5,0.5,fixed
DN,electricity,biomass,share-weight,2010,2020,0.1,0.1,fixed
DN,electricity,biomass,share-weight,2015,2100,0.1,0.5,linear
DN,electricity,biomass,share-weight,2095,2100,0.5,0.5,fixed
GA,electricity,biomass,share-weight,2010,2020,0.1,0.1,fixed
GA,electricity,biomass,share-weight,2015,2100,0.1,0.5,linear
GA,electricity,biomass,share-weight,2095,2100,0.5,0.5,fixed
GJ,electricity,biomass,share-weight,2010,2020,0.1,0.1,fixed
GJ,electricity,biomass,share-weight,2015,2100,0.1,0.5,linear
GJ,electricity,biomass,share-weight,2095,2100,0.5,0.5,fixed
HP,electricity,biomass,share-weight,2010,2020,0.1,0.1,fixed
HP,electricity,biomass,share-weight,2015,2100,0.1,0.5,linear
HP,electricity,biomass,share-weight,2095,2100,0.5,0.5,fixed
HR,electricity,biomass,share-weight,2010,2020,0.1,0.1,fixed
HR,electricity,biomass,share-weight,2015,2100,0.1,0.5,linear
HR,electricity,biomass,share-weight,2095,2100,0.5,0.5,fixed
JH,electricity,biomass,share-weight,2010,2020,0.1,0.1,fixed
JH,electricity,biomass,share-weight,2015,2100,0.1,0.5,linear
JH,electricity,biomass,share-weight,2095,2100,0.5,0.5,fixed
JK,electricity,biomass,share-weight,2010,2020,0.1,0.1,fixed
JK,electricity,biomass,share-weight,2015,2100,0.1,0.5,linear
JK,electricity,biomass,share-weight,2095,2100,0.5,0.5,fixed
KA,electricity,biomass,share-weight,2010,2020,0.1,0.1,fixed
KA,electricity,biomass,share-weight,2015,2100,0.1,0.5,linear
KA,electricity,biomass,share-weight,2095,2100,0.5,0.5,fixed
KL,electricity,biomass,share-weight,2010,2020,0.1,0.1,fixed
KL,electricity,biomass,share-weight,2015,2100,0.1,0.5,linear
KL,electricity,biomass,share-weight,2095,2100,0.5,0.5,fixed
LA,electricity,biomass,share-weight,2010,2020,0.1,0.1,fixed
LA,electricity,biomass,share-weight,2015,2100,0.1,0.5,linear
LA,electricity,biomass,share-weight,2095,2100,0.5,0.5,fixed
LD,electricity,biomass,share-weight,2010,2020,0.1,0.1,fixed
LD,electricity,biomass,share-weight,2015,2100,0.1,0.5,linear
LD,electricity,biomass,share-weight,2095,2100,0.5,0.5,fixed
MH,electricity,biomass,share-weight,2010,2020,0.005,0.005,fixed
MH,electricity,biomass,share-weight,2015,2100,0.005,0.5,linear
MH,electricity,biomass,share-weight,2095,2100,0.5,0.5,fixed
ML,electricity,biomass,share-weight,2010,2020,0.1,0.1,fixed
