INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
StubTechCoef,,,,,,,
,,,,,,,
region,supplysector,subsector,stub.technology,year,minicam.energy.input,coefficient,market.name
AN,elect_td_com,elect_td_com,elect_td_com,2015,electricity domestic supply,1.3,Southern
AN,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.268571429,Southern
AN,elect_td_com,elect_td_com,elect_td_com,2025,electricity domestic supply,1.237142857,Southern
AN,elect_td_com,elect_td_com,elect_td_com,2030,electricity domestic supply,1.205714286,Southern
AN,elect_td_com,elect_td_com,elect_td_com,2035,electricity domestic supply,1.174285714,Southern
AN,elect_td_com,elect_td_com,elect_td_com,2040,electricity domestic supply,1.142857143,Southern
AN,elect_td_com,elect_td_com,elect_td_com,2045,electricity domestic supply,1.111428571,Southern
AN,elect_td_com,elect_td_com,elect_td_com,2050,electricity domestic supply,1.08,Southern
AN,elect_td_com,elect_td_com,elect_td_com,2055,electricity domestic supply,1.0795,Southern
AN,elect_td_com,elect_td_com,elect_td_com,2060,electricity domestic supply,1.079,Southern
AN,elect_td_com,elect_td_com,elect_td_com,2065,electricity domestic supply,1.0785,Southern
AN,elect_td_com,elect_td_com,elect_td_com,2070,electricity domestic supply,1.078,Southern
AN,elect_td_com,elect_td_com,elect_td_com,2075,electricity domestic supply,1.0775,Southern
AN,elect_td_com,elect_td_com,elect_td_com,2080,electricity domestic supply,1.077,Southern
AN,elect_td_com,elect_td_com,elect_td_com,2085,electricity domestic supply,1.0765,Southern
AN,elect_td_com,elect_td_com,elect_td_com,2090,electricity domestic supply,1.076,Southern
AN,elect_td_com,elect_td_com,elect_td_com,2095,electricity domestic supply,1.0755,Southern
AN,elect_td_com,elect_td_com,elect_td_com,2100,electricity domestic supply,1.075,Southern
AN,elect_td_ind,elect_td_ind,elect_td_ind,2015,electricity domestic supply,1.3,Southern
AN,elect_td_ind,elect_td_ind,elect_td_ind,2020,electricity domestic supply,1.268571429,Southern
AN,elect_td_ind,elect_td_ind,elect_td_ind,2025,electricity domestic supply,1.237142857,Southern
AN,elect_td_ind,elect_td_ind,elect_td_ind,2030,electricity domestic supply,1.205714286,Southern
AN,elect_td_ind,elect_td_ind,elect_td_ind,2035,electricity domestic supply,1.174285714,Southern
AN,elect_td_ind,elect_td_ind,elect_td_ind,2040,electricity domestic supply,1.142857143,Southern
AN,elect_td_ind,elect_td_ind,elect_td_ind,2045,electricity domestic supply,1.111428571,Southern
AN,elect_td_ind,elect_td_ind,elect_td_ind,2050,electricity domestic supply,1.08,Southern
AN,elect_td_ind,elect_td_ind,elect_td_ind,2055,electricity domestic supply,1.0795,Southern
AN,elect_td_ind,elect_td_ind,elect_td_ind,2060,electricity domestic supply,1.079,Southern
AN,elect_td_ind,elect_td_ind,elect_td_ind,2065,electricity domestic supply,1.0785,Southern
AN,elect_td_ind,elect_td_ind,elect_td_ind,2070,electricity domestic supply,1.078,Southern
AN,elect_td_ind,elect_td_ind,elect_td_ind,2075,electricity domestic supply,1.0775,Southern
AN,elect_td_ind,elect_td_ind,elect_td_ind,2080,electricity domestic supply,1.077,Southern
AN,elect_td_ind,elect_td_ind,elect_td_ind,2085,electricity domestic supply,1.0765,Southern
AN,elect_td_ind,elect_td_ind,elect_td_ind,2090,electricity domestic supply,1.076,Southern
AN,elect_td_ind,elect_td_ind,elect_td_ind,2095,electricity domestic supply,1.0755,Southern
AN,elect_td_ind,elect_td_ind,elect_td_ind,2100,electricity domestic supply,1.075,Southern
AN,elect_td_res,elect_td_res,elect_td_res,2015,electricity domestic supply,1.3,Southern
AN,elect_td_res,elect_td_res,elect_td_res,2020,electricity domestic supply,1.268571429,Southern
AN,elect_td_res,elect_td_res,elect_td_res,2025,electricity domestic supply,1.237142857,Southern
AN,elect_td_res,elect_td_res,elect_td_res,2030,electricity domestic supply,1.205714286,Southern
AN,elect_td_res,elect_td_res,elect_td_res,2035,electricity domestic supply,1.174285714,Southern
AN,elect_td_res,elect_td_res,elect_td_res,2040,electricity domestic supply,1.142857143,Southern
AN,elect_td_res,elect_td_res,elect_td_res,2045,electricity domestic supply,1.111428571,Southern
AN,elect_td_res,elect_td_res,elect_td_res,2050,electricity domestic supply,1.08,Southern
AN,elect_td_res,elect_td_res,elect_td_res,2055,electricity domestic supply,1.0795,Southern
AN,elect_td_res,elect_td_res,elect_td_res,2060,electricity domestic supply,1.079,Southern
AN,elect_td_res,elect_td_res,elect_td_res,2065,electricity domestic supply,1.0785,Southern
AN,elect_td_res,elect_td_res,elect_td_res,2070,electricity domestic supply,1.078,Southern
AN,elect_td_res,elect_td_res,elect_td_res,2075,electricity domestic supply,1.0775,Southern
AN,elect_td_res,elect_td_res,elect_td_res,2080,electricity domestic supply,1.077,Southern
AN,elect_td_res,elect_td_res,elect_td_res,2085,electricity domestic supply,1.0765,Southern
AN,elect_td_res,elect_td_res,elect_td_res,2090,electricity domestic supply,1.076,Southern
AN,elect_td_res,elect_td_res,elect_td_res,2095,electricity domestic supply,1.0755,Southern
AN,elect_td_res,elect_td_res,elect_td_res,2100,electricity domestic supply,1.075,Southern
AN,elect_td_trn,elect_td_trn,elect_td_trn,2015,electricity domestic supply,1.3,Southern
AN,elect_td_trn,elect_td_trn,elect_td_trn,2020,electricity domestic supply,1.268571429,Southern
AN,elect_td_trn,elect_td_trn,elect_td_trn,2025,electricity domestic supply,1.237142857,Southern
AN,elect_td_trn,elect_td_trn,elect_td_trn,2030,electricity domestic supply,1.205714286,Southern
AN,elect_td_trn,elect_td_trn,elect_td_trn,2035,electricity domestic supply,1.174285714,Southern
AN,elect_td_trn,elect_td_trn,elect_td_trn,2040,electricity domestic supply,1.142857143,Southern
AN,elect_td_trn,elect_td_trn,elect_td_trn,2045,electricity domestic supply,1.111428571,Southern
AN,elect_td_trn,elect_td_trn,elect_td_trn,2050,electricity domestic supply,1.08,Southern
AN,elect_td_trn,elect_td_trn,elect_td_trn,2055,electricity domestic supply,1.0795,Southern
AN,elect_td_trn,elect_td_trn,elect_td_trn,2060,electricity domestic supply,1.079,Southern
AN,elect_td_trn,elect_td_trn,elect_td_trn,2065,electricity domestic supply,1.0785,Southern
AN,elect_td_trn,elect_td_trn,elect_td_trn,2070,electricity domestic supply,1.078,Southern
AN,elect_td_trn,elect_td_trn,elect_td_trn,2075,electricity domestic supply,1.0775,Southern
AN,elect_td_trn,elect_td_trn,elect_td_trn,2080,electricity domestic supply,1.077,Southern
AN,elect_td_trn,elect_td_trn,elect_td_trn,2085,electricity domestic supply,1.0765,Southern
AN,elect_td_trn,elect_td_trn,elect_td_trn,2090,electricity domestic supply,1.076,Southern
AN,elect_td_trn,elect_td_trn,elect_td_trn,2095,electricity domestic supply,1.0755,Southern
AN,elect_td_trn,elect_td_trn,elect_td_trn,2100,electricity domestic supply,1.075,Southern
AP,elect_td_com,elect_td_com,elect_td_com,2015,electricity domestic supply,1.3,Southern
AP,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.268571429,Southern
AP,elect_td_com,elect_td_com,elect_td_com,2025,electricity domestic supply,1.237142857,Southern
AP,elect_td_com,elect_td_com,elect_td_com,2030,electricity domestic supply,1.205714286,Southern
AP,elect_td_com,elect_td_com,elect_td_com,2035,electricity domestic supply,1.174285714,Southern
AP,elect_td_com,elect_td_com,elect_td_com,2040,electricity domestic supply,1.142857143,Southern
AP,elect_td_com,elect_td_com,elect_td_com,2045,electricity domestic supply,1.111428571,Southern
AP,elect_td_com,elect_td_com,elect_td_com,2050,electricity domestic supply,1.08,Southern
AP,elect_td_com,elect_td_com,elect_td_com,2055,electricity domestic supply,1.0795,Southern
AP,elect_td_com,elect_td_com,elect_td_com,2060,electricity domestic supply,1.079,Southern
AP,elect_td_com,elect_td_com,elect_td_com,2065,electricity domestic supply,1.0785,Southern
AP,elect_td_com,elect_td_com,elect_td_com,2070,electricity domestic supply,1.078,Southern
AP,elect_td_com,elect_td_com,elect_td_com,2075,electricity domestic supply,1.0775,Southern
AP,elect_td_com,elect_td_com,elect_td_com,2080,electricity domestic supply,1.077,Southern
AP,elect_td_com,elect_td_com,elect_td_com,2085,electricity domestic supply,1.0765,Southern
AP,elect_td_com,elect_td_com,elect_td_com,2090,electricity domestic supply,1.076,Southern
AP,elect_td_com,elect_td_com,elect_td_com,2095,electricity domestic supply,1.0755,Southern
AP,elect_td_com,elect_td_com,elect_td_com,2100,electricity domestic supply,1.075,Southern
AP,elect_td_ind,elect_td_ind,elect_td_ind,2015,electricity domestic supply,1.3,Southern
AP,elect_td_ind,elect_td_ind,elect_td_ind,2020,electricity domestic supply,1.268571429,Southern
AP,elect_td_ind,elect_td_ind,elect_td_ind,2025,electricity domestic supply,1.237142857,Southern
AP,elect_td_ind,elect_td_ind,elect_td_ind,2030,electricity domestic supply,1.205714286,Southern
AP,elect_td_ind,elect_td_ind,elect_td_ind,2035,electricity domestic supply,1.174285714,Southern
AP,elect_td_ind,elect_td_ind,elect_td_ind,2040,electricity domestic supply,1.142857143,Southern
AP,elect_td_ind,elect_td_ind,elect_td_ind,2045,electricity domestic supply,1.111428571,Southern
AP,elect_td_ind,elect_td_ind,elect_td_ind,2050,electricity domestic supply,1.08,Southern
AP,elect_td_ind,elect_td_ind,elect_td_ind,2055,electricity domestic supply,1.0795,Southern
AP,elect_td_ind,elect_td_ind,elect_td_ind,2060,electricity domestic supply,1.079,Southern
AP,elect_td_ind,elect_td_ind,elect_td_ind,2065,electricity domestic supply,1.0785,Southern
AP,elect_td_ind,elect_td_ind,elect_td_ind,2070,electricity domestic supply,1.078,Southern
AP,elect_td_ind,elect_td_ind,elect_td_ind,2075,electricity domestic supply,1.0775,Southern
AP,elect_td_ind,elect_td_ind,elect_td_ind,2080,electricity domestic supply,1.077,Southern
AP,elect_td_ind,elect_td_ind,elect_td_ind,2085,electricity domestic supply,1.0765,Southern
AP,elect_td_ind,elect_td_ind,elect_td_ind,2090,electricity domestic supply,1.076,Southern
AP,elect_td_ind,elect_td_ind,elect_td_ind,2095,electricity domestic supply,1.0755,Southern
AP,elect_td_ind,elect_td_ind,elect_td_ind,2100,electricity domestic supply,1.075,Southern
AP,elect_td_res,elect_td_res,elect_td_res,2015,electricity domestic supply,1.3,Southern
AP,elect_td_res,elect_td_res,elect_td_res,2020,electricity domestic supply,1.268571429,Southern
AP,elect_td_res,elect_td_res,elect_td_res,2025,electricity domestic supply,1.237142857,Southern
AP,elect_td_res,elect_td_res,elect_td_res,2030,electricity domestic supply,1.205714286,Southern
AP,elect_td_res,elect_td_res,elect_td_res,2035,electricity domestic supply,1.174285714,Southern
AP,elect_td_res,elect_td_res,elect_td_res,2040,electricity domestic supply,1.142857143,Southern
AP,elect_td_res,elect_td_res,elect_td_res,2045,electricity domestic supply,1.111428571,Southern
AP,elect_td_res,elect_td_res,elect_td_res,2050,electricity domestic supply,1.08,Southern
AP,elect_td_res,elect_td_res,elect_td_res,2055,electricity domestic supply,1.0795,Southern
AP,elect_td_res,elect_td_res,elect_td_res,2060,electricity domestic supply,1.079,Southern
AP,elect_td_res,elect_td_res,elect_td_res,2065,electricity domestic supply,1.0785,Southern
AP,elect_td_res,elect_td_res,elect_td_res,2070,electricity domestic supply,1.078,Southern
AP,elect_td_res,elect_td_res,elect_td_res,2075,electricity domestic supply,1.0775,Southern
AP,elect_td_res,elect_td_res,elect_td_res,2080,electricity domestic supply,1.077,Southern
AP,elect_td_res,elect_td_res,elect_td_res,2085,electricity domestic supply,1.0765,Southern
AP,elect_td_res,elect_td_res,elect_td_res,2090,electricity domestic supply,1.076,Southern
AP,elect_td_res,elect_td_res,elect_td_res,2095,electricity domestic supply,1.0755,Southern
AP,elect_td_res,elect_td_res,elect_td_res,2100,electricity domestic supply,1.075,Southern
AP,elect_td_trn,elect_td_trn,elect_td_trn,2015,electricity domestic supply,1.3,Southern
AP,elect_td_trn,elect_td_trn,elect_td_trn,2020,electricity domestic supply,1.268571429,Southern
AP,elect_td_trn,elect_td_trn,elect_td_trn,2025,electricity domestic supply,1.237142857,Southern
AP,elect_td_trn,elect_td_trn,elect_td_trn,2030,electricity domestic supply,1.205714286,Southern
AP,elect_td_trn,elect_td_trn,elect_td_trn,2035,electricity domestic supply,1.174285714,Southern
AP,elect_td_trn,elect_td_trn,elect_td_trn,2040,electricity domestic supply,1.142857143,Southern
AP,elect_td_trn,elect_td_trn,elect_td_trn,2045,electricity domestic supply,1.111428571,Southern
AP,elect_td_trn,elect_td_trn,elect_td_trn,2050,electricity domestic supply,1.08,Southern
