INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
StubTechCoef,,,,,,,
,,,,,,,
region,supplysector,subsector,stub.technology,year,minicam.energy.input,coefficient,market.name
AN,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.167857364,Southern
AP,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.156447154,Southern
AR,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.367150518,North-Eastern
AS,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.226770074,North-Eastern
BR,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.354330008,Eastern
CG,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.245556523,Western
CH,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.167989927,Northern
DD,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.249692384,Western
DL,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.183048086,Northern
DN,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.099037869,Western
GA,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.142875505,Western
GJ,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.169692756,Western
HP,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.177677341,Northern
HR,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.272600595,Northern
JH,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.153779791,Eastern
JK,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.40002347,Northern
KA,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.107172521,Southern
KL,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.132756705,Southern
LA,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.40002347,Northern
LD,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.05175,Southern
MH,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.177452195,Western
ML,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.269068145,North-Eastern
MN,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.330228915,North-Eastern
MP,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.257912561,Western
MZ,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.321683222,North-Eastern
NL,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.229487278,North-Eastern
OD,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.326299819,Eastern
PB,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.163929331,Northern
PC,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.134586147,Southern
RJ,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.233508264,Northern
SK,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.215046637,Eastern
TN,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.105230692,Southern
TR,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.280599202,North-Eastern
TS,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.144216804,Southern
UK,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.210969477,Northern
UP,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.223469743,Northern
WB,elect_td_com,elect_td_com,elect_td_com,2020,electricity domestic supply,1.205396735,Eastern
AN,elect_td_com,elect_td_com,elect_td_com,2025,electricity domestic supply,1.148353796,Southern
AP,elect_td_com,elect_td_com,elect_td_com,2025,electricity domestic supply,1.139901183,Southern
AR,elect_td_com,elect_td_com,elect_td_com,2025,electricity domestic supply,1.284807738,North-Eastern
AS,elect_td_com,elect_td_com,elect_td_com,2025,electricity domestic supply,1.190620578,North-Eastern
BR,elect_td_com,elect_td_com,elect_td_com,2025,electricity domestic supply,1.276495633,Eastern
CG,elect_td_com,elect_td_com,elect_td_com,2025,electricity domestic supply,1.203692276,Western
CH,elect_td_com,elect_td_com,elect_td_com,2025,electricity domestic supply,1.148451423,Northern
DD,elect_td_com,elect_td_com,elect_td_com,2025,electricity domestic supply,1.206547247,Western
