INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
RegionTechCapital,,,,,,,
,,,,,,,
region,supplysector,subsector,stub.technology,year,input.capital,capital.overnight,fixed.charge.rate
AN,electricity,solar,CSP,1975,capital,518.3763285,0.169676934
AN,electricity,solar,CSP,1990,capital,518.3763285,0.169676934
AN,electricity,solar,CSP,2005,capital,518.3763285,0.169676934
AN,electricity,solar,CSP,2010,capital,518.3763285,0.169676934
AN,electricity,solar,CSP,2015,capital,518.3763285,0.169676934
AN,electricity,solar,CSP,2020,capital,492.4575121,0.1681847
AN,electricity,solar,CSP,2025,capital,464.4651903,0.189896095
AN,electricity,solar,CSP,2030,capital,448.0430282,0.192764853
AN,electricity,solar,CSP,2035,capital,436.7117364,0.197738926
AN,electricity,solar,CSP,2040,capital,431.3860292,0.204512755
AN,electricity,solar,CSP,2045,capital,427.9420719,0.207304548
AN,electricity,solar,CSP,2050,capital,424.5669938,0.213789987
AN,electricity,solar,CSP,2055,capital,420.3213238,0.210249325
AN,electricity,solar,CSP,2060,capital,416.1181106,0.207250871
AN,electricity,solar,CSP,2065,capital,411.9569295,0.20438564
AN,electricity,solar,CSP,2070,capital,407.8373602,0.220807498
AN,electricity,solar,CSP,2075,capital,403.7589866,0.221341027
AN,electricity,solar,CSP,2080,capital,399.7213967,0.221862423
AN,electricity,solar,CSP,2085,capital,395.7241828,0.222372154
AN,electricity,solar,CSP,2090,capital,391.7669409,0.222869157
AN,electricity,solar,CSP,2095,capital,387.8492715,0.223353511
AN,electricity,solar,CSP,2100,capital,383.9707788,0.223825309
AP,electricity,solar,CSP,1975,capital,518,0.169676934
AP,electricity,solar,CSP,1990,capital,518,0.169676934
AP,electricity,solar,CSP,2005,capital,518,0.169676934
AP,electricity,solar,CSP,2010,capital,518,0.169676934
AP,electricity,solar,CSP,2015,capital,518.3763285,0.169676934
AP,electricity,solar,CSP,2020,capital,492.4575121,0.1681847
AP,electricity,solar,CSP,2025,capital,464.4651903,0.189896095
AP,electricity,solar,CSP,2030,capital,448.0430282,0.192764853
AP,electricity,solar,CSP,2035,capital,436.7117364,0.197738926
AP,electricity,solar,CSP,2040,capital,431.3860292,0.204512755
AP,electricity,solar,CSP,2045,capital,427.9420719,0.207304548
AP,electricity,solar,CSP,2050,capital,424.5669938,0.213789987
AP,electricity,solar,CSP,2055,capital,420.3213238,0.210249325
AP,electricity,solar,CSP,2060,capital,416.1181106,0.207250871
AP,electricity,solar,CSP,2065,capital,411.9569295,0.20438564
AP,electricity,solar,CSP,2070,capital,407.8373602,0.220807498
AP,electricity,solar,CSP,2075,capital,403.7589866,0.221341027
AP,electricity,solar,CSP,2080,capital,399.7213967,0.221862423
AP,electricity,solar,CSP,2085,capital,395.7241828,0.222372154
AP,electricity,solar,CSP,2090,capital,391.7669409,0.222869157
AP,electricity,solar,CSP,2095,capital,387.8492715,0.223353511
AP,electricity,solar,CSP,2100,capital,383.9707788,0.223825309
AR,electricity,solar,CSP,1975,capital,518,0.169676934
AR,electricity,solar,CSP,1990,capital,518,0.169676934
AR,electricity,solar,CSP,2005,capital,518,0.169676934
AR,electricity,solar,CSP,2010,capital,518,0.169676934
AR,electricity,solar,CSP,2015,capital,518.3763285,0.169676934
AR,electricity,solar,CSP,2020,capital,492.4575121,0.1681847
AR,electricity,solar,CSP,2025,capital,464.4651903,0.189896095
AR,electricity,solar,CSP,2030,capital,448.0430282,0.192764853
AR,electricity,solar,CSP,2035,capital,436.7117364,0.197738926
AR,electricity,solar,CSP,2040,capital,431.3860292,0.204512755
AR,electricity,solar,CSP,2045,capital,427.9420719,0.207304548
AR,electricity,solar,CSP,2050,capital,424.5669938,0.213789987
AR,electricity,solar,CSP,2055,capital,420.3213238,0.210249325
AR,electricity,solar,CSP,2060,capital,416.1181106,0.207250871
AR,electricity,solar,CSP,2065,capital,411.9569295,0.20438564
AR,electricity,solar,CSP,2070,capital,407.8373602,0.220807498
AR,electricity,solar,CSP,2075,capital,403.7589866,0.221341027
