INPUT_TABLE
Variable ID
RegionTechCapital

region,supplysector,subsector,technology,year,input.capital,capital.overnight,fixed.charge.rate
AN,electricity,coal,coal (conv pul),2015,capital,302,0.418
AP,electricity,coal,coal (conv pul),2015,capital,302,0.365
AS,electricity,coal,coal (conv pul),2015,capital,302,0.436
AR,electricity,coal,coal (conv pul),2015,capital,302,0.459
BR,electricity,coal,coal (conv pul),2015,capital,302,0.436
CG,electricity,coal,coal (conv pul),2015,capital,302,0.323
CH,electricity,coal,coal (conv pul),2015,capital,302,0.262
DD,electricity,coal,coal (conv pul),2015,capital,302,0.285
DL,electricity,coal,coal (conv pul),2015,capital,302,0.367
DN,electricity,coal,coal (conv pul),2015,capital,302,0.365
GA,electricity,coal,coal (conv pul),2015,capital,302,0.259
GJ,electricity,coal,coal (conv pul),2015,capital,302,0.367
HP,electricity,coal,coal (conv pul),2015,capital,302,0.368
HR,electricity,coal,coal (conv pul),2015,capital,302,0.365
JK,electricity,coal,coal (conv pul),2015,capital,302,0.367
JH,electricity,coal,coal (conv pul),2015,capital,302,0.365
KA,electricity,coal,coal (conv pul),2015,capital,302,0.511
KL,electricity,coal,coal (conv pul),2015,capital,302,0.365
LA,electricity,coal,coal (conv pul),2015,capital,302,0.436
LD,electricity,coal,coal (conv pul),2015,capital,302,0.436
MH,electricity,coal,coal (conv pul),2015,capital,302,0.365
ML,electricity,coal,coal (conv pul),2015,capital,302,0.797
MN,electricity,coal,coal (conv pul),2015,capital,302,0.836
MP,electricity,coal,coal (conv pul),2015,capital,302,0.365
MZ,electricity,coal,coal (conv pul),2015,capital,302,0.4
NL,electricity,coal,coal (conv pul),2015,capital,302,0.4
OD,electricity,coal,coal (conv pul),2015,capital,302,0.194
PB,electricity,coal,coal (conv pul),2015,capital,302,0.365
PC,electricity,coal,coal (conv pul),2015,capital,302,0.468
RJ,electricity,coal,coal (conv pul),2015,capital,302,0.367
SK,electricity,coal,coal (conv pul),2015,capital,302,0.457
TN,electricity,coal,coal (conv pul),2015,capital,302,0.365
TS,electricity,coal,coal (conv pul),2015,capital,302,0.952
TR,electricity,coal,coal (conv pul),2015,capital,302,0.365
UK,electricity,coal,coal (conv pul),2015,capital,302,0.365
UP,electricity,coal,coal (conv pul),2015,capital,302,0.365
WB,electricity,coal,coal (conv pul),2015,capital,302,0.537
AN,electricity,coal,coal (conv pul),2020,capital,302,1895.209208
AP,electricity,coal,coal (conv pul),2020,capital,302,1645.530732
AS,electricity,coal,coal (conv pul),2020,capital,302,1982.517426
AR,electricity,coal,coal (conv pul),2020,capital,302,2093.713024
BR,electricity,coal,coal (conv pul),2020,capital,302,1982.517426
CG,electricity,coal,coal (conv pul),2020,capital,302,1443.302678
CH,electricity,coal,coal (conv pul),2020,capital,302,1153.686953
DD,electricity,coal,coal (conv pul),2020,capital,302,1261.716326
DL,electricity,coal,coal (conv pul),2020,capital,302,1653.634146
