INPUT_TABLE,,,,,,,,,
Variable ID,,,,,,,,,
StateCCUSShareweight,,,,,,,,,
,,,,,,,,,
region,supplysector,subsector,technology,apply.to,from.year,to.year,from.value,to-value,interpolation.function
AN,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
AN,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
AN,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
AP,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
AP,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
AP,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
AR,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
AR,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
AR,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
AS,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
AS,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
AS,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
BR,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
BR,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
BR,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
CG,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
CG,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
CG,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
CH,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
CH,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
CH,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
DD,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
DD,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
DD,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
DL,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
DL,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
DL,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
DN,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
DN,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
DN,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
GA,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
GA,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
GA,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
GJ,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
GJ,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
GJ,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
HP,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
HP,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
HP,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
HR,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
HR,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
HR,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
JH,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
JH,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
JH,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
JK,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
JK,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
JK,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
KA,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
KA,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
KA,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
KL,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
KL,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
KL,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
LA,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
LA,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
LA,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
LD,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
LD,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
LD,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
MH,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
MH,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
MH,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
ML,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
ML,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
ML,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
MN,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
MN,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
MN,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
MP,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
MP,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
MP,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
MZ,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
MZ,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
MZ,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
NL,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
NL,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
NL,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
OD,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
OD,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
OD,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
PB,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
PB,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
PB,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
PC,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
PC,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
PC,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
RJ,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
RJ,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
RJ,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
SK,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
SK,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
SK,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
TN,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
TN,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
TN,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
TR,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
TR,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
TR,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
TS,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
TS,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
TS,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
UK,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
UK,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
UK,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
UP,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
UP,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
UP,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
WB,electricity,biomass,biomass (IGCC CCS),share-weight,2010,2050,0,1,linear
WB,electricity,biomass,biomass (IGCC CCS),share-weight,2045,2100,1,1,fixed
WB,electricity,biomass,biomass (IGCC CCS),share-weight,2095,2100,1,1,fixed
AN,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
AN,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
AN,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
AP,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
AP,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
AP,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
AR,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
AR,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
AR,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
AS,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
AS,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
AS,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
BR,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
BR,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
BR,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
CG,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
CG,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
CG,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
CH,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
CH,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
CH,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
DD,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
DD,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
DD,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
DL,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
DL,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
DL,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
DN,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
DN,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
DN,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
GA,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
GA,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
GA,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
GJ,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
GJ,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
GJ,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
HP,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
HP,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
HP,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
HR,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
HR,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
HR,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
JH,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
JH,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
JH,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
JK,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
JK,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
JK,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
KA,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
KA,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
KA,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
KL,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
KL,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
KL,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
LA,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
LA,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
LA,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
LD,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
LD,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
LD,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
MH,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
MH,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
MH,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
ML,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
ML,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
ML,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
MN,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
MN,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
MN,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
MP,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
MP,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
MP,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
MZ,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
MZ,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
MZ,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
NL,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
NL,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
NL,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
OD,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
OD,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
OD,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
PB,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
PB,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
PB,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
PC,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
PC,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
PC,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
RJ,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
RJ,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
RJ,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
SK,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
SK,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
SK,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
TN,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
TN,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
TN,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
TR,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
TR,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
TR,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
TS,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
TS,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
TS,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
UK,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
UK,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
UK,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
UP,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
UP,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
UP,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
WB,electricity,biomass,biomass (conv CCS),share-weight,2010,2050,0,1,linear
WB,electricity,biomass,biomass (conv CCS),share-weight,2045,2100,1,1,fixed
WB,electricity,biomass,biomass (conv CCS),share-weight,2095,2100,1,1,fixed
AN,electricity,coal,coal (IGCC CCS),share-weight,2010,2050,0,1,linear
AN,electricity,coal,coal (IGCC CCS),share-weight,2045,2100,1,1,fixed
AN,electricity,coal,coal (IGCC CCS),share-weight,2095,2100,1,1,fixed
AP,electricity,coal,coal (IGCC CCS),share-weight,2010,2050,0,1,linear
