INPUT_TABLE,,,,,,
Variable ID,,,,,,
RegionFuelAdder,,,,,,
,,,,,,
region,supplysector,subsector,technology,year,minicam-non-energy-input,input-cost
AN,electricity,solar,PV,1975,tax,0
AN,electricity,solar,PV,1990,tax,0
AN,electricity,solar,PV,2005,tax,0
AN,electricity,solar,PV,2010,tax,0
AN,electricity,solar,PV,2015,tax,0
AN,electricity,solar,PV,2020,tax,0
AN,electricity,solar,PV,2025,tax,0
AN,electricity,solar,PV,2030,tax,0
AN,electricity,solar,PV,2035,tax,0
AN,electricity,solar,PV,2040,tax,0
AN,electricity,solar,PV,2045,tax,0
AN,electricity,solar,PV,2050,tax,0
AN,electricity,solar,PV,2055,tax,0
AN,electricity,solar,PV,2060,tax,0
AN,electricity,solar,PV,2065,tax,0
AN,electricity,solar,PV,2070,tax,0
AN,electricity,solar,PV,2075,tax,0
AN,electricity,solar,PV,2080,tax,0
AN,electricity,solar,PV,2085,tax,0
AN,electricity,solar,PV,2090,tax,0
AN,electricity,solar,PV,2095,tax,0
AN,electricity,solar,PV,2100,tax,0
NL,electricity,solar,PV,1975,tax,0
NL,electricity,solar,PV,1990,tax,0
NL,electricity,solar,PV,2005,tax,0
NL,electricity,solar,PV,2010,tax,0
NL,electricity,solar,PV,2015,tax,0
NL,electricity,solar,PV,2020,tax,0
NL,electricity,solar,PV,2025,tax,0
NL,electricity,solar,PV,2030,tax,0
NL,electricity,solar,PV,2035,tax,0
NL,electricity,solar,PV,2040,tax,0
NL,electricity,solar,PV,2045,tax,0
NL,electricity,solar,PV,2050,tax,0
NL,electricity,solar,PV,2055,tax,0
NL,electricity,solar,PV,2060,tax,0
NL,electricity,solar,PV,2065,tax,0
NL,electricity,solar,PV,2070,tax,0
NL,electricity,solar,PV,2075,tax,0
NL,electricity,solar,PV,2080,tax,0
NL,electricity,solar,PV,2085,tax,0
NL,electricity,solar,PV,2090,tax,0
NL,electricity,solar,PV,2095,tax,0
NL,electricity,solar,PV,2100,tax,0
AP,electricity,solar,PV,1975,tax,0
AP,electricity,solar,PV,1990,tax,0
AP,electricity,solar,PV,2005,tax,0
AP,electricity,solar,PV,2010,tax,0
AP,electricity,solar,PV,2015,tax,0
AP,electricity,solar,PV,2020,tax,0
AP,electricity,solar,PV,2025,tax,0
AP,electricity,solar,PV,2030,tax,0
AP,electricity,solar,PV,2035,tax,0
