INPUT_TABLE
Variable ID
RegionIntTechCapital

region,supplysector,subsector,intermittent.technology,year,input.capital,capital.overnight,fixed.charge.rate
AN,electricity,solar,PV,2015,capital,289,0.043951075
AP,electricity,solar,PV,2015,capital,289,0.043951075
AR,electricity,solar,PV,2015,capital,289,0.043951075
AS,electricity,solar,PV,2015,capital,289,0.043951075
BR,electricity,solar,PV,2015,capital,289,0.043951075
CG,electricity,solar,PV,2015,capital,289,0.043951075
CH,electricity,solar,PV,2015,capital,289,0.043951075
DD,electricity,solar,PV,2015,capital,289,0.043951075
DL,electricity,solar,PV,2015,capital,289,0.043951075
DN,electricity,solar,PV,2015,capital,289,0.043951075
GA,electricity,solar,PV,2015,capital,289,0.043951075
GJ,electricity,solar,PV,2015,capital,289,0.043951075
HP,electricity,solar,PV,2015,capital,289,0.043951075
HR,electricity,solar,PV,2015,capital,289,0.043951075
JH,electricity,solar,PV,2015,capital,289,0.043951075
JK,electricity,solar,PV,2015,capital,289,0.043951075
KA,electricity,solar,PV,2015,capital,289,0.043951075
KL,electricity,solar,PV,2015,capital,289,0.043951075
LA,electricity,solar,PV,2015,capital,289,0.043951075
LD,electricity,solar,PV,2015,capital,289,0.043951075
MH,electricity,solar,PV,2015,capital,289,0.043951075
ML,electricity,solar,PV,2015,capital,289,0.043951075
MN,electricity,solar,PV,2015,capital,289,0.043951075
MP,electricity,solar,PV,2015,capital,289,0.043951075
MZ,electricity,solar,PV,2015,capital,289,0.043951075
NL,electricity,solar,PV,2015,capital,289,0.043951075
OD,electricity,solar,PV,2015,capital,289,0.043951075
PB,electricity,solar,PV,2015,capital,289,0.043951075
PC,electricity,solar,PV,2015,capital,289,0.043951075
RJ,electricity,solar,PV,2015,capital,289,0.043951075
SK,electricity,solar,PV,2015,capital,289,0.043951075
TN,electricity,solar,PV,2015,capital,289,0.043951075
TR,electricity,solar,PV,2015,capital,289,0.043951075
TS,electricity,solar,PV,2015,capital,289,0.043951075
UK,electricity,solar,PV,2015,capital,289,0.043951075
UP,electricity,solar,PV,2015,capital,289,0.043951075
WB,electricity,solar,PV,2015,capital,289,0.043951075
AN,electricity,solar,PV,2020,capital,151,0.080825396
AP,electricity,solar,PV,2020,capital,151,0.080825396
AR,electricity,solar,PV,2020,capital,151,0.080825396
AS,electricity,solar,PV,2020,capital,151,0.080825396
BR,electricity,solar,PV,2020,capital,151,0.080825396
CG,electricity,solar,PV,2020,capital,151,0.080825396
CH,electricity,solar,PV,2020,capital,151,0.080825396
DD,electricity,solar,PV,2020,capital,151,0.080825396
DL,electricity,solar,PV,2020,capital,151,0.080825396
DN,electricity,solar,PV,2020,capital,151,0.080825396
GA,electricity,solar,PV,2020,capital,151,0.080825396
GJ,electricity,solar,PV,2020,capital,151,0.080825396
HP,electricity,solar,PV,2020,capital,151,0.080825396
HR,electricity,solar,PV,2020,capital,151,0.080825396
JH,electricity,solar,PV,2020,capital,151,0.080825396
JK,electricity,solar,PV,2020,capital,151,0.080825396
KA,electricity,solar,PV,2020,capital,151,0.080825396
KL,electricity,solar,PV,2020,capital,151,0.080825396
LA,electricity,solar,PV,2020,capital,151,0.080825396
LD,electricity,solar,PV,2020,capital,151,0.080825396
MH,electricity,solar,PV,2020,capital,151,0.080825396
ML,electricity,solar,PV,2020,capital,151,0.080825396
MN,electricity,solar,PV,2020,capital,151,0.080825396
MP,electricity,solar,PV,2020,capital,151,0.080825396
MZ,electricity,solar,PV,2020,capital,151,0.080825396
NL,electricity,solar,PV,2020,capital,151,0.080825396
OD,electricity,solar,PV,2020,capital,151,0.080825396
PB,electricity,solar,PV,2020,capital,151,0.080825396
PC,electricity,solar,PV,2020,capital,151,0.080825396
RJ,electricity,solar,PV,2020,capital,151,0.080825396
SK,electricity,solar,PV,2020,capital,151,0.080825396
TN,electricity,solar,PV,2020,capital,151,0.080825396
TR,electricity,solar,PV,2020,capital,151,0.080825396
TS,electricity,solar,PV,2020,capital,151,0.080825396
UK,electricity,solar,PV,2020,capital,151,0.080825396
UP,electricity,solar,PV,2020,capital,151,0.080825396
WB,electricity,solar,PV,2020,capital,151,0.080825396
AN,electricity,solar,PV,2025,capital,136,0.089739961
AP,electricity,solar,PV,2025,capital,136,0.089739961
AR,electricity,solar,PV,2025,capital,136,0.089739961
AS,electricity,solar,PV,2025,capital,136,0.089739961
BR,electricity,solar,PV,2025,capital,136,0.089739961
CG,electricity,solar,PV,2025,capital,136,0.089739961
CH,electricity,solar,PV,2025,capital,136,0.089739961
DD,electricity,solar,PV,2025,capital,136,0.089739961
DL,electricity,solar,PV,2025,capital,136,0.089739961
DN,electricity,solar,PV,2025,capital,136,0.089739961
GA,electricity,solar,PV,2025,capital,136,0.089739961
GJ,electricity,solar,PV,2025,capital,136,0.089739961
HP,electricity,solar,PV,2025,capital,136,0.089739961
HR,electricity,solar,PV,2025,capital,136,0.089739961
JH,electricity,solar,PV,2025,capital,136,0.089739961
JK,electricity,solar,PV,2025,capital,136,0.089739961
KA,electricity,solar,PV,2025,capital,136,0.089739961
KL,electricity,solar,PV,2025,capital,136,0.089739961
LA,electricity,solar,PV,2025,capital,136,0.089739961
LD,electricity,solar,PV,2025,capital,136,0.089739961
MH,electricity,solar,PV,2025,capital,136,0.089739961
ML,electricity,solar,PV,2025,capital,136,0.089739961
MN,electricity,solar,PV,2025,capital,136,0.089739961
MP,electricity,solar,PV,2025,capital,136,0.089739961
MZ,electricity,solar,PV,2025,capital,136,0.089739961
NL,electricity,solar,PV,2025,capital,136,0.089739961
OD,electricity,solar,PV,2025,capital,136,0.089739961
PB,electricity,solar,PV,2025,capital,136,0.089739961
PC,electricity,solar,PV,2025,capital,136,0.089739961
RJ,electricity,solar,PV,2025,capital,136,0.089739961
SK,electricity,solar,PV,2025,capital,136,0.089739961
TN,electricity,solar,PV,2025,capital,136,0.089739961
TR,electricity,solar,PV,2025,capital,136,0.089739961
TS,electricity,solar,PV,2025,capital,136,0.089739961
UK,electricity,solar,PV,2025,capital,136,0.089739961
UP,electricity,solar,PV,2025,capital,136,0.089739961
WB,electricity,solar,PV,2025,capital,136,0.089739961
AN,electricity,solar,PV,2030,capital,116,0.105212368
AP,electricity,solar,PV,2030,capital,116,0.105212368
AR,electricity,solar,PV,2030,capital,116,0.105212368
AS,electricity,solar,PV,2030,capital,116,0.105212368
BR,electricity,solar,PV,2030,capital,116,0.105212368
CG,electricity,solar,PV,2030,capital,116,0.105212368
CH,electricity,solar,PV,2030,capital,116,0.105212368
DD,electricity,solar,PV,2030,capital,116,0.105212368
DL,electricity,solar,PV,2030,capital,116,0.105212368
DN,electricity,solar,PV,2030,capital,116,0.105212368
GA,electricity,solar,PV,2030,capital,116,0.105212368
GJ,electricity,solar,PV,2030,capital,116,0.105212368
HP,electricity,solar,PV,2030,capital,116,0.105212368
HR,electricity,solar,PV,2030,capital,116,0.105212368
JH,electricity,solar,PV,2030,capital,116,0.105212368
JK,electricity,solar,PV,2030,capital,116,0.105212368
KA,electricity,solar,PV,2030,capital,116,0.105212368
KL,electricity,solar,PV,2030,capital,116,0.105212368
LA,electricity,solar,PV,2030,capital,116,0.105212368
LD,electricity,solar,PV,2030,capital,116,0.105212368
MH,electricity,solar,PV,2030,capital,116,0.105212368
ML,electricity,solar,PV,2030,capital,116,0.105212368
MN,electricity,solar,PV,2030,capital,116,0.105212368
MP,electricity,solar,PV,2030,capital,116,0.105212368
MZ,electricity,solar,PV,2030,capital,116,0.105212368
NL,electricity,solar,PV,2030,capital,116,0.105212368
OD,electricity,solar,PV,2030,capital,116,0.105212368
PB,electricity,solar,PV,2030,capital,116,0.105212368
PC,electricity,solar,PV,2030,capital,116,0.105212368
RJ,electricity,solar,PV,2030,capital,116,0.105212368
SK,electricity,solar,PV,2030,capital,116,0.105212368
TN,electricity,solar,PV,2030,capital,116,0.105212368
TR,electricity,solar,PV,2030,capital,116,0.105212368
TS,electricity,solar,PV,2030,capital,116,0.105212368
UK,electricity,solar,PV,2030,capital,116,0.105212368
UP,electricity,solar,PV,2030,capital,116,0.105212368
WB,electricity,solar,PV,2030,capital,116,0.105212368
AN,electricity,solar,PV,2035,capital,98,0.124537089
AP,electricity,solar,PV,2035,capital,98,0.124537089
AR,electricity,solar,PV,2035,capital,98,0.124537089
AS,electricity,solar,PV,2035,capital,98,0.124537089
BR,electricity,solar,PV,2035,capital,98,0.124537089
CG,electricity,solar,PV,2035,capital,98,0.124537089
CH,electricity,solar,PV,2035,capital,98,0.124537089
DD,electricity,solar,PV,2035,capital,98,0.124537089
DL,electricity,solar,PV,2035,capital,98,0.124537089
DN,electricity,solar,PV,2035,capital,98,0.124537089
GA,electricity,solar,PV,2035,capital,98,0.124537089
GJ,electricity,solar,PV,2035,capital,98,0.124537089
HP,electricity,solar,PV,2035,capital,98,0.124537089
HR,electricity,solar,PV,2035,capital,98,0.124537089
JH,electricity,solar,PV,2035,capital,98,0.124537089
JK,electricity,solar,PV,2035,capital,98,0.124537089
KA,electricity,solar,PV,2035,capital,98,0.124537089
KL,electricity,solar,PV,2035,capital,98,0.124537089
LA,electricity,solar,PV,2035,capital,98,0.124537089
LD,electricity,solar,PV,2035,capital,98,0.124537089
MH,electricity,solar,PV,2035,capital,98,0.124537089
ML,electricity,solar,PV,2035,capital,98,0.124537089
MN,electricity,solar,PV,2035,capital,98,0.124537089
MP,electricity,solar,PV,2035,capital,98,0.124537089
MZ,electricity,solar,PV,2035,capital,98,0.124537089
NL,electricity,solar,PV,2035,capital,98,0.124537089
OD,electricity,solar,PV,2035,capital,98,0.124537089
PB,electricity,solar,PV,2035,capital,98,0.124537089
PC,electricity,solar,PV,2035,capital,98,0.124537089
RJ,electricity,solar,PV,2035,capital,98,0.124537089
SK,electricity,solar,PV,2035,capital,98,0.124537089
TN,electricity,solar,PV,2035,capital,98,0.124537089
TR,electricity,solar,PV,2035,capital,98,0.124537089
TS,electricity,solar,PV,2035,capital,98,0.124537089
UK,electricity,solar,PV,2035,capital,98,0.124537089
UP,electricity,solar,PV,2035,capital,98,0.124537089
WB,electricity,solar,PV,2035,capital,98,0.124537089
AN,electricity,solar,PV,2040,capital,84,0.145293271
AP,electricity,solar,PV,2040,capital,84,0.145293271
AR,electricity,solar,PV,2040,capital,84,0.145293271
AS,electricity,solar,PV,2040,capital,84,0.145293271
BR,electricity,solar,PV,2040,capital,84,0.145293271
CG,electricity,solar,PV,2040,capital,84,0.145293271
CH,electricity,solar,PV,2040,capital,84,0.145293271
DD,electricity,solar,PV,2040,capital,84,0.145293271
DL,electricity,solar,PV,2040,capital,84,0.145293271
DN,electricity,solar,PV,2040,capital,84,0.145293271
GA,electricity,solar,PV,2040,capital,84,0.145293271
GJ,electricity,solar,PV,2040,capital,84,0.145293271
HP,electricity,solar,PV,2040,capital,84,0.145293271
HR,electricity,solar,PV,2040,capital,84,0.145293271
JH,electricity,solar,PV,2040,capital,84,0.145293271
JK,electricity,solar,PV,2040,capital,84,0.145293271
KA,electricity,solar,PV,2040,capital,84,0.145293271
KL,electricity,solar,PV,2040,capital,84,0.145293271
LA,electricity,solar,PV,2040,capital,84,0.145293271
LD,electricity,solar,PV,2040,capital,84,0.145293271
MH,electricity,solar,PV,2040,capital,84,0.145293271
ML,electricity,solar,PV,2040,capital,84,0.145293271
MN,electricity,solar,PV,2040,capital,84,0.145293271
MP,electricity,solar,PV,2040,capital,84,0.145293271
MZ,electricity,solar,PV,2040,capital,84,0.145293271
NL,electricity,solar,PV,2040,capital,84,0.145293271
OD,electricity,solar,PV,2040,capital,84,0.145293271
PB,electricity,solar,PV,2040,capital,84,0.145293271
PC,electricity,solar,PV,2040,capital,84,0.145293271
RJ,electricity,solar,PV,2040,capital,84,0.145293271
SK,electricity,solar,PV,2040,capital,84,0.145293271
TN,electricity,solar,PV,2040,capital,84,0.145293271
TR,electricity,solar,PV,2040,capital,84,0.145293271
TS,electricity,solar,PV,2040,capital,84,0.145293271
UK,electricity,solar,PV,2040,capital,84,0.145293271
UP,electricity,solar,PV,2040,capital,84,0.145293271
WB,electricity,solar,PV,2040,capital,84,0.145293271
AN,electricity,solar,PV,2045,capital,71,0.171896264
AP,electricity,solar,PV,2045,capital,71,0.171896264
AR,electricity,solar,PV,2045,capital,71,0.171896264
AS,electricity,solar,PV,2045,capital,71,0.171896264
BR,electricity,solar,PV,2045,capital,71,0.171896264
CG,electricity,solar,PV,2045,capital,71,0.171896264
CH,electricity,solar,PV,2045,capital,71,0.171896264
DD,electricity,solar,PV,2045,capital,71,0.171896264
DL,electricity,solar,PV,2045,capital,71,0.171896264
DN,electricity,solar,PV,2045,capital,71,0.171896264
GA,electricity,solar,PV,2045,capital,71,0.171896264
GJ,electricity,solar,PV,2045,capital,71,0.171896264
HP,electricity,solar,PV,2045,capital,71,0.171896264
HR,electricity,solar,PV,2045,capital,71,0.171896264
JH,electricity,solar,PV,2045,capital,71,0.171896264
JK,electricity,solar,PV,2045,capital,71,0.171896264
KA,electricity,solar,PV,2045,capital,71,0.171896264
KL,electricity,solar,PV,2045,capital,71,0.171896264
LA,electricity,solar,PV,2045,capital,71,0.171896264
LD,electricity,solar,PV,2045,capital,71,0.171896264
MH,electricity,solar,PV,2045,capital,71,0.171896264
ML,electricity,solar,PV,2045,capital,71,0.171896264
MN,electricity,solar,PV,2045,capital,71,0.171896264
MP,electricity,solar,PV,2045,capital,71,0.171896264
MZ,electricity,solar,PV,2045,capital,71,0.171896264
NL,electricity,solar,PV,2045,capital,71,0.171896264
OD,electricity,solar,PV,2045,capital,71,0.171896264
PB,electricity,solar,PV,2045,capital,71,0.171896264
PC,electricity,solar,PV,2045,capital,71,0.171896264
RJ,electricity,solar,PV,2045,capital,71,0.171896264
SK,electricity,solar,PV,2045,capital,71,0.171896264
TN,electricity,solar,PV,2045,capital,71,0.171896264
TR,electricity,solar,PV,2045,capital,71,0.171896264
TS,electricity,solar,PV,2045,capital,71,0.171896264
UK,electricity,solar,PV,2045,capital,71,0.171896264
UP,electricity,solar,PV,2045,capital,71,0.171896264
WB,electricity,solar,PV,2045,capital,71,0.171896264
AN,electricity,solar,PV,2050,capital,60,0.203410579
AP,electricity,solar,PV,2050,capital,60,0.203410579
AR,electricity,solar,PV,2050,capital,60,0.203410579
AS,electricity,solar,PV,2050,capital,60,0.203410579
BR,electricity,solar,PV,2050,capital,60,0.203410579
CG,electricity,solar,PV,2050,capital,60,0.203410579
CH,electricity,solar,PV,2050,capital,60,0.203410579
DD,electricity,solar,PV,2050,capital,60,0.203410579
DL,electricity,solar,PV,2050,capital,60,0.203410579
DN,electricity,solar,PV,2050,capital,60,0.203410579
GA,electricity,solar,PV,2050,capital,60,0.203410579
GJ,electricity,solar,PV,2050,capital,60,0.203410579
HP,electricity,solar,PV,2050,capital,60,0.203410579
HR,electricity,solar,PV,2050,capital,60,0.203410579
JH,electricity,solar,PV,2050,capital,60,0.203410579
JK,electricity,solar,PV,2050,capital,60,0.203410579
KA,electricity,solar,PV,2050,capital,60,0.203410579
KL,electricity,solar,PV,2050,capital,60,0.203410579
LA,electricity,solar,PV,2050,capital,60,0.203410579
LD,electricity,solar,PV,2050,capital,60,0.203410579
MH,electricity,solar,PV,2050,capital,60,0.203410579
ML,electricity,solar,PV,2050,capital,60,0.203410579
MN,electricity,solar,PV,2050,capital,60,0.203410579
MP,electricity,solar,PV,2050,capital,60,0.203410579
MZ,electricity,solar,PV,2050,capital,60,0.203410579
NL,electricity,solar,PV,2050,capital,60,0.203410579
OD,electricity,solar,PV,2050,capital,60,0.203410579
PB,electricity,solar,PV,2050,capital,60,0.203410579
PC,electricity,solar,PV,2050,capital,60,0.203410579
RJ,electricity,solar,PV,2050,capital,60,0.203410579
SK,electricity,solar,PV,2050,capital,60,0.203410579
TN,electricity,solar,PV,2050,capital,60,0.203410579
TR,electricity,solar,PV,2050,capital,60,0.203410579
TS,electricity,solar,PV,2050,capital,60,0.203410579
UK,electricity,solar,PV,2050,capital,60,0.203410579
UP,electricity,solar,PV,2050,capital,60,0.203410579
WB,electricity,solar,PV,2050,capital,60,0.203410579
AN,electricity,solar,PV,2055,capital,60,0.203410579
AP,electricity,solar,PV,2055,capital,60,0.203410579
AR,electricity,solar,PV,2055,capital,60,0.203410579
AS,electricity,solar,PV,2055,capital,60,0.203410579
BR,electricity,solar,PV,2055,capital,60,0.203410579
CG,electricity,solar,PV,2055,capital,60,0.203410579
CH,electricity,solar,PV,2055,capital,60,0.203410579
DD,electricity,solar,PV,2055,capital,60,0.203410579
DL,electricity,solar,PV,2055,capital,60,0.203410579
DN,electricity,solar,PV,2055,capital,60,0.203410579
GA,electricity,solar,PV,2055,capital,60,0.203410579
GJ,electricity,solar,PV,2055,capital,60,0.203410579
HP,electricity,solar,PV,2055,capital,60,0.203410579
HR,electricity,solar,PV,2055,capital,60,0.203410579
JH,electricity,solar,PV,2055,capital,60,0.203410579
JK,electricity,solar,PV,2055,capital,60,0.203410579
KA,electricity,solar,PV,2055,capital,60,0.203410579
KL,electricity,solar,PV,2055,capital,60,0.203410579
LA,electricity,solar,PV,2055,capital,60,0.203410579
