INPUT_TABLE,,,,,
Variable ID,,,,,
RegionTechCF,,,,,
,,,,,
region,supplysector,subsector,stub.technology,year,capacity.factor
AN,electricity,solar,CSP,1975,0.22
AN,electricity,solar,CSP,1990,0.22
AN,electricity,solar,CSP,2005,0.22
AN,electricity,solar,CSP,2010,0.22
AN,electricity,solar,CSP,2015,0.22
AN,electricity,solar,CSP,2020,0.2875
AN,electricity,solar,CSP,2025,0.3234375
AN,electricity,solar,CSP,2030,0.360333333
AN,electricity,solar,CSP,2035,0.4002
AN,electricity,solar,CSP,2040,0.423536585
AN,electricity,solar,CSP,2045,0.437
AN,electricity,solar,CSP,2050,0.449375
AN,electricity,solar,CSP,2055,0.449375
AN,electricity,solar,CSP,2060,0.449375
AN,electricity,solar,CSP,2065,0.449375
AN,electricity,solar,CSP,2070,0.48428368
AN,electricity,solar,CSP,2075,0.48428368
AN,electricity,solar,CSP,2080,0.48428368
AN,electricity,solar,CSP,2085,0.48428368
AN,electricity,solar,CSP,2090,0.48428368
AN,electricity,solar,CSP,2095,0.48428368
AN,electricity,solar,CSP,2100,0.48428368
AP,electricity,solar,CSP,1975,0.22
AP,electricity,solar,CSP,1990,0.22
AP,electricity,solar,CSP,2005,0.22
AP,electricity,solar,CSP,2010,0.22
AP,electricity,solar,CSP,2015,0.22
AP,electricity,solar,CSP,2020,0.2875
AP,electricity,solar,CSP,2025,0.3234375
AP,electricity,solar,CSP,2030,0.360333333
AP,electricity,solar,CSP,2035,0.4002
AP,electricity,solar,CSP,2040,0.423536585
AP,electricity,solar,CSP,2045,0.437
AP,electricity,solar,CSP,2050,0.449375
AP,electricity,solar,CSP,2055,0.449375
AP,electricity,solar,CSP,2060,0.449375
AP,electricity,solar,CSP,2065,0.449375
AP,electricity,solar,CSP,2070,0.48428368
AP,electricity,solar,CSP,2075,0.48428368
AP,electricity,solar,CSP,2080,0.48428368
AP,electricity,solar,CSP,2085,0.48428368
AP,electricity,solar,CSP,2090,0.48428368
AP,electricity,solar,CSP,2095,0.48428368
AP,electricity,solar,CSP,2100,0.48428368
AR,electricity,solar,CSP,1975,0.22
AR,electricity,solar,CSP,1990,0.22
AR,electricity,solar,CSP,2005,0.22
AR,electricity,solar,CSP,2010,0.22
AR,electricity,solar,CSP,2015,0.22
AR,electricity,solar,CSP,2020,0.2875
AR,electricity,solar,CSP,2025,0.3234375
AR,electricity,solar,CSP,2030,0.360333333
AR,electricity,solar,CSP,2035,0.4002
AR,electricity,solar,CSP,2040,0.423536585
AR,electricity,solar,CSP,2045,0.437
AR,electricity,solar,CSP,2050,0.449375
AR,electricity,solar,CSP,2055,0.449375
AR,electricity,solar,CSP,2060,0.449375
AR,electricity,solar,CSP,2065,0.449375
AR,electricity,solar,CSP,2070,0.48428368
AR,electricity,solar,CSP,2075,0.48428368
AR,electricity,solar,CSP,2080,0.48428368
AR,electricity,solar,CSP,2085,0.48428368
AR,electricity,solar,CSP,2090,0.48428368
AR,electricity,solar,CSP,2095,0.48428368
AR,electricity,solar,CSP,2100,0.48428368
AS,electricity,solar,CSP,1975,0.22
AS,electricity,solar,CSP,1990,0.22
AS,electricity,solar,CSP,2005,0.22
AS,electricity,solar,CSP,2010,0.22
AS,electricity,solar,CSP,2015,0.22
AS,electricity,solar,CSP,2020,0.2875
AS,electricity,solar,CSP,2025,0.3234375
AS,electricity,solar,CSP,2030,0.360333333
AS,electricity,solar,CSP,2035,0.4002
AS,electricity,solar,CSP,2040,0.423536585
AS,electricity,solar,CSP,2045,0.437
AS,electricity,solar,CSP,2050,0.449375
AS,electricity,solar,CSP,2055,0.449375
AS,electricity,solar,CSP,2060,0.449375
AS,electricity,solar,CSP,2065,0.449375
AS,electricity,solar,CSP,2070,0.48428368
AS,electricity,solar,CSP,2075,0.48428368
AS,electricity,solar,CSP,2080,0.48428368
AS,electricity,solar,CSP,2085,0.48428368
AS,electricity,solar,CSP,2090,0.48428368
AS,electricity,solar,CSP,2095,0.48428368
AS,electricity,solar,CSP,2100,0.48428368
BR,electricity,solar,CSP,1975,0.22
BR,electricity,solar,CSP,1990,0.22
BR,electricity,solar,CSP,2005,0.22
BR,electricity,solar,CSP,2010,0.22
BR,electricity,solar,CSP,2015,0.22
BR,electricity,solar,CSP,2020,0.2875
BR,electricity,solar,CSP,2025,0.3234375
BR,electricity,solar,CSP,2030,0.360333333
BR,electricity,solar,CSP,2035,0.4002
BR,electricity,solar,CSP,2040,0.423536585
BR,electricity,solar,CSP,2045,0.437
BR,electricity,solar,CSP,2050,0.449375
BR,electricity,solar,CSP,2055,0.449375
BR,electricity,solar,CSP,2060,0.449375
BR,electricity,solar,CSP,2065,0.449375
BR,electricity,solar,CSP,2070,0.48428368
BR,electricity,solar,CSP,2075,0.48428368
BR,electricity,solar,CSP,2080,0.48428368
BR,electricity,solar,CSP,2085,0.48428368
BR,electricity,solar,CSP,2090,0.48428368
BR,electricity,solar,CSP,2095,0.48428368
BR,electricity,solar,CSP,2100,0.48428368
CG,electricity,solar,CSP,1975,0.22
CG,electricity,solar,CSP,1990,0.22
CG,electricity,solar,CSP,2005,0.22
CG,electricity,solar,CSP,2010,0.22
CG,electricity,solar,CSP,2015,0.22
CG,electricity,solar,CSP,2020,0.2875
CG,electricity,solar,CSP,2025,0.3234375
CG,electricity,solar,CSP,2030,0.360333333
CG,electricity,solar,CSP,2035,0.4002
CG,electricity,solar,CSP,2040,0.423536585
CG,electricity,solar,CSP,2045,0.437
CG,electricity,solar,CSP,2050,0.449375
CG,electricity,solar,CSP,2055,0.449375
CG,electricity,solar,CSP,2060,0.449375
CG,electricity,solar,CSP,2065,0.449375
CG,electricity,solar,CSP,2070,0.48428368
CG,electricity,solar,CSP,2075,0.48428368
CG,electricity,solar,CSP,2080,0.48428368
CG,electricity,solar,CSP,2085,0.48428368
CG,electricity,solar,CSP,2090,0.48428368
CG,electricity,solar,CSP,2095,0.48428368
CG,electricity,solar,CSP,2100,0.48428368
CH,electricity,solar,CSP,1975,0.22
CH,electricity,solar,CSP,1990,0.22
CH,electricity,solar,CSP,2005,0.22
CH,electricity,solar,CSP,2010,0.22
CH,electricity,solar,CSP,2015,0.22
CH,electricity,solar,CSP,2020,0.2875
CH,electricity,solar,CSP,2025,0.3234375
CH,electricity,solar,CSP,2030,0.360333333
CH,electricity,solar,CSP,2035,0.4002
CH,electricity,solar,CSP,2040,0.423536585
CH,electricity,solar,CSP,2045,0.437
CH,electricity,solar,CSP,2050,0.449375
CH,electricity,solar,CSP,2055,0.449375
CH,electricity,solar,CSP,2060,0.449375
CH,electricity,solar,CSP,2065,0.449375
CH,electricity,solar,CSP,2070,0.48428368
CH,electricity,solar,CSP,2075,0.48428368
CH,electricity,solar,CSP,2080,0.48428368
CH,electricity,solar,CSP,2085,0.48428368
CH,electricity,solar,CSP,2090,0.48428368
CH,electricity,solar,CSP,2095,0.48428368
CH,electricity,solar,CSP,2100,0.48428368
DD,electricity,solar,CSP,1975,0.22
DD,electricity,solar,CSP,1990,0.22
DD,electricity,solar,CSP,2005,0.22
DD,electricity,solar,CSP,2010,0.22
DD,electricity,solar,CSP,2015,0.22
DD,electricity,solar,CSP,2020,0.2875
DD,electricity,solar,CSP,2025,0.3234375
DD,electricity,solar,CSP,2030,0.360333333
DD,electricity,solar,CSP,2035,0.4002
DD,electricity,solar,CSP,2040,0.423536585
DD,electricity,solar,CSP,2045,0.437
DD,electricity,solar,CSP,2050,0.449375
DD,electricity,solar,CSP,2055,0.449375
DD,electricity,solar,CSP,2060,0.449375
DD,electricity,solar,CSP,2065,0.449375
DD,electricity,solar,CSP,2070,0.48428368
DD,electricity,solar,CSP,2075,0.48428368
DD,electricity,solar,CSP,2080,0.48428368
DD,electricity,solar,CSP,2085,0.48428368
DD,electricity,solar,CSP,2090,0.48428368
DD,electricity,solar,CSP,2095,0.48428368
DD,electricity,solar,CSP,2100,0.48428368
DL,electricity,solar,CSP,1975,0.22
DL,electricity,solar,CSP,1990,0.22
DL,electricity,solar,CSP,2005,0.22
DL,electricity,solar,CSP,2010,0.22
DL,electricity,solar,CSP,2015,0.22
DL,electricity,solar,CSP,2020,0.2875
DL,electricity,solar,CSP,2025,0.3234375
DL,electricity,solar,CSP,2030,0.360333333
DL,electricity,solar,CSP,2035,0.4002
DL,electricity,solar,CSP,2040,0.423536585
DL,electricity,solar,CSP,2045,0.437
DL,electricity,solar,CSP,2050,0.449375
DL,electricity,solar,CSP,2055,0.449375
DL,electricity,solar,CSP,2060,0.449375
DL,electricity,solar,CSP,2065,0.449375
DL,electricity,solar,CSP,2070,0.48428368
DL,electricity,solar,CSP,2075,0.48428368
DL,electricity,solar,CSP,2080,0.48428368
DL,electricity,solar,CSP,2085,0.48428368
DL,electricity,solar,CSP,2090,0.48428368
DL,electricity,solar,CSP,2095,0.48428368
DL,electricity,solar,CSP,2100,0.48428368
DN,electricity,solar,CSP,1975,0.22
DN,electricity,solar,CSP,1990,0.22
DN,electricity,solar,CSP,2005,0.22
DN,electricity,solar,CSP,2010,0.22
DN,electricity,solar,CSP,2015,0.22
DN,electricity,solar,CSP,2020,0.2875
