INPUT_TABLE,,,,,,
Variable ID,,,,,,
RegionFuelAdder,,,,,,
,,,,,,
region,supplysector,subsector,technology,year,minicam-non-energy-input,input-cost
AN,electricity,solar,PV,1975,tax,8.98568
AN,electricity,solar,PV,1990,tax,8.38568
AN,electricity,solar,PV,2005,tax,7.78568
AN,electricity,solar,PV,2010,tax,7.18568
AN,electricity,solar,PV,2015,tax,6.58568
AN,electricity,solar,PV,2020,tax,3.23385
AN,electricity,solar,PV,2025,tax,3.91727
AN,electricity,solar,PV,2030,tax,3.7862
AN,electricity,solar,PV,2035,tax,3.6802
AN,electricity,solar,PV,2040,tax,3.67176
AN,electricity,solar,PV,2045,tax,3.62713
AN,electricity,solar,PV,2050,tax,3.58476
AN,electricity,solar,PV,2055,tax,3.51304
AN,electricity,solar,PV,2060,tax,3.44169
AN,electricity,solar,PV,2065,tax,3.37061
AN,electricity,solar,PV,2070,tax,3.29866
AN,electricity,solar,PV,2075,tax,3.22737
AN,electricity,solar,PV,2080,tax,3.15529
AN,electricity,solar,PV,2085,tax,3.08419
AN,electricity,solar,PV,2090,tax,3.01272
AN,electricity,solar,PV,2095,tax,2.94124
AN,electricity,solar,PV,2100,tax,2.86976
NL,electricity,solar,PV,1975,tax,8.98568
NL,electricity,solar,PV,1990,tax,8.38568
NL,electricity,solar,PV,2005,tax,7.78568
NL,electricity,solar,PV,2010,tax,7.18568
NL,electricity,solar,PV,2015,tax,6.58568
NL,electricity,solar,PV,2020,tax,3.23385
NL,electricity,solar,PV,2025,tax,3.91727
NL,electricity,solar,PV,2030,tax,3.7862
NL,electricity,solar,PV,2035,tax,3.6802
NL,electricity,solar,PV,2040,tax,3.67176
NL,electricity,solar,PV,2045,tax,3.62713
NL,electricity,solar,PV,2050,tax,3.58476
NL,electricity,solar,PV,2055,tax,3.51304
NL,electricity,solar,PV,2060,tax,3.44169
NL,electricity,solar,PV,2065,tax,3.37061
NL,electricity,solar,PV,2070,tax,3.29866
NL,electricity,solar,PV,2075,tax,3.22737
NL,electricity,solar,PV,2080,tax,3.15529
NL,electricity,solar,PV,2085,tax,3.08419
NL,electricity,solar,PV,2090,tax,3.01272
NL,electricity,solar,PV,2095,tax,2.94124
NL,electricity,solar,PV,2100,tax,2.86976
AP,electricity,solar,PV,1975,tax,8.98568
AP,electricity,solar,PV,1990,tax,8.38568
AP,electricity,solar,PV,2005,tax,7.78568
AP,electricity,solar,PV,2010,tax,7.18568
AP,electricity,solar,PV,2015,tax,6.58568
AP,electricity,solar,PV,2020,tax,3.23385
AP,electricity,solar,PV,2025,tax,3.91727
AP,electricity,solar,PV,2030,tax,3.7862
AP,electricity,solar,PV,2035,tax,3.6802
AP,electricity,solar,PV,2040,tax,3.67176
AP,electricity,solar,PV,2045,tax,3.62713
AP,electricity,solar,PV,2050,tax,3.58476
AP,electricity,solar,PV,2055,tax,3.51304
AP,electricity,solar,PV,2060,tax,3.44169
AP,electricity,solar,PV,2065,tax,3.37061
AP,electricity,solar,PV,2070,tax,3.29866
AP,electricity,solar,PV,2075,tax,3.22737
AP,electricity,solar,PV,2080,tax,3.15529
AP,electricity,solar,PV,2085,tax,3.08419
AP,electricity,solar,PV,2090,tax,3.01272
AP,electricity,solar,PV,2095,tax,2.94124
