INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
StubTechCoef,,,,,,,
,,,,,,,
region,supplysector,subsector,stub.technology,year,minicam.energy.input,coefficient,market.name
AN,Iron and Steel,Iron and Steel,Iron and Steel,2015,Iron and Steel_enuse,0.776575198,AN
AN,Iron and Steel,Iron and Steel,Iron and Steel,2015,Iron and Steel_fsuse,0.223424802,AN
AN,Iron and Steel,Iron and Steel,Iron and Steel,2020,Iron and Steel_enuse,0.776575198,AN
AN,Iron and Steel,Iron and Steel,Iron and Steel,2020,Iron and Steel_fsuse,0.223424802,AN
AN,Iron and Steel,Iron and Steel,Iron and Steel,2025,Iron and Steel_enuse,0.776575198,AN
AN,Iron and Steel,Iron and Steel,Iron and Steel,2025,Iron and Steel_fsuse,0.223424802,AN
AN,Iron and Steel,Iron and Steel,Iron and Steel,2030,Iron and Steel_enuse,0.776575198,AN
AN,Iron and Steel,Iron and Steel,Iron and Steel,2030,Iron and Steel_fsuse,0.223424802,AN
AN,Iron and Steel,Iron and Steel,Iron and Steel,2035,Iron and Steel_enuse,0.776575198,AN
AN,Iron and Steel,Iron and Steel,Iron and Steel,2035,Iron and Steel_fsuse,0.223424802,AN
AN,Iron and Steel,Iron and Steel,Iron and Steel,2040,Iron and Steel_enuse,0.776575198,AN
AN,Iron and Steel,Iron and Steel,Iron and Steel,2040,Iron and Steel_fsuse,0.223424802,AN
AN,Iron and Steel,Iron and Steel,Iron and Steel,2045,Iron and Steel_enuse,0.776575198,AN
AN,Iron and Steel,Iron and Steel,Iron and Steel,2045,Iron and Steel_fsuse,0.223424802,AN
AN,Iron and Steel,Iron and Steel,Iron and Steel,2050,Iron and Steel_enuse,0.776575198,AN
AN,Iron and Steel,Iron and Steel,Iron and Steel,2050,Iron and Steel_fsuse,0.223424802,AN
AN,Iron and Steel,Iron and Steel,Iron and Steel,2055,Iron and Steel_enuse,0.776575198,AN
AN,Iron and Steel,Iron and Steel,Iron and Steel,2055,Iron and Steel_fsuse,0.223424802,AN
AN,Iron and Steel,Iron and Steel,Iron and Steel,2060,Iron and Steel_enuse,0.776575198,AN
AN,Iron and Steel,Iron and Steel,Iron and Steel,2060,Iron and Steel_fsuse,0.223424802,AN
AN,Iron and Steel,Iron and Steel,Iron and Steel,2065,Iron and Steel_enuse,0.776575198,AN
AN,Iron and Steel,Iron and Steel,Iron and Steel,2065,Iron and Steel_fsuse,0.223424802,AN
AN,Iron and Steel,Iron and Steel,Iron and Steel,2070,Iron and Steel_enuse,0.776575198,AN
AN,Iron and Steel,Iron and Steel,Iron and Steel,2070,Iron and Steel_fsuse,0.223424802,AN
AN,Iron and Steel,Iron and Steel,Iron and Steel,2075,Iron and Steel_enuse,0.776575198,AN
AN,Iron and Steel,Iron and Steel,Iron and Steel,2075,Iron and Steel_fsuse,0.223424802,AN
AN,Iron and Steel,Iron and Steel,Iron and Steel,2080,Iron and Steel_enuse,0.776575198,AN
AN,Iron and Steel,Iron and Steel,Iron and Steel,2080,Iron and Steel_fsuse,0.223424802,AN
AN,Iron and Steel,Iron and Steel,Iron and Steel,2085,Iron and Steel_enuse,0.776575198,AN
AN,Iron and Steel,Iron and Steel,Iron and Steel,2085,Iron and Steel_fsuse,0.223424802,AN
AN,Iron and Steel,Iron and Steel,Iron and Steel,2090,Iron and Steel_enuse,0.776575198,AN
AN,Iron and Steel,Iron and Steel,Iron and Steel,2090,Iron and Steel_fsuse,0.223424802,AN
AN,Iron and Steel,Iron and Steel,Iron and Steel,2095,Iron and Steel_enuse,0.776575198,AN
AN,Iron and Steel,Iron and Steel,Iron and Steel,2095,Iron and Steel_fsuse,0.223424802,AN
AN,Iron and Steel,Iron and Steel,Iron and Steel,2100,Iron and Steel_enuse,0.776575198,AN
AN,Iron and Steel,Iron and Steel,Iron and Steel,2100,Iron and Steel_fsuse,0.223424802,AN
AP,Iron and Steel,Iron and Steel,Iron and Steel,2015,Iron and Steel_enuse,0.464478754,AP
AP,Iron and Steel,Iron and Steel,Iron and Steel,2015,Iron and Steel_fsuse,0.535521246,AP
AP,Iron and Steel,Iron and Steel,Iron and Steel,2020,Iron and Steel_enuse,0.464478754,AP
AP,Iron and Steel,Iron and Steel,Iron and Steel,2020,Iron and Steel_fsuse,0.535521246,AP
AP,Iron and Steel,Iron and Steel,Iron and Steel,2025,Iron and Steel_enuse,0.464478754,AP
AP,Iron and Steel,Iron and Steel,Iron and Steel,2025,Iron and Steel_fsuse,0.535521246,AP
AP,Iron and Steel,Iron and Steel,Iron and Steel,2030,Iron and Steel_enuse,0.464478754,AP
AP,Iron and Steel,Iron and Steel,Iron and Steel,2030,Iron and Steel_fsuse,0.535521246,AP
AP,Iron and Steel,Iron and Steel,Iron and Steel,2035,Iron and Steel_enuse,0.464478754,AP
AP,Iron and Steel,Iron and Steel,Iron and Steel,2035,Iron and Steel_fsuse,0.535521246,AP
AP,Iron and Steel,Iron and Steel,Iron and Steel,2040,Iron and Steel_enuse,0.464478754,AP
