INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
StubTechCoef,,,,,,,
,,,,,,,
region,supplysector,subsector,stub.technology,year,minicam.energy.input,coefficient,market.name
AN,Chem_Fert_fsuse,gas,gas,2015,wholesale gas,0.8,Southern
AP,Chem_Fert_fsuse,gas,gas,2015,wholesale gas,0.8,Southern
AR,Chem_Fert_fsuse,gas,gas,2015,wholesale gas,0.8,North-Eastern
AS,Chem_Fert_fsuse,gas,gas,2015,wholesale gas,0.8,North-Eastern
BR,Chem_Fert_fsuse,gas,gas,2015,wholesale gas,0.8,Eastern
CG,Chem_Fert_fsuse,gas,gas,2015,wholesale gas,0.8,Western
CH,Chem_Fert_fsuse,gas,gas,2015,wholesale gas,0.8,Northern
DD,Chem_Fert_fsuse,gas,gas,2015,wholesale gas,0.8,Western
DL,Chem_Fert_fsuse,gas,gas,2015,wholesale gas,0.8,Northern
DN,Chem_Fert_fsuse,gas,gas,2015,wholesale gas,0.8,Western
GA,Chem_Fert_fsuse,gas,gas,2015,wholesale gas,0.8,Western
GJ,Chem_Fert_fsuse,gas,gas,2015,wholesale gas,0.8,Western
HP,Chem_Fert_fsuse,gas,gas,2015,wholesale gas,0.8,Northern
HR,Chem_Fert_fsuse,gas,gas,2015,wholesale gas,0.8,Northern
JH,Chem_Fert_fsuse,gas,gas,2015,wholesale gas,0.8,Eastern
JK,Chem_Fert_fsuse,gas,gas,2015,wholesale gas,0.8,Northern
KA,Chem_Fert_fsuse,gas,gas,2015,wholesale gas,0.8,Southern
KL,Chem_Fert_fsuse,gas,gas,2015,wholesale gas,0.8,Southern
LA,Chem_Fert_fsuse,gas,gas,2015,wholesale gas,0.8,Northern
LD,Chem_Fert_fsuse,gas,gas,2015,wholesale gas,0.8,Southern
MH,Chem_Fert_fsuse,gas,gas,2015,wholesale gas,0.8,Western
ML,Chem_Fert_fsuse,gas,gas,2015,wholesale gas,0.8,North-Eastern
MN,Chem_Fert_fsuse,gas,gas,2015,wholesale gas,0.8,North-Eastern
MP,Chem_Fert_fsuse,gas,gas,2015,wholesale gas,0.8,Western
MZ,Chem_Fert_fsuse,gas,gas,2015,wholesale gas,0.8,North-Eastern
NL,Chem_Fert_fsuse,gas,gas,2015,wholesale gas,0.8,North-Eastern
OD,Chem_Fert_fsuse,gas,gas,2015,wholesale gas,0.8,Eastern
