INPUT_TABLE,,,
Variable ID,,,
IncomeElasticity,,,
,,,
region,energy.final.demand,year,income.elasticity
AN,Agriculture,2015,0.3
AN,Agriculture,2020,0.270135747
AN,Agriculture,2025,0.24
AN,Agriculture,2030,0.219909502
AN,Agriculture,2035,0.198733032
AN,Agriculture,2040,0.176742081
AN,Agriculture,2045,0.154751131
AN,Agriculture,2050,0.133303167
AN,Agriculture,2055,0.11321267
AN,Agriculture,2060,0.095565611
AN,Agriculture,2065,0.08959276
AN,Agriculture,2070,0.084434389
AN,Agriculture,2075,0.079276018
AN,Agriculture,2080,0.074660633
AN,Agriculture,2085,0.070316742
AN,Agriculture,2090,0.069502262
AN,Agriculture,2095,0.06841629
AN,Agriculture,2100,0.067330317
AP,Agriculture,2015,0.3
AP,Agriculture,2020,0.270135747
AP,Agriculture,2025,0.24
AP,Agriculture,2030,0.219909502
AP,Agriculture,2035,0.198733032
AP,Agriculture,2040,0.176742081
AP,Agriculture,2045,0.154751131
AP,Agriculture,2050,0.133303167
AP,Agriculture,2055,0.11321267
AP,Agriculture,2060,0.095565611
AP,Agriculture,2065,0.08959276
AP,Agriculture,2070,0.084434389
AP,Agriculture,2075,0.079276018
AP,Agriculture,2080,0.074660633
AP,Agriculture,2085,0.070316742
AP,Agriculture,2090,0.069502262
AP,Agriculture,2095,0.06841629
AP,Agriculture,2100,0.067330317
AR,Agriculture,2015,0.3
AR,Agriculture,2020,0.270135747
AR,Agriculture,2025,0.24
AR,Agriculture,2030,0.219909502
AR,Agriculture,2035,0.198733032
AR,Agriculture,2040,0.176742081
AR,Agriculture,2045,0.154751131
AR,Agriculture,2050,0.133303167
AR,Agriculture,2055,0.11321267
AR,Agriculture,2060,0.095565611
AR,Agriculture,2065,0.08959276
AR,Agriculture,2070,0.084434389
AR,Agriculture,2075,0.079276018
AR,Agriculture,2080,0.074660633
AR,Agriculture,2085,0.070316742
AR,Agriculture,2090,0.069502262
AR,Agriculture,2095,0.06841629
AR,Agriculture,2100,0.067330317
AS,Agriculture,2015,0.3
AS,Agriculture,2020,0.270135747
AS,Agriculture,2025,0.24
AS,Agriculture,2030,0.219909502
AS,Agriculture,2035,0.198733032
AS,Agriculture,2040,0.176742081
AS,Agriculture,2045,0.154751131
AS,Agriculture,2050,0.133303167
AS,Agriculture,2055,0.11321267
AS,Agriculture,2060,0.095565611
AS,Agriculture,2065,0.08959276
AS,Agriculture,2070,0.084434389
AS,Agriculture,2075,0.079276018
AS,Agriculture,2080,0.074660633
AS,Agriculture,2085,0.070316742
AS,Agriculture,2090,0.069502262
AS,Agriculture,2095,0.06841629
AS,Agriculture,2100,0.067330317
BR,Agriculture,2015,0.3
BR,Agriculture,2020,0.270135747
BR,Agriculture,2025,0.24
BR,Agriculture,2030,0.219909502
BR,Agriculture,2035,0.198733032
BR,Agriculture,2040,0.176742081
BR,Agriculture,2045,0.154751131
BR,Agriculture,2050,0.133303167
BR,Agriculture,2055,0.11321267
BR,Agriculture,2060,0.095565611
