INPUT_TABLE,,,,,,
Variable ID,,,,,,
RegionTechCost,,,,,,
,,,,,,
Region,sector.name,subsector.name,technology,year,minicam.non.energy.input,input.cost
AN,Agriculture,Agriculture,Agriculture,2010,non-energy,45.26159516
AP,Agriculture,Agriculture,Agriculture,2010,non-energy,45.26159516
AR,Agriculture,Agriculture,Agriculture,2010,non-energy,45.26159516
AS,Agriculture,Agriculture,Agriculture,2010,non-energy,45.26159516
BR,Agriculture,Agriculture,Agriculture,2010,non-energy,45.26159516
CG,Agriculture,Agriculture,Agriculture,2010,non-energy,45.26159516
CH,Agriculture,Agriculture,Agriculture,2010,non-energy,45.26159516
DD,Agriculture,Agriculture,Agriculture,2010,non-energy,45.26159516
DL,Agriculture,Agriculture,Agriculture,2010,non-energy,45.26159516
DN,Agriculture,Agriculture,Agriculture,2010,non-energy,45.26159516
GA,Agriculture,Agriculture,Agriculture,2010,non-energy,45.26159516
GJ,Agriculture,Agriculture,Agriculture,2010,non-energy,39.40800374
HP,Agriculture,Agriculture,Agriculture,2010,non-energy,45.26159516
HR,Agriculture,Agriculture,Agriculture,2010,non-energy,45.26159516
JH,Agriculture,Agriculture,Agriculture,2010,non-energy,45.26159516
JK,Agriculture,Agriculture,Agriculture,2010,non-energy,45.26159516
KA,Agriculture,Agriculture,Agriculture,2010,non-energy,45.26159516
KL,Agriculture,Agriculture,Agriculture,2010,non-energy,45.26159516
LA,Agriculture,Agriculture,Agriculture,2010,non-energy,45.26159516
LD,Agriculture,Agriculture,Agriculture,2010,non-energy,45.26159516
MH,Agriculture,Agriculture,Agriculture,2010,non-energy,45.26159516
ML,Agriculture,Agriculture,Agriculture,2010,non-energy,45.26159516
MN,Agriculture,Agriculture,Agriculture,2010,non-energy,45.26159516
MP,Agriculture,Agriculture,Agriculture,2010,non-energy,45.26159516
MZ,Agriculture,Agriculture,Agriculture,2010,non-energy,45.26159516
NL,Agriculture,Agriculture,Agriculture,2010,non-energy,45.26159516
OD,Agriculture,Agriculture,Agriculture,2010,non-energy,41.96082959
PB,Agriculture,Agriculture,Agriculture,2010,non-energy,45.26159516
PC,Agriculture,Agriculture,Agriculture,2010,non-energy,45.26159516
RJ,Agriculture,Agriculture,Agriculture,2010,non-energy,45.26159516
SK,Agriculture,Agriculture,Agriculture,2010,non-energy,45.26159516
TN,Agriculture,Agriculture,Agriculture,2010,non-energy,35.85461288
TR,Agriculture,Agriculture,Agriculture,2010,non-energy,45.26159516
TS,Agriculture,Agriculture,Agriculture,2010,non-energy,45.26159516
UK,Agriculture,Agriculture,Agriculture,2010,non-energy,64.77535207
UP,Agriculture,Agriculture,Agriculture,2010,non-energy,43.43887449
WB,Agriculture,Agriculture,Agriculture,2010,non-energy,45.26159516
AN,Agriculture_enuse,electricity,electricity,2010,non-energy,-1.67696
AP,Agriculture_enuse,electricity,electricity,2010,non-energy,-1.43535
AR,Agriculture_enuse,electricity,electricity,2010,non-energy,2.40614
AS,Agriculture_enuse,electricity,electricity,2010,non-energy,-4.2220078
BR,Agriculture_enuse,electricity,electricity,2010,non-energy,-4.2245
CG,Agriculture_enuse,electricity,electricity,2010,non-energy,-1.70668
CH,Agriculture_enuse,electricity,electricity,2010,non-energy,-1.99759
DD,Agriculture_enuse,electricity,electricity,2010,non-energy,-2.09002
DL,Agriculture_enuse,electricity,electricity,2010,non-energy,-5.45164
DN,Agriculture_enuse,electricity,electricity,2010,non-energy,-2.09002
GA,Agriculture_enuse,electricity,electricity,2010,non-energy,-0.74735
GJ,Agriculture_enuse,electricity,electricity,2010,non-energy,-3.974731317
HP,Agriculture_enuse,electricity,electricity,2010,non-energy,-0.86205
HR,Agriculture_enuse,electricity,electricity,2010,non-energy,-2.51909
JH,Agriculture_enuse,electricity,electricity,2010,non-energy,-1.36828
JK,Agriculture_enuse,electricity,electricity,2010,non-energy,2.04867
KA,Agriculture_enuse,electricity,electricity,2010,non-energy,-3.29951
KL,Agriculture_enuse,electricity,electricity,2010,non-energy,-2.03492
LA,Agriculture_enuse,electricity,electricity,2010,non-energy,-1.99759
LD,Agriculture_enuse,electricity,electricity,2010,non-energy,-1.67696
MH,Agriculture_enuse,electricity,electricity,2010,non-energy,-1.40144
ML,Agriculture_enuse,electricity,electricity,2010,non-energy,-1.44211
MN,Agriculture_enuse,electricity,electricity,2010,non-energy,0.12771
MP,Agriculture_enuse,electricity,electricity,2010,non-energy,-3.64717
MZ,Agriculture_enuse,electricity,electricity,2010,non-energy,1.11975
NL,Agriculture_enuse,electricity,electricity,2010,non-energy,3.50719
