INPUT_TABLE
Variable ID
RegionH2NonEnergyFuelAdder

region,supplysector,subsector,sector,year,minicam-non-energy-input,input-cost
India,H2 central production,electricity ,electrolysis,2025,non-energy ,-1
India,H2 central production,electricity ,electrolysis,2030,non-energy ,-1
India,H2 central production,electricity ,electrolysis,2035,non-energy ,-1
India,H2 central production,electricity ,electrolysis,2040,non-energy ,-1
India,H2 central production,electricity ,electrolysis,2045,non-energy ,-1
India,H2 central production,electricity ,electrolysis,2050,non-energy ,-1
India,H2 central production,electricity ,electrolysis,2055,non-energy ,-1
India,H2 central production,electricity ,electrolysis,2060,non-energy ,-1
India,H2 central production,electricity ,electrolysis,2065,non-energy ,-1
India,H2 central production,electricity ,electrolysis,2070,non-energy ,-1
India,H2 central production,electricity ,electrolysis,2075,non-energy ,-1
India,H2 central production,electricity ,electrolysis,2080,non-energy ,-1
India,H2 central production,electricity ,electrolysis,2085,non-energy ,-1
India,H2 central production,electricity ,electrolysis,2090,non-energy ,-1
India,H2 central production,electricity ,electrolysis,2095,non-energy ,-1
India,H2 central production,electricity ,electrolysis,2100,non-energy ,-1
India,H2 central production,solar,electrolysis,2025,non-energy ,-1
India,H2 central production,solar,electrolysis,2030,non-energy ,-1
India,H2 central production,solar,electrolysis,2035,non-energy ,-1
India,H2 central production,solar,electrolysis,2040,non-energy ,-1
India,H2 central production,solar,electrolysis,2045,non-energy ,-1
India,H2 central production,solar,electrolysis,2050,non-energy ,-1
India,H2 central production,solar,electrolysis,2055,non-energy ,-1
India,H2 central production,solar,electrolysis,2060,non-energy ,-1
India,H2 central production,solar,electrolysis,2065,non-energy ,-1
India,H2 central production,solar,electrolysis,2070,non-energy ,-1
India,H2 central production,solar,electrolysis,2075,non-energy ,-1
India,H2 central production,solar,electrolysis,2080,non-energy ,-1
India,H2 central production,solar,electrolysis,2085,non-energy ,-1
India,H2 central production,solar,electrolysis,2090,non-energy ,-1
India,H2 central production,solar,electrolysis,2095,non-energy ,-1
India,H2 central production,solar,electrolysis,2100,non-energy ,-1
India,H2 central production,wind,electrolysis,2025,non-energy ,-1
India,H2 central production,wind,electrolysis,2030,non-energy ,-1
India,H2 central production,wind,electrolysis,2035,non-energy ,-1
India,H2 central production,wind,electrolysis,2040,non-energy ,-1
India,H2 central production,wind,electrolysis,2045,non-energy ,-1
India,H2 central production,wind,electrolysis,2050,non-energy ,-1
India,H2 central production,wind,electrolysis,2055,non-energy ,-1
India,H2 central production,wind,electrolysis,2060,non-energy ,-1
India,H2 central production,wind,electrolysis,2065,non-energy ,-1
India,H2 central production,wind,electrolysis,2070,non-energy ,-1
India,H2 central production,wind,electrolysis,2075,non-energy ,-1
India,H2 central production,wind,electrolysis,2080,non-energy ,-1
India,H2 central production,wind,electrolysis,2085,non-energy ,-1
India,H2 central production,wind,electrolysis,2090,non-energy ,-1
India,H2 central production,wind,electrolysis,2095,non-energy ,-1
India,H2 central production,wind,electrolysis,2100,non-energy ,-1
