INPUT_TABLE
Variable ID
IndiaTranFreightSubsecShwt_new

region,supplysector,tranSubsector,apply.to,from.year,to.year,from.value,to-value,interpolation.function
TN,trn_freight_road,Truck,share-weight,2010,2020,0.0166381,0.5,fixed
TN,trn_freight_road,Truck,share-weight,2020,2100,0.5,0.5,fixed
TN,trn_freight_road,Truck,share-weight,2095,2100,0.5,0.5,fixed
TN ,trn_freight,Freight Rail,share-weight,2010,2020,1,0.7,fixed
TN ,trn_freight,Freight Rail,share-weight,2020,2100,0.7,0.7,fixed
TN ,trn_freight,Freight Rail,share-weight,2095,2100,0.7,0.7,fixed
TN,trn_pass_road_LDV,4W,share-weight,2010,2015,149.89,149.89,fixed
TN,trn_pass_road_LDV,4W,share-weight,2015,2020,149.89,170,linear
TN,trn_pass_road_LDV,4W,share-weight,2020,2050,170,170,fixed
TN,trn_pass_road_LDV,4W,share-weight,2050,2100,170,170,fixed
TN,trn_pass_road_LDV,2W,share-weight,2010,2015,1,1,fixed
TN,trn_pass_road_LDV,2W,share-weight,2015,2020,1,0.8,fixed
TN,trn_pass_road_LDV,2W,share-weight,2020,2050,0.8,0.8,fixed
TN,trn_pass_road_LDV,2W,share-weight,2050,2100,0.8,0.8,fixed
